seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,5496.73,7676.82,5537.6,3647.78,3118.78,2319.17,1764.11,1748.22,1413.83,1304.92,1232.15,881.311,3497.84,5817.1,5017.52,5219.18,287.727,196.987,890.757,808.52,1061.65,7257.31,7661.73,17675.1,56407.7
1050,5874.24,8043.7,5807.22,3908.79,3301.52,2431.53,1898.76,1802.04,1441.25,1338.92,1216.63,894.644,5014.33,5497.66,5343.77,4825.19,221.053,259.968,729.093,898.612,848.058,4906.71,7440.72,16321.9,66733.8
456,5033.15,7265.26,5188.04,3526.51,3064.33,2185.85,1751.05,1624,1338.17,1282.82,1187.33,941.641,5173.96,5131.66,5199.16,6601.4,231.108,264.027,877.704,1008.97,789.764,7019.47,6558.8,15805.5,61275
841,5489.2,7296.67,5400.13,3701.36,3104.36,2299.39,1729.28,1599.64,1356.33,1270.8,1298.03,972.483,4708.17,5889.23,4659.99,4533.82,259.528,227.028,897.066,1009.33,707.467,6748.48,5465.28,13724.7,66566.7
838,5977.69,7846.28,5535.12,3737.87,3157.64,2367.34,1655.6,1630.29,1448.62,1264.46,1202.33,957.785,5375.43,5211.65,5911.82,5781.66,332.089,253.032,978.549,812.871,700.412,6955.91,7358.61,12378.3,55186.4
757,6726.34,8599.45,5981.5,4139.45,3575.88,2663.38,2116.14,1885.78,1513.79,1432.38,1226,947.886,5175.14,6022.13,6500.98,4660.76,273.669,259.804,1034.88,907.36,870.864,5204.23,7393.89,17859.1,73042.3
78,6970.97,8570.29,6080.2,4190.12,3454.31,2454.92,1912.37,1890.7,1529.85,1414.47,1251.78,883.55,4439.08,5006.92,3844.1,5105.09,223.598,319.813,859.47,779.003,638.69,6460.66,5789.64,14288.3,75321.8
262,5402.28,7610.53,5614.87,3670.01,3278.84,2346.1,1825.18,1625.04,1411.33,1273.83,1184.69,904.28,4177,5776.16,5832.01,5541.28,229.297,322.713,783.447,1001.22,976.112,7007.21,6654.43,15753.9,69270
1124,5656.85,7616.85,5540.04,3766.76,3195.38,2385.2,1871.4,1686.3,1452.8,1308.63,1240.68,961.417,3792.03,4184.15,5058.4,4558.83,294.783,320.125,911.514,1175.7,752.966,6761.79,6948.48,12750.5,68989.2
378,5282.11,7076.28,5321.05,3603.34,3037.75,2323.19,1795.4,1605.53,1385.05,1317.08,1142.7,985.258,4197.4,5020.78,6549.09,5666.32,232.363,234.403,827.127,1004.02,845.561,7861.09,8087.87,15472.9,56313.1
