seed, Total Cost T
304, 5.78416e+07
1082, 5.78416e+07
168, 5.78416e+07
143, 5.78416e+07
182, 5.78416e+07
482, 5.78416e+07
87, 5.78416e+07
766, 5.78416e+07
774, 5.78416e+07
229, 5.78416e+07
733, 5.78416e+07
814, 5.78416e+07
1112, 5.78416e+07
547, 5.78416e+07
845, 5.78416e+07
249, 5.78416e+07
711, 5.78416e+07
455, 5.78416e+07
379, 5.78416e+07
116, 5.78416e+07
309, 5.78416e+07
412, 5.78416e+07
1147, 5.78416e+07
878, 5.78416e+07
905, 5.78416e+07
838, 5.78416e+07
964, 5.78416e+07
596, 5.78416e+07
995, 5.78416e+07
503, 5.78416e+07
662, 5.78416e+07
1126, 5.78416e+07
737, 5.78416e+07
963, 5.78416e+07
598, 5.78416e+07
1041, 5.78416e+07
285, 5.78416e+07
884, 5.78416e+07
805, 5.78416e+07
693, 5.78416e+07
613, 5.78416e+07
648, 5.78416e+07
349, 5.78416e+07
265, 5.78416e+07
16, 5.78416e+07
56, 5.78416e+07
671, 5.78416e+07
106, 5.78416e+07
756, 5.78416e+07
644, 5.78416e+07
150, 5.78416e+07
727, 5.78416e+07
1067, 5.78416e+07
1209, 5.78416e+07
323, 5.78416e+07
1235, 5.78416e+07
266, 5.78416e+07
607, 5.78416e+07
1015, 5.78416e+07
1106, 5.78416e+07
593, 5.78416e+07
958, 5.78416e+07
698, 5.78416e+07
880, 5.78416e+07
27, 5.78416e+07
1138, 5.78416e+07
198, 5.78416e+07
972, 5.78416e+07
747, 5.78416e+07
346, 5.78416e+07
225, 5.78416e+07
465, 5.78416e+07
53, 5.78416e+07
792, 5.78416e+07
811, 5.78416e+07
977, 5.78416e+07
1132, 5.78416e+07
33, 5.78416e+07
870, 5.78416e+07
459, 5.78416e+07
702, 5.78416e+07
427, 5.78416e+07
145, 5.78416e+07
237, 5.78416e+07
446, 5.78416e+07
169, 5.78416e+07
236, 5.78416e+07
796, 5.78416e+07
410, 5.78416e+07
131, 5.78416e+07
219, 5.78416e+07
687, 5.78416e+07
49, 5.78416e+07
591, 5.78416e+07
79, 5.78416e+07
750, 5.78416e+07
63, 5.78416e+07
919, 5.78416e+07
650, 5.78416e+07
1065, 5.78416e+07
926, 5.78416e+07
90, 5.78416e+07
790, 5.78416e+07
1046, 5.78416e+07
373, 5.78416e+07
57, 5.78416e+07
1085, 5.78416e+07
1170, 5.78416e+07
1062, 5.78416e+07
826, 5.78416e+07
569, 5.78416e+07
207, 5.78416e+07
798, 5.78416e+07
165, 5.78416e+07
88, 5.78416e+07
6, 5.78416e+07
495, 5.78416e+07
538, 5.78416e+07
959, 5.78416e+07
941, 5.78416e+07
1146, 5.78416e+07
934, 5.78416e+07
1119, 5.78416e+07
1044, 5.78416e+07
655, 5.78416e+07
897, 5.78416e+07
555, 5.78416e+07
257, 5.78416e+07
385, 5.78416e+07
404, 5.78416e+07
848, 5.78416e+07
902, 5.78416e+07
82, 5.78416e+07
1130, 5.78416e+07
1108, 5.78416e+07
895, 5.78416e+07
1011, 5.78416e+07
303, 5.78416e+07
438, 5.78416e+07
968, 5.78416e+07
557, 5.78416e+07
1070, 5.78416e+07
1094, 5.78416e+07
911, 5.78416e+07
1133, 5.78416e+07
36, 5.78416e+07
109, 5.78416e+07
355, 5.78416e+07
661, 5.78416e+07
1023, 5.78416e+07
122, 5.78416e+07
509, 5.78416e+07
499, 5.78416e+07
378, 5.78416e+07
1128, 5.78416e+07
562, 5.78416e+07
476, 5.78416e+07
833, 5.78416e+07
1110, 5.78416e+07
1022, 5.78416e+07
392, 5.78416e+07
1031, 5.78416e+07
248, 5.78416e+07
35, 5.78416e+07
570, 5.78416e+07
1210, 5.78416e+07
525, 5.78416e+07
994, 5.78416e+07
1071, 5.78416e+07
533, 5.78416e+07
639, 5.78416e+07
595, 5.78416e+07
974, 5.78416e+07
652, 5.78416e+07
0, 5.78416e+07
330, 5.78416e+07
208, 5.78416e+07
667, 5.78416e+07
185, 5.78416e+07
76, 5.78416e+07
948, 5.78416e+07
118, 5.78416e+07
264, 5.78416e+07
548, 5.78416e+07
322, 5.78416e+07
395, 5.78416e+07
551, 5.78416e+07
160, 5.78416e+07
876, 5.78416e+07
1219, 5.78416e+07
297, 5.78416e+07
802, 5.78416e+07
141, 5.78416e+07
231, 5.78416e+07
295, 5.78416e+07
59, 5.78416e+07
7, 5.78416e+07
752, 5.78416e+07
546, 5.78416e+07
1197, 5.78416e+07
255, 5.78416e+07
490, 5.78416e+07
283, 5.78416e+07
12, 5.78416e+07
129, 5.78416e+07
782, 5.78416e+07
581, 5.78416e+07
692, 5.78416e+07
71, 5.78416e+07
821, 5.78416e+07
426, 5.78416e+07
920, 5.78416e+07
882, 5.78416e+07
102, 5.78416e+07
188, 5.78416e+07
657, 5.78416e+07
840, 5.78416e+07
757, 5.78416e+07
529, 5.78416e+07
630, 5.78416e+07
522, 5.78416e+07
350, 5.78416e+07
558, 5.78416e+07
14, 5.78416e+07
605, 5.78416e+07
492, 5.78416e+07
291, 5.78416e+07
588, 5.78416e+07
135, 5.78416e+07
1123, 5.78416e+07
1233, 5.78416e+07
252, 5.78416e+07
220, 5.78416e+07
918, 5.78416e+07
171, 5.78416e+07
1215, 5.78416e+07
91, 5.78416e+07
5, 5.78416e+07
296, 5.78416e+07
1086, 5.78416e+07
61, 5.78416e+07
571, 5.78416e+07
510, 5.78416e+07
307, 5.78416e+07
383, 5.78416e+07
475, 5.78416e+07
925, 5.78416e+07
993, 5.78416e+07
651, 5.78416e+07
1043, 5.78416e+07
1212, 5.78416e+07
786, 5.78416e+07
606, 5.78416e+07
886, 5.78416e+07
957, 5.78416e+07
263, 5.78416e+07
763, 5.78416e+07
1056, 5.78416e+07
809, 5.78416e+07
443, 5.78416e+07
338, 5.78416e+07
26, 5.78416e+07
1154, 5.78416e+07
407, 5.78416e+07
632, 5.78416e+07
177, 5.78416e+07
691, 5.78416e+07
247, 5.78416e+07
352, 5.78416e+07
784, 5.78416e+07
1017, 5.78416e+07
631, 5.78416e+07
320, 5.78416e+07
770, 5.78416e+07
1188, 5.78416e+07
452, 5.78416e+07
1129, 5.78416e+07
512, 5.78416e+07
1109, 5.78416e+07
715, 5.78416e+07
780, 5.78416e+07
933, 5.78416e+07
991, 5.78416e+07
365, 5.78416e+07
484, 5.78416e+07
227, 5.78416e+07
251, 5.78416e+07
445, 5.78416e+07
611, 5.78416e+07
701, 5.78416e+07
653, 5.78416e+07
697, 5.78416e+07
755, 5.78416e+07
1036, 5.78416e+07
94, 5.78416e+07
846, 5.78416e+07
235, 5.78416e+07
113, 5.78416e+07
66, 5.78416e+07
975, 5.78416e+07
997, 5.78416e+07
396, 5.78416e+07
327, 5.78416e+07
10, 5.78416e+07
300, 5.78416e+07
226, 5.78416e+07
1180, 5.78416e+07
163, 5.78416e+07
1117, 5.78416e+07
666, 5.78416e+07
273, 5.78416e+07
183, 5.78416e+07
1020, 5.78416e+07
310, 5.78416e+07
95, 5.78416e+07
1054, 5.78416e+07
202, 5.78416e+07
638, 5.78416e+07
709, 5.78416e+07
996, 5.78416e+07
39, 5.78416e+07
764, 5.78416e+07
708, 5.78416e+07
1168, 5.78416e+07
184, 5.78416e+07
241, 5.78416e+07
431, 5.78416e+07
147, 5.78416e+07
642, 5.78416e+07
1200, 5.78416e+07
312, 5.78416e+07
17, 5.78416e+07
640, 5.78416e+07
1014, 5.78416e+07
158, 5.78416e+07
380, 5.78416e+07
319, 5.78416e+07
791, 5.78416e+07
1232, 5.78416e+07
734, 5.78416e+07
318, 5.78416e+07
628, 5.78416e+07
815, 5.78416e+07
504, 5.78416e+07
224, 5.78416e+07
965, 5.78416e+07
374, 5.78416e+07
301, 5.78416e+07
164, 5.78416e+07
125, 5.78416e+07
556, 5.78416e+07
1006, 5.78416e+07
429, 5.78416e+07
992, 5.78416e+07
337, 5.78416e+07
1089, 5.78416e+07
74, 5.78416e+07
935, 5.78416e+07
539, 5.78416e+07
754, 5.78416e+07
428, 5.78416e+07
1157, 5.78416e+07
13, 5.78416e+07
1246, 5.78416e+07
342, 5.78416e+07
1081, 5.78416e+07
483, 5.78416e+07
299, 5.78416e+07
175, 5.78416e+07
1238, 5.78416e+07
434, 5.78416e+07
111, 5.78416e+07
47, 5.78416e+07
760, 5.78416e+07
1173, 5.78416e+07
409, 5.78416e+07
844, 5.78416e+07
1206, 5.78416e+07
321, 5.78416e+07
1051, 5.78416e+07
850, 5.78416e+07
284, 5.78416e+07
527, 5.78416e+07
441, 5.78416e+07
413, 5.78416e+07
1093, 5.78416e+07
382, 5.78416e+07
140, 5.78416e+07
620, 5.78416e+07
1009, 5.78416e+07
269, 5.78416e+07
1136, 5.78416e+07
1214, 5.78416e+07
170, 5.78416e+07
1042, 5.78416e+07
726, 5.78416e+07
1152, 5.78416e+07
955, 5.78416e+07
1198, 5.78416e+07
401, 5.78416e+07
45, 5.78416e+07
403, 5.78416e+07
1040, 5.78416e+07
1007, 5.78416e+07
690, 5.78416e+07
610, 5.78416e+07
136, 5.78416e+07
83, 5.78416e+07
679, 5.78416e+07
240, 5.78416e+07
1145, 5.78416e+07
629, 5.78416e+07
616, 5.78416e+07
717, 5.78416e+07
635, 5.78416e+07
9, 5.78416e+07
1217, 5.78416e+07
89, 5.78416e+07
228, 5.78416e+07
120, 5.78416e+07
929, 5.78416e+07
479, 5.78416e+07
363, 5.78416e+07
281, 5.78416e+07
867, 5.78416e+07
181, 5.78416e+07
1165, 5.78416e+07
142, 5.78416e+07
721, 5.78416e+07
423, 5.78416e+07
473, 5.78416e+07
282, 5.78416e+07
609, 5.78416e+07
864, 5.78416e+07
913, 5.78416e+07
1201, 5.78416e+07
1240, 5.78416e+07
1103, 5.78416e+07
950, 5.78416e+07
1189, 5.78416e+07
917, 5.78416e+07
847, 5.78416e+07
930, 5.78416e+07
1153, 5.78416e+07
471, 5.78416e+07
334, 5.78416e+07
486, 5.78416e+07
279, 5.78416e+07
81, 5.78416e+07
341, 5.78416e+07
985, 5.78416e+07
508, 5.78416e+07
1156, 5.78416e+07
800, 5.78416e+07
769, 5.78416e+07
1029, 5.78416e+07
127, 5.78416e+07
55, 5.78416e+07
1193, 5.78416e+07
340, 5.78416e+07
827, 5.78416e+07
1037, 5.78416e+07
388, 5.78416e+07
1068, 5.78416e+07
743, 5.78416e+07
912, 5.78416e+07
940, 5.78416e+07
1005, 5.78416e+07
213, 5.78416e+07
1236, 5.78416e+07
633, 5.78416e+07
326, 5.78416e+07
397, 5.78416e+07
1114, 5.78416e+07
174, 5.78416e+07
343, 5.78416e+07
419, 5.78416e+07
501, 5.78416e+07
245, 5.78416e+07
149, 5.78416e+07
682, 5.78416e+07
288, 5.78416e+07
497, 5.78416e+07
627, 5.78416e+07
317, 5.78416e+07
485, 5.78416e+07
554, 5.78416e+07
204, 5.78416e+07
398, 5.78416e+07
818, 5.78416e+07
874, 5.78416e+07
420, 5.78416e+07
167, 5.78416e+07
1166, 5.78416e+07
242, 5.78416e+07
804, 5.78416e+07
952, 5.78416e+07
408, 5.78416e+07
73, 5.78416e+07
313, 5.78416e+07
822, 5.78416e+07
315, 5.78416e+07
246, 5.78416e+07
1018, 5.78416e+07
789, 5.78416e+07
78, 5.78416e+07
889, 5.78416e+07
1047, 5.78416e+07
777, 5.78416e+07
659, 5.78416e+07
704, 5.78416e+07
454, 5.78416e+07
1167, 5.78416e+07
356, 5.78416e+07
1104, 5.78416e+07
402, 5.78416e+07
387, 5.78416e+07
1186, 5.78416e+07
114, 5.78416e+07
457, 5.78416e+07
696, 5.78416e+07
1164, 5.78416e+07
112, 5.78416e+07
980, 5.78416e+07
887, 5.78416e+07
576, 5.78416e+07
634, 5.78416e+07
133, 5.78416e+07
675, 5.78416e+07
857, 5.78416e+07
686, 5.78416e+07
15, 5.78416e+07
293, 5.78416e+07
853, 5.78416e+07
981, 5.78416e+07
1028, 5.78416e+07
849, 5.78416e+07
161, 5.78416e+07
32, 5.78416e+07
615, 5.78416e+07
739, 5.78416e+07
1091, 5.78416e+07
1008, 5.78416e+07
863, 5.78416e+07
1231, 5.78416e+07
660, 5.78416e+07
186, 5.78416e+07
795, 5.78416e+07
1100, 5.78416e+07
316, 5.78416e+07
706, 5.78416e+07
1150, 5.78416e+07
194, 5.78416e+07
656, 5.78416e+07
900, 5.78416e+07
84, 5.78416e+07
520, 5.78416e+07
369, 5.78416e+07
820, 5.78416e+07
381, 5.78416e+07
560, 5.78416e+07
861, 5.78416e+07
761, 5.78416e+07
625, 5.78416e+07
665, 5.78416e+07
528, 5.78416e+07
530, 5.78416e+07
481, 5.78416e+07
138, 5.78416e+07
967, 5.78416e+07
723, 5.78416e+07
579, 5.78416e+07
335, 5.78416e+07
890, 5.78416e+07
944, 5.78416e+07
549, 5.78416e+07
1175, 5.78416e+07
359, 5.78416e+07
817, 5.78416e+07
731, 5.78416e+07
178, 5.78416e+07
11, 5.78416e+07
852, 5.78416e+07
1003, 5.78416e+07
564, 5.78416e+07
732, 5.78416e+07
250, 5.78416e+07
191, 5.78416e+07
649, 5.78416e+07
909, 5.78416e+07
