seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,1.70321,0.726182,0.682349,0.726188,0.708167,0.744717,0.229999,0.259821,0.270646,0.286344,0.302153,0.312347,3.87479,4.09747,4.2161,4.40864,19.8647,2.71274,6.11346,44.0291,24.2751,384.524,298.44,490.284,2690.36
1050,1.29436,0.931635,0.809107,0.718891,0.778833,0.726009,0.240539,0.27112,0.280761,0.292701,0.305459,0.312855,3.87744,4.05638,4.15945,4.33468,24.2573,27.5293,33.4062,52.6282,26.899,340.141,88.3687,428.523,2838.67
456,1.39226,0.562156,0.661485,0.663462,0.683965,0.69056,0.221314,0.250776,0.261872,0.278482,0.295021,0.305629,3.81908,4.02281,4.14326,4.33534,19.446,9.13377,13.9607,94.0209,34.8061,335.009,727.456,80.8854,4121.01
841,1.43825,0.631641,0.641433,0.706493,0.699647,0.685397,0.223269,0.252662,0.263864,0.280132,0.296273,0.306441,3.84582,4.03427,4.13991,4.31533,2.57275,36.3006,5.05785,6.65183,12.295,147.836,271.564,150.392,3652.56
838,1.26537,0.733523,0.74483,0.742079,0.727223,0.737673,0.233589,0.264228,0.273393,0.286496,0.300471,0.309125,3.84651,4.00917,4.09018,4.2454,29.9904,9.4914,7.19535,8.89282,4.12075,355.477,433.01,537.161,3778.67
757,1.49308,0.929161,0.839479,0.886566,0.878749,0.840565,0.257352,0.28853,0.295022,0.304586,0.314392,0.319651,3.87524,4.0186,4.08747,4.23951,120.478,16.4146,8.9185,82.2956,17.1082,328.798,663.314,180.72,2615.17
78,1.65877,0.994993,0.863373,0.789107,0.85376,0.796662,0.2536,0.285409,0.292401,0.301745,0.311776,0.316965,3.941,4.08347,4.14732,4.29993,5.8854,8.52783,5.97269,155.69,14.4509,133.215,199.6,159.992,1352.64
262,2.5483,0.77818,0.688005,0.716257,0.75131,0.738131,0.235101,0.265866,0.275819,0.29061,0.305547,0.315093,3.87676,4.09322,4.21427,4.41338,20.6493,16.2646,1.67515,2.88753,1.7797,218.389,632.124,104.95,5851.96
1124,1.96384,0.76422,0.696512,0.724666,0.698489,0.712743,0.234115,0.264574,0.273741,0.287949,0.301984,0.310617,3.84759,4.05296,4.17797,4.37705,1.67687,0.672451,7.63589,29.1077,25.9775,346.41,142.597,474.243,2561.82
378,0.869015,0.56292,0.661824,0.683742,0.679061,0.675969,0.22229,0.252486,0.264156,0.281391,0.298315,0.309265,3.83268,4.06336,4.19867,4.40205,1.01884,13.5809,10.6316,77.6486,20.8061,370.692,477.496,806.47,5352.91
