seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 18628.2, 24471.9, 26011.8, 26594.4, 26578.7, 26146.4, 25453.1, 25264.5, 25720.6, 26467.4, 26864.2, 26491.8, 188030, 63191.1, 20730.3, 6378.05, 2462.13, 138.933, 7.80641, 0.242603, 0.00735171, 0.00020175, 1.0753e-05, 1.48934e-06, 2.00164e-07
1082, 21127.8, 27039, 28496.9, 29021.1, 29004.3, 28586.2, 27874.4, 27517.5, 27619.9, 27885.7, 27784.8, 26984.3, 182334, 59371.5, 19126.2, 5815.28, 2226.21, 125.93, 7.19584, 0.231031, 0.00721738, 0.00020615, 1.17845e-05, 1.74326e-06, 2.38716e-07
168, 20668.2, 25732.1, 26995.1, 27494.5, 27455.4, 27009.2, 26287.5, 25980.4, 26234.4, 26739, 26911.8, 26368.2, 187739, 61999.2, 20048.5, 6069.98, 2298.55, 125.195, 6.65838, 0.194136, 0.0053924, 0.000145345, 1.3952e-05, 2.45277e-06, 3.32426e-07
143, 19481.1, 24989.3, 26426.2, 26995.1, 26987.4, 26556.2, 25848.5, 25574.4, 25890.1, 26488.5, 26772.5, 26335, 189134, 62813.1, 20372.6, 6185.07, 2347.19, 127.89, 6.78185, 0.197479, 0.00543099, 0.000139285, 1.16388e-05, 2.00465e-06, 2.73321e-07
182, 21407.8, 26758.1, 27990, 28423, 28351.9, 27898.2, 27169.6, 26832.1, 26998.9, 27357.5, 27355.4, 26645.8, 184581, 60584.1, 19514.4, 5904.42, 2240.8, 123.414, 6.75641, 0.204763, 0.00602197, 0.000161531, 1.00955e-05, 1.58009e-06, 2.16297e-07
482, 18585.2, 24952.1, 26699.7, 27358.4, 27390, 26991.3, 26311.2, 26089.1, 26454.5, 27067.2, 27315.6, 26804.9, 186357, 61788.8, 20079.7, 6130.71, 2344.44, 131.501, 7.34417, 0.227166, 0.00677239, 0.000183957, 1.05491e-05, 1.55384e-06, 2.10013e-07
87, 19835.3, 25409.5, 26876.3, 27430.9, 27402.7, 26960.2, 26244.4, 25986.1, 26310.3, 26873.6, 27072.1, 26524, 187366, 61883.4, 20005.9, 6061.37, 2298.63, 125.353, 6.6906, 0.195581, 0.00546899, 0.000139989, 1.0131e-05, 1.70796e-06, 2.34697e-07
766, 23051.1, 28680.5, 29901.5, 30318.6, 30281, 29873.3, 29161.6, 28695.4, 28583.5, 28570.1, 28188.3, 27151.2, 179602, 57869.7, 18423.7, 5534.59, 2089.88, 117.221, 6.66623, 0.211999, 0.0065817, 0.000185728, 9.64442e-06, 1.3289e-06, 1.80414e-07
774, 20973.2, 26530, 27834, 28296.1, 28239.8, 27793, 27068.2, 26740, 26926.3, 27315.8, 27349.7, 26673.2, 184390, 60490.6, 19546.1, 5938.54, 2264.69, 126.563, 7.06611, 0.219134, 0.00658667, 0.000182897, 1.15997e-05, 1.778e-06, 2.41161e-07
229, 22138.1, 27632, 28893.4, 29353.7, 29331.7, 28926.6, 28224.6, 27808.8, 27801.5, 27940.3, 27732.4, 26861.9, 183178, 59616.6, 19075.8, 5739.06, 2164.74, 119.467, 6.58261, 0.201222, 0.00597868, 0.000163657, 1.04758e-05, 1.65043e-06, 2.26149e-07
733, 19934, 25940.6, 27447.3, 28001.1, 27997.9, 27590.4, 26902.8, 26619.7, 26867.4, 27334, 27446.9, 26834.4, 184107, 61016.9, 19885, 6109.94, 2368.13, 136.306, 7.99232, 0.263766, 0.00851953, 0.000247681, 1.13559e-05, 1.34968e-06, 1.78065e-07
814, 19183.9, 25001.2, 26535.6, 27150.1, 27183.4, 26791.6, 26117.5, 25867, 26201.4, 26809, 27087.3, 26628.7, 187253, 62385.6, 20350.5, 6223.35, 2380.22, 133.822, 7.46712, 0.228892, 0.00675514, 0.000182197, 1.05331e-05, 1.53775e-06, 2.07115e-07
1112, 21320.1, 27155.9, 28476, 28903.6, 28826, 28375.3, 27652.2, 27328.7, 27495.1, 27825.3, 27766.6, 26984.1, 181242, 59436.7, 19294, 5926.23, 2308.19, 134.869, 8.1453, 0.280734, 0.00948104, 0.000286209, 1.1826e-05, 1.16822e-06, 1.47555e-07
547, 20030.9, 25779.4, 27253, 27815.3, 27813.2, 27397.9, 26699, 26412.4, 26670.9, 27156.9, 27290, 26694.5, 186251, 61219, 19763.7, 5989.19, 2270.52, 125.561, 6.86728, 0.208676, 0.00604419, 0.000161883, 1.10856e-05, 1.75591e-06, 2.37494e-07
845, 19870.9, 25230.6, 26611.7, 27214.1, 27273.6, 26905, 26242.4, 25930.5, 26156.8, 26668.6, 26907.6, 26465.9, 187788, 63107, 20694.4, 6358.17, 2446.6, 137.524, 7.67823, 0.23349, 0.00692275, 0.000192105, 1.34121e-05, 2.17952e-06, 2.9884e-07
249, 20757.6, 26345.4, 27741.7, 28289.2, 28302.4, 27907.2, 27219, 26876.6, 27021.3, 27375.2, 27398.7, 26731.2, 185255, 60951.6, 19688.7, 5974.59, 2272, 126.3, 6.98534, 0.213808, 0.00632719, 0.0001713, 1.05959e-05, 1.65377e-06, 2.26959e-07
711, 20865.7, 26703.4, 28104.5, 28614.8, 28603.4, 28198.2, 27505.1, 27164.5, 27304.2, 27632.5, 27608.2, 26882.2, 183424, 60228.5, 19474.6, 5931.25, 2271.79, 128.866, 7.39772, 0.237612, 0.00743147, 0.000212104, 1.14339e-05, 1.58599e-06, 2.13541e-07
455, 21706.7, 27587.7, 28974.2, 29461.1, 29443, 29040.1, 28340.7, 27957, 27995.3, 28167.3, 27962.6, 27068, 181895, 58853.5, 18807.7, 5664.63, 2142.49, 119.75, 6.76041, 0.214277, 0.0065692, 0.000181385, 8.75627e-06, 1.11842e-06, 1.48687e-07
379, 19826.4, 25776.3, 27227.9, 27730.4, 27678.1, 27233.6, 26525.2, 26287.5, 26626.7, 27190.2, 27372.5, 26796.5, 184049, 61002.5, 19920.2, 6133.79, 2384.83, 138.304, 8.19927, 0.274534, 0.00899386, 0.000263569, 1.07717e-05, 1.06072e-06, 1.32994e-07
116, 21315.7, 26583.4, 27871.5, 28358.7, 28319.3, 27882.2, 27162.7, 26829.3, 27005.1, 27376.9, 27385.7, 26679.5, 184615, 60558.1, 19510.4, 5898.26, 2232.08, 123.097, 6.70105, 0.199757, 0.00576062, 0.000152765, 1.01375e-05, 1.6361e-06, 2.2432e-07
309, 23749, 29387.6, 30490.8, 30786.1, 30663.1, 30203.4, 29456.6, 28976.3, 28821.7, 28722.3, 28232.1, 27098.6, 177958, 57238.1, 18268.7, 5526.64, 2122.33, 123.092, 7.41424, 0.255199, 0.00870615, 0.00026553, 1.05961e-05, 9.49529e-07, 1.15455e-07
412, 20044.6, 26105.9, 27680.3, 28253.9, 28245, 27824.8, 27121.2, 26847.2, 27105.2, 27558.5, 27625.7, 26947.5, 184075, 60131.5, 19380.7, 5887.03, 2247.47, 125.737, 7.06485, 0.223891, 0.00682626, 0.000184713, 8.27209e-06, 1.02076e-06, 1.36811e-07
1147, 21820.7, 27527.7, 28866.9, 29355, 29346.2, 28952, 28261.9, 27879.3, 27920.5, 28105.6, 27924.4, 27056.9, 181952, 59285.5, 19066.6, 5782.15, 2206.32, 125.37, 7.23658, 0.23453, 0.00742337, 0.000214078, 1.10673e-05, 1.47865e-06, 1.9851e-07
878, 17782.9, 23791.9, 25489.4, 26163.4, 26187.4, 25765.4, 25073.6, 24904.7, 25417, 26253.9, 26752.3, 26468.1, 189976, 63641.7, 20833.3, 6385.71, 2444.69, 135.658, 7.36144, 0.217912, 0.00613527, 0.000166777, 1.52192e-05, 2.68005e-06, 3.64807e-07
905, 22360.6, 27851.3, 29071.2, 29518.7, 29499.3, 29100.1, 28401.8, 27983.7, 27974.3, 28110.6, 27894.8, 27007.5, 181819, 59040.8, 18913.8, 5702.02, 2153.39, 121.122, 6.85439, 0.215085, 0.00653907, 0.000183449, 1.06695e-05, 1.54484e-06, 2.07864e-07
838, 21261.8, 26763.2, 28073.2, 28554.6, 28518.2, 28086.3, 27367.8, 27009.9, 27142, 27469.1, 27447.5, 26727.8, 184542, 60461.7, 19478.5, 5896.55, 2237.52, 123.711, 6.7923, 0.205372, 0.00600705, 0.00016653, 1.32061e-05, 2.2674e-06, 3.11793e-07
964, 22713.7, 28366, 29591.1, 29998.4, 29946.1, 29531.2, 28825.4, 28418.8, 28401.4, 28485.5, 28177.7, 27185.2, 178737, 57970, 18659.4, 5689.24, 2200.76, 129.483, 7.93048, 0.277426, 0.00952415, 0.000291551, 1.08973e-05, 8.42047e-07, 9.71193e-08
596, 24927.2, 30291.3, 31290.4, 31573, 31469.3, 31027.9, 30280, 29716.8, 29416.8, 29142.5, 28484.9, 27212.1, 177659, 56171, 17622, 5222.19, 1945.84, 107.183, 5.99332, 0.188673, 0.00580507, 0.000166672, 1.12349e-05, 1.81058e-06, 2.49102e-07
995, 21717.2, 27369.2, 28640.5, 29071, 29012.2, 28579.5, 27865.9, 27511, 27615.6, 27876.2, 27762.1, 26946.5, 181915, 59475.6, 19203.6, 5854.34, 2252.77, 129.396, 7.60609, 0.252841, 0.00823432, 0.000242352, 1.14327e-05, 1.36839e-06, 1.79653e-07
503, 20304.3, 25922.4, 27284, 27789.6, 27758.4, 27330.2, 26629.7, 26361.9, 26657.1, 27185.3, 27351.9, 26775.2, 184737, 61104.1, 19897.6, 6099.16, 2352.42, 134.296, 7.76629, 0.251921, 0.00793839, 0.000225076, 1.04749e-05, 1.27698e-06, 1.69135e-07
662, 21222.7, 26597, 27841.5, 28320.3, 28307.9, 27907.7, 27223.7, 26877.4, 27014.6, 27358.5, 27372, 26697.7, 184132, 60998.3, 19847.2, 6074.52, 2343.11, 133.867, 7.78951, 0.254188, 0.00816331, 0.000236177, 1.05455e-05, 1.18168e-06, 1.5282e-07
1126, 18322.6, 24702, 26500.1, 27207, 27269.9, 26887.6, 26217.2, 25996.6, 26371, 27012.4, 27305.6, 26841.5, 186196, 62005.2, 20249.2, 6219.12, 2395.8, 135.744, 7.68493, 0.240714, 0.00729182, 0.000201231, 1.14926e-05, 1.74025e-06, 2.39493e-07
737, 19140.4, 25272.1, 26826.9, 27394.3, 27386.7, 26971.5, 26286, 26049.7, 26394.1, 26991.9, 27241, 26745.5, 185326, 61896.5, 20308.6, 6279.24, 2450.64, 142.449, 8.45502, 0.283065, 0.00927701, 0.000274324, 1.27249e-05, 1.49335e-06, 1.95248e-07
963, 22584.9, 28272.6, 29427.8, 29752.6, 29625.6, 29153.1, 28411, 28026.7, 28065.1, 28215.5, 27967.7, 27025.8, 177905, 58194.7, 18969.9, 5893.07, 2358.59, 145.239, 9.55411, 0.363695, 0.0135665, 0.000445026, 1.58646e-05, 9.16248e-07, 8.97717e-08
598, 25205.6, 30572.7, 31561.5, 31837.9, 31735, 31295.8, 30545.8, 29961, 29618.4, 29287.9, 28573.3, 27252.4, 177392, 55794.3, 17415.1, 5133.59, 1900.91, 103.43, 5.70342, 0.177089, 0.00534826, 0.00014955, 9.89731e-06, 1.60292e-06, 2.21485e-07
1041, 20641.5, 26354.1, 27714.6, 28194.6, 28145.8, 27707.9, 26997.2, 26707, 26947.8, 27392.2, 27466.3, 26810.3, 183195, 60607.2, 19729.1, 6057.56, 2349.4, 134.888, 7.91247, 0.260695, 0.00846245, 0.000245607, 1.04153e-05, 1.13135e-06, 1.4729e-07
