seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 16553.5, 21984.4, 23629.2, 24412.5, 24637.1, 24465.6, 24045.9, 24224.2, 25305.8, 27035.3, 28743.4, 29882, 417965, 350701, 328062, 314027, 1.11486e+06, 1.09331e+06, 1.15467e+06, 1.03461e+06, 1.11169e+06, 896379, 612126, 422245, 473647
1082, 20364.1, 26309.6, 28018.3, 28827.2, 29101, 28984.4, 28602.3, 28730.3, 29635.4, 31089.3, 32487.5, 33338.3, 406841, 340314, 319164, 306364, 1.08493e+06, 1.06309e+06, 799153, 724741, 774599, 632175, 439291, 306701, 344353
168, 17686, 22247.4, 23593.7, 24276.6, 24476.4, 24310.4, 23904.7, 23996.2, 24872.3, 26322.9, 27760.3, 28694.7, 394272, 326832, 303396, 288742, 1.06673e+06, 1.0453e+06, 960445, 862249, 930764, 733405, 490483, 334681, 375224
143, 17673.9, 22896.3, 24470.5, 25250.2, 25482.6, 25308.2, 24871, 24969, 25919, 27507.3, 29102.4, 30165.8, 414210, 344833, 321274, 306715, 1.10192e+06, 1.08042e+06, 873770, 787005, 849372, 669419, 449069, 307134, 344414
182, 18667.5, 23583.8, 24946.6, 25598.1, 25787, 25629.8, 25239, 25347.4, 26211.4, 27607.3, 28960.3, 29805.8, 396345, 329807, 306465, 292004, 1.09005e+06, 1.0692e+06, 1.09624e+06, 977746, 1.05492e+06, 844848, 573531, 393938, 441769
482, 17214.9, 23330.2, 25219.8, 26101.4, 26384, 26251.5, 25854.4, 26034.4, 27089.9, 28768.1, 30407.8, 31470, 413732, 347914, 326930, 314106, 1.06938e+06, 1.04806e+06, 719467, 652736, 697893, 567568, 392895, 273787, 307331
87, 17766.2, 23013.5, 24615.3, 25384.6, 25605.9, 25437, 25018.5, 25169.3, 26170.2, 27763.3, 29306.8, 30288.8, 375601, 312254, 291086, 278317, 1.03462e+06, 1.01494e+06, 1.04928e+06, 940332, 1.01281e+06, 812030, 552705, 380637, 426971
766, 19835.5, 24918, 26252.4, 26886.9, 27117.1, 27033.7, 26720.7, 26780.1, 27444.2, 28539.1, 29582.2, 30177.9, 422177, 352126, 327905, 313003, 1.0321e+06, 1.01151e+06, 745906, 671336, 720145, 584956, 403767, 280447, 314757
774, 19633.2, 25078.6, 26593.4, 27316.9, 27538.1, 27384.2, 26978.6, 27104.2, 28040.4, 29551.7, 31019.3, 31939.5, 408807, 338961, 315246, 300426, 1.02867e+06, 1.00688e+06, 759381, 684827, 735144, 588745, 399860, 275198, 308739
229, 21036.4, 26543.7, 28067.2, 28809.6, 29071, 28964.4, 28598.7, 28685.9, 29503.1, 30851.9, 32167.4, 32979.1, 400637, 333713, 310473, 296271, 1.06911e+06, 1.04888e+06, 1.07279e+06, 961791, 1.03432e+06, 834261, 571034, 394401, 442438
733, 17584.8, 23118, 24725.4, 25484.6, 25733.3, 25613.3, 25250, 25398.4, 26333.3, 27835.1, 29307.8, 30259, 397031, 333585, 312462, 299481, 1.04912e+06, 1.02868e+06, 765992, 690433, 740246, 603175, 418305, 291365, 327054
814, 18173.6, 23907.6, 25637.7, 26496.8, 26785.8, 26653.8, 26248.8, 26395.6, 27433.1, 29135.7, 30838.2, 31974.6, 406605, 339298, 316978, 303134, 1.09432e+06, 1.07195e+06, 1.05016e+06, 949139, 1.01695e+06, 817437, 557165, 384607, 431540
1112, 18595.6, 23917.7, 25351.2, 26002.5, 26196.7, 26058.3, 25694.7, 25836.7, 26720.8, 28113.5, 29441.5, 30251, 415462, 348548, 326472, 312907, 1.11937e+06, 1.09728e+06, 641850, 579639, 621285, 505699, 350671, 244286, 274238
547, 17713.1, 22993, 24547.5, 25300.9, 25541.5, 25405.8, 25022.3, 25143.7, 26049.6, 27518.8, 28953.2, 29860.9, 425234, 353793, 330478, 316184, 1.04725e+06, 1.02497e+06, 369623, 336343, 360893, 287403, 195141, 134655, 151114
845, 16175.5, 20729.4, 22090.6, 22817.8, 23086.7, 22992, 22653.6, 22722.1, 23505.8, 24866.1, 26278.3, 27260.9, 376959, 315350, 293520, 279579, 949962, 931215, 1.11932e+06, 997622, 1.07266e+06, 864455, 587681, 403734, 452764
249, 19899, 25534.1, 27187.8, 28010.2, 28295.4, 28176.7, 27785.5, 27898.2, 28823.4, 30352.6, 31870.5, 32855.1, 387235, 323582, 302198, 289162, 1.05278e+06, 1.03289e+06, 1.07485e+06, 966674, 1.03819e+06, 838399, 575046, 397905, 446446
711, 19311.9, 24968, 26562.4, 27323.2, 27582.8, 27470.8, 27106.2, 27235.4, 28142.2, 29611.1, 31046.7, 31955.8, 398178, 332485, 310238, 296481, 1.12834e+06, 1.10544e+06, 846308, 764110, 819378, 662824, 455903, 316184, 354826
455, 20274.5, 26030.3, 27633.6, 28386.6, 28651.7, 28557.4, 28212.1, 28340.3, 29199, 30566.4, 31869.8, 32649.1, 392170, 326240, 304242, 290920, 1.16481e+06, 1.14134e+06, 838390, 760153, 814719, 659279, 455069, 316572, 355390
