seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,1.59833,0.578442,0.606989,0.633838,0.626898,0.648824,0.203048,0.228916,0.239457,0.256795,0.274613,0.286757,3.6607,3.98081,4.16022,4.38034,19.8563,2.71276,6.11148,43.9189,24.2494,384.035,298.15,489.702,2687.11
1050,1.23012,0.801665,0.719764,0.653903,0.69842,0.65127,0.216656,0.243416,0.252697,0.26637,0.280936,0.2901,3.68384,3.95195,4.10937,4.30925,24.249,27.5318,33.4005,52.4987,26.8736,339.751,88.3043,428.128,2835.99
456,1.29802,0.441964,0.571412,0.580319,0.597138,0.591549,0.193892,0.218834,0.229703,0.248039,0.266622,0.279243,3.59657,3.90233,4.08539,4.30574,19.4379,9.1339,13.955,93.7469,34.7635,334.497,726.614,80.7731,4115.19
841,1.34815,0.530631,0.574236,0.622041,0.612552,0.597058,0.196267,0.221514,0.232249,0.250138,0.268262,0.28041,3.62465,3.91502,4.08265,4.28608,2.57172,36.3029,5.05628,6.6321,12.2804,147.618,271.288,150.208,3647.98
838,1.19771,0.642891,0.668991,0.662204,0.641018,0.646761,0.208863,0.235069,0.244144,0.258978,0.274796,0.285277,3.64421,3.90026,4.03839,4.21939,29.9809,9.49244,7.1938,8.87039,4.11667,355.048,432.65,536.617,3774.76
757,1.43265,0.856851,0.775722,0.811487,0.802489,0.766986,0.236033,0.264052,0.270689,0.281619,0.293074,0.299871,3.70896,3.92937,4.04526,4.21843,120.446,16.4156,8.91653,82.1321,17.0943,328.473,662.827,180.559,2612.8
78,1.59311,0.914888,0.797747,0.73069,0.781619,0.730217,0.233099,0.261536,0.268483,0.279154,0.290707,0.297342,3.76959,3.99034,4.10257,4.27708,5.88343,8.52819,5.97113,155.354,14.4377,133.069,199.436,159.836,1351.29
262,2.39739,0.650329,0.619165,0.638585,0.660356,0.653086,0.209353,0.235933,0.245768,0.262074,0.278967,0.29041,3.67166,3.98193,4.16118,4.38666,20.6412,16.2647,1.67471,2.8808,1.77801,218.141,631.609,104.844,5845.92
1124,1.84877,0.634781,0.628501,0.643009,0.622603,0.633361,0.208506,0.234827,0.244206,0.259993,0.275982,0.286489,3.64383,3.94266,4.12511,4.35027,1.67618,0.672437,7.63366,29.0367,25.9515,345.996,142.477,473.755,2559.13
378,0.809775,0.483571,0.560612,0.590471,0.583999,0.571559,0.194004,0.219274,0.231068,0.250092,0.269188,0.282225,3.60781,3.94161,4.1404,4.37248,1.01837,13.5805,10.6281,77.4421,20.7832,370.206,477.043,805.533,5346.56
