seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,2476.79,2869.96,3016.74,3078.02,3073.55,3031.34,338.614,318.061,365.727,417.5,472.235,467.801,6500.95,7024.24,6816.56,7163.87,88772.5,67340,74256.4,88134.8,111883,213477,209743,308100,389714
1050,2755.32,3088.68,3217.02,3279.58,3267.75,3216.17,347.836,328.363,397.614,385.182,488.13,404.745,6120.97,6920.9,6482.3,7560.86,64299.8,71644.6,76957.9,110566,109488,210605,202633,289023,359059
456,2270.23,2716.29,2885.64,2956.33,2958.01,2898.83,283.323,338.917,341.74,394.536,431.755,493.541,5402.4,6183.63,6798.58,6718.75,61645.6,45934.3,101955,125791,68613.8,211379,209897,289936,375553
841,2407.84,2791.96,2945.95,3002.69,2993.9,2941.7,335.72,344.488,368.987,357.73,476.202,403.62,6116.25,6383.72,6332.19,6740.29,82293.7,66018.5,117597,94919,108279,158968,191327,238498,373180
838,2633.32,2969.5,3105.63,3169.6,3156.87,3107.57,325.387,337.605,410.174,384.951,478.721,421.892,6335.39,7237.48,6167.44,6615.67,27005.6,91685.1,60661.1,103257,96256.6,179195,194751,234192,414550
757,3095.5,3375.36,3464.43,3521.07,3513.53,3466.45,387.305,388.428,427.627,454.779,497.244,480.581,6076.77,5951.44,6344.14,7148.03,77451.2,49885.5,106617,57611.8,80242.8,197265,197432,272478,360767
78,3112.52,3357.84,3466.83,3517.45,3496.03,3453.23,363.305,397.524,398.771,419.326,461.581,487.43,5740.5,6465.89,6076.76,7525.44,96121.2,73570.7,103121,91585.8,110720,211802,201015,275498,322787
262,2519.04,2933.45,3092.57,3149.8,3152.3,3110.35,339.537,336.018,379.7,405.759,478.245,465.189,5635.75,6540.94,6460.33,6331.66,80083.4,73278.1,125443,116545,78467.9,237064,212896,318434,345367
1124,2505.95,2925.2,3082.23,3159.65,3145.87,3103.79,314.695,357.768,373.912,427.742,481.072,473.82,6207.05,6355.46,6376.45,7222.94,68099.7,83666.8,81047.3,111968,91204.5,158431,214461,246156,402761
378,2289.57,2745.76,2899.58,2961.6,2951.52,2906.83,311.921,327.653,377.653,374.136,400.692,469.896,6038.31,6861.72,6146.47,6973.88,93548.6,93692.5,108859,114890,100081,214422,217005,327331,435497
