seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,16997.6,21790.8,22944.1,23446.9,23516.1,23235.5,22705.9,22774.9,23796.9,25539,27310.6,28523.8,370117,321980,305938,295257,1.06341e+06,1.04369e+06,1.13649e+06,1.01362e+06,1.09185e+06,892060,620328,432252,485151
1050,19537,24164,25222,25687.7,25744.6,25461.3,24926.3,24936.7,25815.8,27329.9,28826.3,29767.6,425356,365097,345036,331666,976228,954927,802366,725734,779157,624541,425921,294684,330704
456,16158.5,21316.2,22675.8,23267.4,23345.9,23028.6,22441.4,22508.3,23610.4,25490.3,27397.5,28696.6,369122,320422,304987,294636,1.16807e+06,1.14462e+06,855286,769678,829621,668507,460521,319911,359102
841,17219.1,22063.1,23238.7,23739.9,23770.4,23427.6,22826.3,22888.3,23981.2,25837.3,27708.3,28969.9,385845,333402,316063,304202,1.14771e+06,1.12341e+06,959565,863909,931251,742830,504998,348376,390874
838,18603.7,23210.7,24296,24788.6,24857.2,24569.9,24023.9,24024.9,24925.2,26513,28128,29202.4,392331,335993,316211,302908,1.07438e+06,1.05188e+06,836046,745714,805816,645366,439255,302493,339328
757,21614.5,26104.2,27006.5,27403.7,27476,27253.4,26791,26759,27441.1,28644.1,29813.7,30493.1,372212,315454,295262,282244,1.13468e+06,1.11174e+06,902264,802472,866984,700865,481791,333429,374193
78,21344.2,25507.9,26397.4,26795.9,26847.6,26595,26102.9,26049.5,26708.8,27886.5,29036.2,29709.3,367686,311289,291117,278085,1.09938e+06,1.07812e+06,1.27304e+06,1.12909e+06,1.22182e+06,977529,663040,455091,510340
262,17507.8,22533.2,23779.2,24332.5,24443.9,24199.5,23698.3,23756.6,24727.7,26396,28093.4,29244.5,375997,326180,309975,299452,1.07495e+06,1.05453e+06,1.00503e+06,901766,968986,794205,555293,388650,436381
1124,18191.6,23475.9,24834.8,25425,25524.3,25240.2,24684.1,24726.6,25712.8,27399.9,29089.3,30194.8,381866,330575,314496,303963,1.06499e+06,1.04388e+06,848182,762954,819923,668706,465482,325130,365043
378,16442.6,21655.9,22953.9,23487.5,23528.2,23192.2,22598.9,22715.8,23903.1,25871.9,27847.5,29190.8,361670,316051,301787,292195,1.11485e+06,1.09342e+06,970437,870077,936200,765653,534714,373999,419927
