seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,16864.6,21746.3,22958.9,23480.9,23550.3,23266,22734.3,22827.3,23896.5,25683.5,27476.2,28684.2,372286,321879,306572,296210,1.06322e+06,1.04393e+06,1.13905e+06,1.02227e+06,1.09624e+06,896692,622970,433919,487010
1050,19417.4,24127.7,25241.7,25726.8,25786.2,25501.9,24966.9,25000.3,25923.4,27478.8,28994,29929.4,427868,364870,345642,332630,976067,955260,804488,732440,782610,628174,427902,295881,332035
456,16019.1,21258.7,22679.4,23295.9,23380.4,23064.2,22478.5,22567.3,23713.2,25637.5,27568.7,28866.9,371615,320219,305616,295622,1.16779e+06,1.14503e+06,857785,777536,833646,672803,462931,321391,360750
841,17047.6,21991.7,23237.4,23764.2,23798.7,23455.2,22854.4,22944.1,24090.4,25997.9,27893.9,29151,388515,333138,316686,305206,1.14745e+06,1.12386e+06,962571,873276,936073,747914,507769,350028,392710
838,18475.2,23162.8,24305.2,24819.8,24892.6,24605.1,24059.9,24082.2,25024.4,26653.1,28288.8,29359.9,394739,335758,316763,303797,1.07423e+06,1.0523e+06,838295,752686,809435,649132,441325,303733,340706
757,21559.5,26086.6,27019.8,27432.7,27511.7,27293.1,26834.4,26814.7,27519.5,28745.3,29927.6,30606.6,373994,315321,295721,282951,1.13462e+06,1.11216e+06,904234,808343,870091,704099,483634,334564,375456
78,21301.2,25520.1,26445.7,26857.6,26911.6,26658.6,26166.5,26127.8,26816,28021.5,29184.4,29853.7,369728,311240,291699,278940,1.09939e+06,1.0785e+06,1.27602e+06,1.1382e+06,1.22667e+06,982491,665823,456806,512250
262,17382.3,22488.1,23789.5,24361.5,24473.9,24226.9,23724.4,23804.8,24819.1,26528.5,28245.1,29391.4,378089,326015,310522,300299,1.0747e+06,1.05475e+06,1.00715e+06,909054,972622,798090,557484,390014,437900
1124,18084.1,23431.4,24839.3,25451.5,25558,25276.9,24723.7,24783.5,25803.6,27525.3,29234.1,30339.6,384164,330368,315045,304829,1.06472e+06,1.04417e+06,850233,769575,823293,672308,467527,326395,366452
378,16286.5,21592.8,22956,23512.3,23555.2,23217.2,22623,22766.5,24005.1,26022.8,28022,29360.8,363915,315902,302418,293160,1.11454e+06,1.09364e+06,972761,878014,940172,769903,537129,375519,421623
