seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,6117.1,8725.38,6383.51,4235.2,3641.22,2724.68,2084.11,2064.14,1646.83,1486.02,1371.42,963.775,3662.74,5930.36,5057.73,5237.93,287.822,197.04,891.379,810.604,1062.96,7268.27,7670.68,17694.4,56469.2
1050,6410.36,8957.82,6555.59,4440.33,3769.62,2792.86,2190.51,2078.51,1644.48,1499.48,1336.68,968.207,5228.68,5594.79,5382.84,4841.04,221.123,260.041,729.601,900.976,849.107,4914.22,7448.9,16337.9,66798.9
456,5657.17,8325.45,6032.23,4129.84,3609.1,2593.33,2089.6,1936.19,1572.16,1470.79,1328.44,1034.02,5431.55,5236.45,5242.74,6626.19,231.185,264.109,878.436,1011.97,790.879,7031.95,6567.68,15825.1,61350.6
841,6123.01,8318.67,6247.9,4312.54,3639.11,2715.78,2053.97,1898.33,1587.02,1452.29,1448.81,1066.06,4940.52,6008.35,4698.74,4550.71,259.617,227.102,897.822,1012.45,708.5,6760.8,5472.59,13740.9,66645.1
838,6564.71,8802.5,6297.73,4283.13,3637.66,2744.14,1928.64,1898.95,1668.18,1427.3,1329.44,1041.89,5617.66,5308.26,5956.66,5801.11,332.188,253.101,979.256,815.043,701.298,6966.77,7367.14,12391.2,55243.6
757,7220.7,9397.97,6619.47,4608.11,3998.2,2991.39,2386.19,2125.72,1692.11,1577.44,1329.02,1014.68,5363.69,6112.46,6540.92,4673.53,273.738,259.866,1035.52,909.288,871.766,5210.86,7401.24,17875.4,73108.9
78,7467.49,9344.79,6713.53,4654.54,3853.1,2751.61,2152.26,2128.18,1708.23,1556.71,1356.8,946.125,4606.27,5086.37,3869.72,5120.79,223.666,319.887,860.009,780.784,639.402,6469.43,5795.75,14302.4,75396.2
262,5980.03,8588.93,6427.83,4229.05,3796.9,2732.83,2137.42,1901.75,1631.61,1442.07,1312.61,985.078,4364.92,5882.79,5875.98,5559.74,229.365,322.797,783.956,1003.65,977.228,7017.06,6661.44,15769.1,69336.5
1124,6256.23,8587.82,6328.58,4331.31,3693.28,2773.62,2187.84,1970.09,1676.54,1479.03,1372.72,1046.26,3963.08,4261.75,5096.97,4574.29,294.875,320.217,912.166,1178.71,753.886,6771.98,6956.38,12763.6,69060.3
378,5959.64,8147.56,6215.68,4238.84,3595.12,2767.64,2153.53,1922.6,1632.65,1513.46,1280.46,1082.82,4406.08,5122.6,6603.44,5687.35,232.44,234.472,827.747,1006.79,846.667,7873.76,8097.76,15490.3,56376.3
