seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,2930.81,3536.86,3812.13,3940.75,3978.65,3974.73,450.978,424.291,477.514,525.324,572.759,552.205,7176.8,7363.85,6946.33,7211.19,88818.5,67342.1,74256.5,88134.8,111883,213477,209743,308100,389714
1050,3156.48,3677.93,3919.27,4043.84,4069.1,4049.31,443.725,419.668,499.615,469.694,577.509,468.242,6691.01,7223.79,6594.74,7606.52,64330,71646.6,76958,110566,109488,210605,202633,289023,359059
456,2729.54,3395.61,3697.94,3838.59,3885.8,3861.66,383.896,460.158,453.18,502.604,528.699,587.108,5995.31,6498.7,6934.51,6765.24,61678.9,45935.8,101955,125791,68613.8,211379,209897,289936,375553
841,2861.2,3457.15,3742.16,3866.63,3901.46,3887.2,451.155,463.803,485.519,452.765,580.231,478.384,6777.53,6705.5,6457.98,6786.75,82337.5,66020.6,117597,94919,108279,158968,191327,238498,373180
838,3048.58,3581.03,3837.61,3966.72,3992.22,3976.82,422.383,439.32,524.251,476.325,573.197,492.877,6960.71,7572.65,6280.41,6657.79,27019,91687.8,60661.1,103257,96256.6,179195,194751,234192,414550
757,3450.94,3898.52,4085.59,4197.53,4223.03,4203.04,474.468,476.774,518.291,538.456,574.52,544.987,6561.24,6174.75,6438.36,7184.91,77483.1,49886.7,106618,57611.8,80242.8,197265,197432,272478,360767
78,3457.32,3862.86,4069.89,4173.98,4183.75,4170.24,443.385,486.319,481.884,495.35,532.573,552.476,6206.79,6716.47,6170.94,7566.29,96163.1,73572.6,103121,91585.8,110720,211802,201015,275498,322787
262,2954.44,3576.07,3860.71,3980.8,4024.78,4018.42,445.028,441.262,489.051,505.063,575.155,545.271,6194.6,6842.41,6577.35,6371.36,80122.7,73280.3,125443,116545,78467.9,237064,212896,318434,345367
1124,2931.98,3555.37,3834.72,3979.48,4003.04,3996.58,411.057,468.203,479.998,530.955,577.268,554.375,6822.26,6648.98,6492.51,7268.61,68133.6,83669.3,81047.4,111968,91204.5,158431,214461,246156,402761
378,2771.41,3457.88,3746.37,3879.32,3913.11,3909.53,426.86,448.846,504.265,478.938,492.417,560.583,6704.14,7209.9,6268.38,7021.65,93598.7,93695.4,108859,114890,100081,214422,217005,327331,435497
