seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 6744.8, 8779.59, 6602.05, 4731.43, 4355.14, 3383.07, 2495.27, 2649.84, 2031.31, 1845.63, 1504.67, 998.446, 4510.11, 4052.76, 5835.87, 5827.01, 304.43, 211.563, 913.153, 1105.98, 825.808, 5371.48, 6474.55, 15670.7, 64533.7
1082, 6615.2, 9072.13, 6828.24, 4779.32, 4331.52, 3442.57, 2782.56, 2494.17, 1920.36, 1661.56, 1478, 1025.02, 4532.84, 4476.25, 4983, 6054.62, 240.038, 281.93, 903.877, 1022.05, 780.202, 6234.45, 7222.2, 16375.5, 86355.5
168, 5199.78, 7065.72, 5759.03, 4219.19, 3980.44, 3280.71, 2652.13, 2602.34, 1972.08, 1727.08, 1532.57, 999.705, 5401.25, 5845.85, 4827.71, 5317.98, 218.812, 230.96, 838.711, 785.608, 884.146, 5361.6, 5592.92, 16390.1, 57197.5
143, 5613.51, 7860.08, 6064.95, 4496.35, 4208.22, 3231.13, 2622.76, 2446.57, 1949.56, 1872.48, 1469.4, 1027.39, 4821.3, 4676.12, 4870.55, 4464.37, 208.709, 266.958, 1011.58, 897.492, 746.984, 5481.99, 4736.05, 16163.3, 52077.2
182, 5434.64, 7691.79, 5974.11, 4572.53, 4132.04, 3258.1, 2804.59, 2690.63, 2070.05, 1822.5, 1459.44, 1054.56, 4219, 5764.42, 5225.83, 5277.3, 231.891, 261.605, 863.377, 873.534, 569.703, 7213.65, 6277.99, 15025.8, 65196.6
482, 4981.06, 7276.5, 5695.12, 4356.61, 4122.45, 3195.21, 2742.58, 2505.82, 2017.78, 1798.54, 1511.9, 1080.72, 4704.2, 4683.29, 4977.68, 6461.99, 294.68, 246.372, 901.287, 911.367, 834.933, 6442.12, 7022.66, 15394.3, 63165.9
87, 5356.72, 7580.73, 6065.12, 4520.4, 4155.61, 3310.69, 2652.22, 2536.15, 2005.87, 1749.1, 1504.49, 1031.29, 5218.64, 4389.87, 4521.62, 5773.35, 201.494, 216.792, 797.043, 691.992, 912.068, 4437.42, 6683.19, 14470.6, 55387.2
766, 4686.13, 7017.29, 5729.61, 4328.56, 4080.59, 3325.19, 2707.5, 2641.42, 2096.75, 1684.22, 1619.51, 1037.42, 4974.93, 5029.88, 5024.23, 5884.1, 321.482, 323.617, 916.085, 1136.65, 761.776, 7368.11, 6361.25, 18213.2, 72286
774, 5528.56, 7471.58, 5974.55, 4492.37, 4078.12, 3419.72, 2697.08, 2536.85, 2074.9, 1760.43, 1487.67, 972.705, 4425.46, 4537.45, 5321.81, 4829.12, 223.578, 280.99, 724.97, 767.022, 631.318, 6345.3, 7031.8, 13231.7, 53759.4
229, 5197, 7421.75, 5836.17, 4351.02, 4154.78, 3267.34, 2666.43, 2620.5, 2148.21, 1746.17, 1512.85, 1091.52, 5641.07, 4497.12, 4725.33, 5779.68, 391.783, 330.849, 1029.91, 1035.11, 844.451, 5927.58, 6315.54, 14846.3, 76330
733, 5953.9, 8170.5, 6316.75, 4651.73, 4237.64, 3244.5, 2759.92, 2600.43, 1915.07, 1767.21, 1550.09, 1036.8, 5837.22, 4755.55, 5885.83, 4099.05, 288.777, 239.174, 752.119, 872.544, 900.97, 6892.64, 7128.05, 14252.8, 69957.7
814, 5061.82, 7377.48, 5847.95, 4328.7, 4107.28, 3242.7, 2699.41, 2562, 2087.03, 1786.66, 1414.76, 1042.51, 5052.33, 5396.84, 4713.69, 4885.18, 293.334, 284.071, 779.719, 1262.3, 774.567, 6560.6, 6736.45, 18142.5, 73381.3
1112, 5306.08, 7669.3, 5993.82, 4667.5, 4132.8, 3402.2, 2786.55, 2637.18, 1971.2, 1806.09, 1462.05, 1021.5, 5787.85, 5549, 5176.26, 6428.05, 236.68, 296.289, 906.573, 1120.67, 1088.48, 7001.37, 6084.74, 16275.7, 77959.4
547, 6598.48, 8681.61, 6693.43, 4698.57, 4308.28, 3500.09, 2672.69, 2489.2, 2016.28, 1701.61, 1489.58, 1007.5, 4432.17, 5375.72, 4568.3, 4454.24, 317.654, 278.112, 807.378, 796.006, 883.768, 7123.05, 5669.35, 14289.8, 74571.1
845, 6224.41, 8274.27, 6316.69, 4592.22, 4235.67, 3333.47, 2898.94, 2640.61, 2095.92, 1759.52, 1573.31, 1024.22, 5791.67, 5910.38, 5734.65, 4877.61, 243.24, 237.18, 776.32, 791.738, 774.185, 6700.08, 7251.16, 14587.4, 75032.6
249, 5630.65, 7640.27, 5988.14, 4393.92, 4256.85, 3214.58, 2646.1, 2546.92, 2104.44, 1770.28, 1510.31, 1066.36, 4481.11, 5163.89, 5032.44, 5575.32, 283.56, 287.956, 1006.16, 821.261, 915.974, 5643.42, 6813.99, 16909.5, 72558.1
