seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 1.24126, 0.955327, 0.937896, 0.921394, 1.08392, 1.20454, 0.349494, 0.395286, 0.393478, 0.382168, 0.370678, 0.357852, 4.15971, 4.26398, 4.28537, 4.40238, 6.04304, 7.27785, 63.6964, 22.6987, 14.7286, 142.785, 334.259, 197.245, 2669.62
1082, 2.42389, 1.03593, 0.942192, 0.982364, 1.05752, 1.09771, 0.351021, 0.397976, 0.395211, 0.382872, 0.370993, 0.357816, 4.1232, 4.23663, 4.29004, 4.43266, 83.0991, 39.5202, 9.17541, 70.1661, 78.1577, 117.317, 139.311, 407.432, 3632.91
168, 1.31249, 0.495636, 0.706062, 0.846447, 0.989478, 1.01627, 0.339701, 0.388231, 0.385532, 0.375329, 0.36268, 0.348322, 4.08411, 4.17384, 4.19128, 4.29846, 11.6328, 6.94529, 74.4057, 7.86331, 22.0268, 332.276, 329.815, 390.662, 2227.77
143, 1.38101, 0.742397, 0.804011, 0.893966, 1.00095, 1.09871, 0.343636, 0.392108, 0.387759, 0.377514, 0.364928, 0.350803, 4.11855, 4.20884, 4.22975, 4.34312, 9.64072, 21.6091, 17.5073, 11.9164, 2.76742, 375.748, 173.61, 266.451, 2613.23
182, 1.10115, 0.666489, 0.766739, 0.849308, 1.00045, 1.11775, 0.344523, 0.390974, 0.388923, 0.378178, 0.365784, 0.351786, 4.09993, 4.20771, 4.23276, 4.34744, 14.5968, 27.6264, 18.491, 12.571, 25.5629, 429.985, 105.45, 382.22, 2804.74
482, 0.932935, 0.587329, 0.707651, 0.850098, 0.931463, 1.0372, 0.345116, 0.391667, 0.391153, 0.379461, 0.367229, 0.353194, 4.08407, 4.23175, 4.29805, 4.44697, 2.47942, 5.43264, 32.8328, 27.3859, 14.9564, 126.679, 150.289, 595.205, 5915.01
87, 1.13969, 0.690508, 0.773655, 0.909816, 1.03908, 1.09405, 0.344974, 0.392039, 0.38874, 0.378029, 0.36561, 0.351662, 4.09457, 4.19014, 4.22, 4.34566, 46.695, 19.9551, 31.2349, 39.1778, 7.31721, 92.6764, 173.494, 272.829, 781.893
766, 0.889491, 0.476845, 0.698792, 0.825756, 0.937063, 1.01455, 0.3435, 0.393167, 0.389664, 0.378357, 0.365826, 0.351498, 4.04004, 4.18778, 4.24316, 4.3811, 121.328, 10.0137, 20.7103, 33.5645, 20.6031, 205.543, 449.682, 170.093, 3436.84
774, 1.05385, 0.646054, 0.759869, 0.868573, 1.00837, 1.03111, 0.343582, 0.391151, 0.388978, 0.377861, 0.365488, 0.351388, 4.0524, 4.14848, 4.17487, 4.29077, 9.75268, 6.51484, 30.3676, 10.5098, 43.6978, 301.534, 233.771, 189.059, 3827.71
229, 1.34817, 0.639535, 0.724847, 0.839451, 0.932142, 1.03545, 0.341734, 0.390396, 0.388503, 0.378665, 0.366719, 0.352973, 4.10982, 4.23573, 4.27567, 4.40548, 8.34658, 6.94724, 11.44, 20.5334, 5.79675, 131.858, 164.861, 206.246, 2626.59
733, 1.01703, 0.863749, 0.836183, 0.925134, 1.02787, 1.16572, 0.346286, 0.396353, 0.393106, 0.381896, 0.37028, 0.357041, 4.11048, 4.2461, 4.29412, 4.42882, 129.735, 5.39322, 11.0407, 4.11143, 56.8231, 287.337, 436.869, 140.251, 2621.08
814, 1.40929, 0.545972, 0.723887, 0.874961, 0.98202, 1.04762, 0.342634, 0.391874, 0.389775, 0.379059, 0.366971, 0.35306, 4.06919, 4.18032, 4.22027, 4.34579, 12.9805, 21.3668, 5.74225, 7.85353, 4.52175, 144.474, 504.039, 281.929, 2353.94
1112, 1.31925, 0.62183, 0.788342, 0.872763, 0.978915, 1.05226, 0.344892, 0.393686, 0.391199, 0.38019, 0.36788, 0.354179, 4.06749, 4.21794, 4.28051, 4.42573, 100.95, 11.1924, 13.0996, 9.28283, 21.7916, 203.851, 463.326, 108.445, 4395.94
547, 1.28789, 0.969286, 0.99716, 0.9981, 1.06687, 1.10196, 0.347957, 0.393526, 0.391262, 0.379614, 0.367494, 0.353731, 4.09232, 4.17804, 4.20771, 4.33093, 93.9553, 21.9014, 25.6751, 90.9403, 67.64, 174.753, 526.186, 453.288, 2244.86
845, 1.61035, 0.768917, 0.824991, 0.907485, 0.98311, 1.12936, 0.344989, 0.393795, 0.391341, 0.380163, 0.368869, 0.355618, 4.12754, 4.23049, 4.24212, 4.34226, 7.02626, 25.5991, 3.96701, 19.6791, 24.232, 190.51, 630.155, 219.494, 3277.58
249, 1.35943, 0.752968, 0.887195, 0.869025, 0.955872, 1.09826, 0.344232, 0.393746, 0.391201, 0.380423, 0.368574, 0.355117, 4.12904, 4.24819, 4.29093, 4.42346, 51.9069, 3.50834, 13.9846, 23.2813, 17.2826, 295.687, 169.909, 326.792, 1695.81
