seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,1.69222,0.737248,0.763325,0.920228,0.961328,1.11978,0.346814,0.392536,0.391969,0.382227,0.370905,0.357862,4.12699,4.26728,4.3217,4.46415,19.8833,2.71368,6.12526,44.2936,24.3469,386.029,299.42,491.591,2697.4
1050,1.28636,0.940649,0.90631,0.861658,1.04237,1.03156,0.348543,0.394698,0.393365,0.380117,0.367622,0.353584,4.10247,4.20467,4.25261,4.3838,24.2785,27.5441,33.489,52.9838,26.9927,341.728,88.7151,429.867,2847.4
456,1.38171,0.575286,0.759758,0.844183,0.964709,1.09336,0.344336,0.392534,0.390649,0.379702,0.367381,0.353287,4.07888,4.19351,4.25006,4.39147,19.4642,9.13819,13.9958,94.704,34.9322,336.646,730.417,81.1467,4134.07
841,1.4262,0.645515,0.717546,0.892487,0.98488,1.04704,0.345372,0.391203,0.390068,0.379028,0.366761,0.352795,4.10501,4.20334,4.24542,4.37063,2.57516,36.3216,5.07214,6.70401,12.3439,148.629,272.776,150.92,3665.11
838,1.25728,0.746099,0.827035,0.91421,1.00624,1.1078,0.344721,0.394425,0.391472,0.379065,0.366917,0.353055,4.0835,4.1624,4.18567,4.29556,30.0203,9.49721,7.21318,8.95332,4.13516,357.12,434.689,538.816,3790.09
757,1.48701,0.940839,0.907948,1.04658,1.12153,1.13406,0.351736,0.396254,0.392301,0.381416,0.369245,0.355706,4.06847,4.14638,4.16786,4.28212,120.588,16.4233,8.93603,82.733,17.1555,329.989,665.362,181.174,2621.63
78,1.65267,1.00725,0.93831,0.921067,1.09515,1.07391,0.34842,0.394794,0.391572,0.379799,0.367587,0.353767,4.14637,4.21649,4.23069,4.34481,5.89082,8.53196,5.98514,156.607,14.495,133.744,200.273,160.438,1356.35
262,2.53147,0.789265,0.760798,0.877159,1.03302,1.06773,0.346147,0.394186,0.392781,0.383515,0.372273,0.359294,4.11657,4.25347,4.31389,4.46541,20.6665,16.2698,1.67826,2.90408,1.78468,219.208,634.101,105.212,5866.28
1124,1.95093,0.775476,0.770864,0.899082,0.939677,1.02859,0.347407,0.395125,0.391014,0.380552,0.368178,0.354196,4.08409,4.20907,4.27566,4.42819,1.6782,0.672693,7.65216,29.2886,26.0581,347.86,143.103,475.598,2569
378,0.862458,0.578547,0.769771,0.881826,0.977755,1.0865,0.344427,0.394129,0.391176,0.381118,0.36937,0.356037,4.09311,4.23958,4.30874,4.45979,1.01971,13.5848,10.6536,78.1486,20.8714,372.261,479.197,808.807,5368.15
