seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 1598.26, 1807.67, 1978.04, 2163.72, 2326.2, 2442.92, 285.18, 269.962, 306.55, 311.19, 321.897, 292.203, 3355.78, 3157.11, 3467.94, 3620.78, 46535.2, 42631.3, 50747.5, 44998.2, 42122.3, 84243.4, 105873, 144430, 207394
1082, 1627.9, 1846.1, 2017.24, 2193.49, 2343.3, 2456.7, 314.414, 275.995, 305.702, 311.372, 273.443, 297.308, 3329.99, 3600.87, 3252.89, 3714.09, 45467.5, 31147.6, 55556.1, 54204.1, 63375.1, 82491.4, 120752, 128460, 219724
168, 1235.42, 1496.18, 1726.39, 1971.81, 2195.38, 2363.01, 269.765, 276.009, 306.635, 306.414, 304.492, 262.883, 3598.31, 3217.32, 3662.73, 3407.93, 49079.7, 48032.6, 53743.5, 45789.5, 45018.2, 104799, 91968.8, 121829, 201116
143, 1370.35, 1620.29, 1824.73, 2046.16, 2231.73, 2384.43, 281.111, 287.398, 298.773, 282.087, 282.39, 296.228, 3379.57, 3237.93, 3112.07, 3609.62, 34931.8, 34189.3, 53630.7, 51127.3, 53473, 89809, 97478.8, 98633.7, 140342
182, 1313.12, 1582.62, 1805.62, 2033.7, 2238.79, 2384.7, 278.083, 288.036, 316.847, 271.688, 307.775, 276.903, 3269.22, 3590.64, 3359.96, 3397.4, 23654.3, 41655.3, 41104.1, 50084.6, 49535.3, 97637.4, 95019.3, 143514, 157055
482, 1161.72, 1496.73, 1748.65, 1995.5, 2215.62, 2372.78, 292.61, 284.244, 298.556, 310.585, 306.351, 292.221, 3261.58, 3421.95, 3343.33, 3461.19, 42143.8, 40166.5, 54849.9, 57184, 54416.4, 93704.1, 104868, 148076, 189405
87, 1305.52, 1575.98, 1798.99, 2040.07, 2243.86, 2393.53, 298.974, 287.59, 296.645, 289.013, 295.364, 281.755, 3096.17, 3575.78, 3402.03, 3424.19, 45641.6, 50364.1, 48359.7, 47152.7, 46043.6, 97533.1, 91582.3, 137868, 167045
766, 1146.15, 1472.76, 1715.3, 1974.12, 2205.69, 2368.39, 266.687, 267.032, 308.713, 295.814, 292.673, 286.933, 3222.18, 3201.72, 3916.12, 3242.36, 36928.3, 37447.4, 43701.7, 55882.2, 44357.1, 92790.7, 101445, 114385, 184976
774, 1285.35, 1563.66, 1786.15, 2016.5, 2223.7, 2384.7, 292.133, 272.631, 285.793, 287.012, 290.065, 301.887, 3173.44, 3081.57, 3623.94, 3392.84, 42662.1, 22768.5, 49328.1, 29043.1, 50151.1, 103131, 102344, 118666, 160843
229, 1256.17, 1542.75, 1773.12, 2006.26, 2220.71, 2378.5, 302.493, 242.491, 296.234, 317.459, 285.359, 292.444, 3147.33, 3651.91, 3342.21, 3555.83, 35591.5, 27805.8, 58955, 44173.4, 45044.6, 100678, 105942, 138173, 195978
733, 1405.59, 1679.55, 1880.85, 2094.23, 2281.59, 2415.99, 287.044, 288.603, 292.428, 284.098, 309.962, 278.03, 3443.92, 3226.51, 3645.78, 3386.34, 44925.8, 38971.2, 54913.2, 40208.7, 46055.2, 110187, 75507.7, 145242, 192658
814, 1217.51, 1512.34, 1743.9, 1985.35, 2207.19, 2371.62, 278.526, 284.275, 303.918, 307.119, 308.229, 288.161, 3310.65, 3371.65, 3417.81, 3826.58, 44152.3, 29641, 56018.2, 47896.8, 43950.6, 107840, 91341.7, 124757, 145177
1112, 1260.71, 1566.08, 1797.47, 2033.8, 2243.73, 2393.7, 307.527, 275.203, 288.706, 310.396, 299.377, 295.379, 3164.01, 3274.96, 3471.21, 3587.54, 37822.1, 45356.5, 56239.2, 53072.6, 51495.7, 90199.5, 107855, 119886, 203849
547, 1562.56, 1784.8, 1957.76, 2140.31, 2313.07, 2430.75, 293.04, 296.266, 296.121, 290.775, 283.041, 266.592, 3597.24, 3455.96, 3372.32, 3276.48, 30897.8, 34296.5, 54686.5, 40308.6, 47342.2, 86236.7, 106883, 138279, 170842
845, 1517.84, 1721.9, 1898.75, 2085.61, 2268.39, 2401.79, 275.733, 276.629, 319.288, 279.364, 319.64, 293.088, 3520.67, 3651.57, 3817.66, 3420.51, 40708.5, 25300.2, 56002.3, 51569.8, 55173.2, 109350, 108570, 138740, 199151
249, 1355.38, 1618.94, 1829.73, 2050.93, 2240.91, 2383.07, 301.461, 283.672, 314.195, 271.74, 306.492, 280.435, 3420.75, 3522.02, 3692.14, 3340.13, 37254.5, 39978.5, 42684.5, 50664.3, 39316.8, 98089.9, 83689.3, 137353, 200496
711, 1190.89, 1505.27, 1741.38, 1990.38, 2203.75, 2363.48, 282.081, 290.646, 298.579, 263.409, 289.692, 269.323, 3451.7, 3341.99, 3250.44, 3655.93, 28804.9, 40354.2, 36665.7, 44748.8, 42285, 95604.7, 82821, 136935, 203975
455, 1466.35, 1725.23, 1929.04, 2122.87, 2301.82, 2431.46, 276.962, 293.328, 288.571, 304.125, 297.082, 276.025, 3299.07, 3454.44, 3483.2, 3320.76, 47959.8, 50999.1, 47326.5, 56202, 57493.2, 101491, 95629.9, 134202, 219215
379, 1380.89, 1656.98, 1868.43, 2085.79, 2278.57, 2421.25, 268.574, 299.574, 321.935, 294.578, 282.315, 300.429, 3605, 3278.86, 3299.55, 3739.66, 41730.8, 30907.3, 50446.7, 46285.5, 56973.6, 100515, 81803.3, 147074, 174356
116, 1170.07, 1464.82, 1699.07, 1971.54, 2198.87, 2370.62, 271.336, 284.907, 283.122, 288.476, 313.461, 301.383, 3492.17, 3156.37, 3510.68, 3625, 32390.1, 29649.6, 41401.5, 43696.4, 40139.9, 100143, 112538, 129387, 193054
309, 1285.58, 1595.34, 1821.92, 2050, 2251.75, 2407, 292.668, 271.324, 310.028, 311.443, 299.55, 284.626, 3645.09, 3491.24, 3378.3, 3455.32, 46387.3, 42262.9, 56578.7, 45566.9, 45977.6, 96101.2, 126674, 135701, 180357
412, 1507.71, 1757.04, 1951.38, 2153.66, 2319, 2447.21, 276.312, 269.588, 302.675, 304.132, 300.537, 250.341, 3160.38, 3143.64, 3409.29, 3648.59, 42048, 44253.6, 48386.3, 52247.8, 52197, 113909, 118772, 158994, 209661
1147, 1410.6, 1685.03, 1884.55, 2092.55, 2277.95, 2410.46, 274.276, 294.166, 270.206, 300.329, 287.745, 297.886, 3330.03, 3267.66, 3139.74, 3464.22, 25394.4, 32315.6, 56656.7, 50026.9, 55380.4, 96327, 81248.8, 130650, 203158
878, 1276.94, 1562.4, 1788.97, 2019.98, 2234.14, 2381.95, 274.955, 271.947, 281.936, 270.7, 301.593, 257.864, 2922.82, 3281.83, 3357.77, 3171.96, 39188.8, 29499.7, 47754.6, 49190.8, 50608.2, 92819.1, 81656.2, 125501, 158841
905, 1291.11, 1572, 1791.92, 2026.15, 2226.35, 2388.25, 279.669, 268.682, 294.2, 294.283, 292.515, 286.884, 3184.35, 3119.14, 3401.74, 3619.83, 32250.7, 33329.2, 47414.4, 49027.4, 53604.8, 106085, 69839.1, 119274, 170805
838, 1272.25, 1549.94, 1777.55, 2016.65, 2221.94, 2378.48, 265.424, 279.21, 324.257, 279.479, 316.703, 258.613, 3513.18, 3854.97, 3186.72, 3356.07, 13521.9, 45847.3, 30330.6, 51628.7, 48128.3, 89597.7, 97375.7, 117096, 207275
964, 1328.88, 1616.12, 1834.67, 2059.87, 2251.24, 2399.36, 283.462, 269.467, 301.43, 285.409, 315.07, 266.91, 3256.71, 3510.95, 3150.37, 3526.42, 36632, 48527.7, 37237.1, 53595.6, 43158.5, 80141.1, 113309, 117072, 219829
596, 1456.74, 1712.24, 1905.49, 2116.12, 2294.39, 2415.19, 267.099, 279.606, 307.651, 276.919, 300.54, 270.434, 3314.91, 3412.92, 3431.63, 3451.88, 41529.3, 58084, 36956.7, 43201.6, 57357.6, 93093.7, 101986, 144652, 183884
995, 1247.49, 1545.21, 1774.6, 2011.76, 2226.23, 2384.25, 294.857, 293.603, 295.552, 314.254, 286.906, 312.547, 3168.63, 3486.14, 3245.11, 3546.98, 41906.2, 35362.6, 29266.9, 57016.9, 53396.2, 99092.6, 89544.7, 136830, 205569
503, 1346.87, 1614.52, 1826.58, 2051.15, 2243.77, 2404.29, 271.078, 295.032, 288.485, 308.814, 279.222, 287.284, 3397.98, 3392.79, 3439.42, 3595.6, 38966.8, 28380.2, 29180.7, 44876.6, 47982.2, 107885, 101704, 131003, 162822
662, 1362.4, 1608.17, 1818.77, 2030.76, 2231.41, 2380.15, 285.714, 268.038, 263.289, 299.409, 311.124, 310.647, 3349.03, 3457.82, 3443.81, 3419.98, 50146.7, 53500.3, 57462.7, 36407, 50675.8, 71870.2, 109190, 126891, 212293
1126, 1262.73, 1574.03, 1805.79, 2040.92, 2238.38, 2398.26, 291.642, 260.51, 310.696, 290.067, 292.176, 315.233, 3263.07, 3357.28, 3436.7, 3486.88, 32138, 41399.9, 61070.4, 47832.4, 55510, 115900, 111741, 139582, 232383
737, 1234.64, 1546.73, 1775.02, 2015.33, 2222.06, 2378.48, 277.599, 284.212, 288.306, 326.181, 293.256, 269.479, 3324.08, 3433.66, 3561.76, 3635.89, 49261.2, 50076.9, 50452.5, 40562.9, 51577.9, 94906.6, 113348, 130585, 229872
963, 1222.02, 1543.59, 1775.29, 2022.96, 2232.69, 2376.98, 278.425, 268.375, 316.318, 303.414, 305.629, 301.671, 3253.29, 3341.74, 3522.55, 3512.19, 48955.8, 50589.2, 63006, 47736.5, 54969.2, 115932, 80845.7, 174982, 224240
598, 1315.53, 1603.41, 1825.62, 2051.06, 2237.48, 2401.53, 290.524, 289.319, 282.843, 282.81, 299.19, 290.214, 3612.78, 3120.84, 3419.2, 3416.37, 35482.9, 49114, 56535.4, 46797.1, 55745.9, 93900.7, 100548, 108608, 137620
1041, 1336.64, 1616.24, 1831.07, 2052.64, 2254.65, 2403.41, 268.261, 285.059, 307.675, 294.367, 302.496, 275.371, 3351.69, 3746.57, 3508.04, 3740.02, 39535.3, 24892.3, 53111.1, 57659.8, 46375.1, 78997.1, 87542.4, 148004, 201396
285, 1485.66, 1734.66, 1926.71, 2126.61, 2300.35, 2436.46, 302.641, 302.555, 286.074, 288.283, 285.693, 311.128, 3479.22, 3230.14, 3711.18, 3563.37, 21614.9, 34927.1, 34830.5, 56288.1, 44980.9, 88670.3, 88342.1, 132996, 147304
884, 1333.62, 1602.78, 1817.68, 2046.22, 2251.61, 2394.43, 290.131, 282.586, 304.815, 283.749, 300.467, 292.894, 3501.95, 3109.29, 3374.51, 3078.42, 45176.9, 47649.4, 54181.9, 48817.2, 42533.8, 75513, 87928.6, 133162, 193892
805, 1256.63, 1543.51, 1769.34, 2003.58, 2213.27, 2368.05, 286.153, 276.141, 317.765, 314.657, 283.13, 273.648, 3237.96, 3629.27, 3524.87, 3255.23, 44509.7, 36667.3, 56441.3, 44178.6, 42569.1, 96159.5, 93541.7, 138864, 209991
693, 1384.09, 1643.54, 1843.5, 2059.94, 2257.34, 2406.6, 271.815, 297.912, 299.24, 271.942, 271.975, 321.46, 3269.77, 3392.95, 3372.89, 3852.06, 33622.7, 30622, 50786.9, 43543.8, 54052, 68916.9, 106098, 148109, 161774
613, 1278.61, 1577.84, 1800.86, 2034.79, 2241.71, 2387.74, 277.339, 290.379, 306.471, 310.703, 274.904, 274.412, 3025.45, 3146.34, 3192.22, 3324.17, 26067.7, 41713.2, 52661, 34609.2, 37179.9, 113399, 99821, 140538, 197127
