seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,921.775,2460.17,2269.51,1896.39,1676.65,1578.01,1287.77,1210.38,924.65,781.976,590.492,463.42,1859.68,3030.45,2570.92,2640.92,144.021,98.5215,222.919,324.416,265.819,2423.02,2557.44,5873.33,18849.6
1050,979.91,2763.42,2370.19,1924.09,1777.99,1585.64,1335.96,1075.9,976.399,766.569,575.615,451.286,2055.97,2609.59,2785.71,2924.15,110.636,130.032,182.51,360.693,212.391,1638.8,2484.38,5424.68,22304.2
456,846.16,2516.03,2203.07,1740.3,1679.75,1604.69,1272.21,1122.94,906.487,787.511,582.671,497.786,2310.09,2731.98,2504.86,2544.38,112.025,120.937,262.57,382.492,198.998,2404.77,1942.15,5042.85,22701.5
841,890.524,2517.45,2302.95,1854.54,1706.63,1588.49,1313.56,1071.51,895.48,764.313,668.239,543.755,2507.77,3069.93,2388.82,2294.57,129.905,113.56,224.597,405.356,177.225,2254.72,1825.28,4562.25,22251.9
838,1004.37,2645.33,2317.17,1910.04,1758.85,1572.27,1168.3,1037.31,948.35,724.484,556.046,543.993,2848.04,2706.81,3024.2,2923.33,166.224,126.568,244.953,326.278,175.414,2323.13,2456.89,4113.9,18444.2
757,1131.86,2952.96,2487.55,1945.82,1698.03,1641.2,1438.25,1129.88,886.094,808.175,536.998,499.312,2712.42,3107.83,3313.55,2352.6,136.966,129.948,258.989,363.937,218.026,1737.27,2467.79,5934.05,24406.6
78,1163.16,2969.65,2413.4,2003.54,1828.39,1544.2,1314.92,1097.87,959.138,723.102,568.042,491.231,2412.02,2292.25,2478.84,2423.86,123.934,109.632,250.489,383.024,168.649,2276.42,2173.25,4035.8,19363.5
262,908.104,2671.79,2249.06,1759.71,1682.84,1513.01,1319.86,1019.65,886.201,726.305,532.706,496.477,2214.2,3002.62,2984.36,2801.96,114.764,161.398,196.055,401.671,244.379,2339.29,2221,5234.39,23145.2
1124,937.302,2543.21,2234.48,1893.22,1886.22,1567.96,1358.17,1095.31,942.408,750.367,603.329,531.46,2008.94,2173.81,2587.86,2304.92,147.535,160.106,228.137,471.79,188.543,2257.88,2319.67,4237.3,23055.8
378,876.145,2439.95,2256.46,1752.46,1928.57,1605.58,1391.22,1082.15,901.481,688.162,641.644,493.792,3145.28,2770.96,2746.01,3150.71,130.851,138.502,219.193,366.137,188.693,2485.11,2287.34,5613.18,25154.9
