seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,920.158,2454.31,2263.83,1892.27,1673.87,1576.21,1286.87,1209.94,924.543,782.022,590.588,463.514,1862.75,3029.09,2571.6,2642.45,144,98.5296,223.121,325.355,266.2,2427.62,2561.62,5881.45,18875.3
1050,978.117,2755.94,2363.24,1919.12,1774.47,1583.48,1334.85,1075.46,976.312,766.672,575.768,451.429,2059.49,2608.25,2786.34,2925.77,110.625,130.056,182.727,361.877,212.755,1642.56,2489.31,5433.7,22340.8
456,844.572,2508.32,2195.53,1735,1675.79,1602.06,1270.9,1122.33,906.317,787.559,582.794,497.919,2314.71,2730.41,2505.45,2545.86,112.009,120.955,262.881,383.829,199.347,2410.45,1946.07,5051.28,22738.8
841,888.56,2508.87,2294.37,1848.44,1702.31,1585.69,1312.1,1070.88,895.287,764.348,668.373,543.895,2512.74,3068.02,2389.37,2295.96,129.888,113.582,224.902,406.902,177.573,2260.67,1829.41,4570.78,22292.9
838,1002.58,2637.97,2310.06,1904.82,1755.12,1569.94,1167.22,1036.81,948.201,724.538,556.165,544.139,2853.31,2705.42,3024.92,2924.98,166.212,126.596,245.246,327.364,175.717,2328.44,2461.73,4120.66,18474
757,1130.51,2947.13,2481.98,1941.85,1695.31,1639.35,1437.24,1129.48,886.024,808.269,537.127,499.458,2716.59,3106.81,3314.42,2353.8,136.962,129.973,259.23,364.877,218.321,1740.34,2471.59,5941.77,24437.9
78,1161.97,2964.65,2408.91,2000.29,1826.19,1543.03,1314.44,1097.81,959.314,723.355,568.296,491.466,2416.25,2291.58,2479.76,2425.48,123.929,109.65,250.742,384.121,168.902,2280.88,2176.96,4041.69,19391.4
262,906.342,2665.19,2243.3,1755.77,1679.92,1511.14,1318.79,1019.16,886.001,726.269,532.737,496.528,2217.69,3001.15,2984.94,2803.31,114.746,161.41,196.228,402.788,244.714,2343.58,2224.5,5241.29,23175.3
1124,935.608,2536.3,2227.82,1888.19,1882.33,1565.68,1356.91,1094.76,942.239,750.399,603.436,531.582,2012.56,2172.66,2588.34,2306.05,147.51,160.122,228.366,473.208,188.827,2262.47,2323.77,4243.6,23089.5
378,874.298,2433.02,2249.76,1747.98,1924.83,1603.45,1390.09,1081.69,901.358,688.205,641.758,493.901,3150.64,2769.49,2746.66,3152.52,130.825,138.51,219.407,367.27,188.98,2490.2,2291.4,5621.65,25192.4
