seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,19782.3,26538.2,30032.3,33512.8,36596.7,38725.3,39662.4,39397.5,38074.8,35905.6,33133.7,30014.4,166838,47539.4,13853.2,3837.79,1332.05,73.156,4.60524,0.177237,0.00684229,0.000236929,1.07749e-05,1.08023e-06,1.35592e-07
1050,21842.1,28114.5,31309,34544.2,37405.7,39339.1,40108.3,39698.2,38246.2,35960.6,33085.8,29880.2,165930,45773.5,12876,3398.55,1084.16,52.3851,2.75685,0.0899428,0.00304475,0.000109088,1.1594e-05,2.0767e-06,2.85195e-07
456,18303.9,25383.8,29245.3,33054.8,36411.5,38741,39806.3,39608.1,38307.8,36132.9,33338.6,30187.2,168517,47066,13402.3,3587.34,1164.57,56.69,3.01098,0.0991648,0.00335816,0.000110559,7.8003e-06,1.2278e-06,1.6874e-07
841,19300.2,26009.6,29652.3,33321.2,36558.2,38780.3,39754.8,39486.1,38136.2,35931.2,33124.4,29975.9,168355,46925.4,13364.3,3575.54,1161.42,56.8292,3.04059,0.101164,0.00347266,0.000119544,1.01495e-05,1.68885e-06,2.3105e-07
838,20907.3,27204,30481.9,33836.5,36836.5,38904.7,39790.6,39475.8,38102.3,35884,33068.4,29913.8,168169,46856.1,13262.1,3517.47,1126.95,53.5039,2.74585,0.0869207,0.00289164,0.000103458,1.18002e-05,2.20514e-06,3.06789e-07
757,24227.1,30112.8,32771.8,35501.9,37960.3,39613.1,40207.4,39698.2,38192,35875.2,32981.1,29763.5,163875,45500.9,12842.9,3413.65,1110.02,55.1184,3.07436,0.106297,0.00378525,0.000125087,6.43011e-06,7.89612e-07,1.04925e-07
78,24348.3,29978.6,32675.9,35453.7,37917.8,39543.7,40094.4,39538.8,37993.7,35651.2,32746.4,29532.3,165975,45582.6,12655.4,3273.57,1011.44,45.0736,2.11497,0.0608365,0.00186536,6.64048e-05,9.11903e-06,1.77398e-06,2.47487e-07
262,20061.9,26923.5,30390.7,33793.6,36810.3,38898.1,39815.9,39543.1,38214.5,36035.8,33248.7,30109.2,166449,47147.3,13643.2,3747.49,1281.87,69.0609,4.23889,0.159476,0.00603213,0.000206804,9.91766e-06,1.09705e-06,1.41912e-07
1124,19950.2,26856,30433.9,33918.1,36979.1,39080.7,39989,39691.2,38329,36114.1,33292.5,30122.1,166947,46476.9,13192.1,3528.26,1149.66,56.5689,3.06467,0.102974,0.00356547,0.000121178,9.76028e-06,1.68097e-06,2.3523e-07
378,18524.3,25684.1,29497.2,33219.5,36471.4,38701.7,39692.1,39450.4,38135.9,35969.2,33198,30078.5,166615,47403.6,13865.8,3869.25,1360.52,76.0577,4.89632,0.19265,0.00751713,0.000260734,1.11847e-05,1.0059e-06,1.22124e-07
