seed, Total QALY
304, 380059
1082, 354555
168, 334142
143, 284190
182, 343350
482, 378445
87, 232610
766, 485003
774, 337109
229, 272808
733, 392550
814, 353322
1112, 420823
547, 335047
845, 375435
249, 347902
711, 360974
455, 355905
379, 407008
116, 306760
309, 405432
412, 443632
1147, 410882
878, 317934
905, 280905
838, 386468
964, 370039
596, 420584
995, 489881
503, 363689
662, 296782
1126, 502972
737, 411575
963, 328593
598, 244910
1041, 401536
285, 522121
884, 410544
805, 407135
693, 377250
613, 253143
648, 341602
349, 395695
265, 392282
16, 375077
56, 400159
671, 318785
106, 392825
756, 346947
644, 222465
150, 382555
727, 433232
1067, 406847
1209, 344415
323, 349938
1235, 383455
266, 337557
607, 271438
1015, 310753
1106, 465811
593, 368067
958, 406845
698, 354654
880, 439166
27, 422869
1138, 352954
198, 320098
972, 331381
747, 316841
346, 466018
225, 447280
465, 380384
53, 289428
792, 416567
811, 254789
977, 360608
1132, 460664
33, 403477
870, 367473
459, 379090
702, 412835
427, 297726
145, 343703
237, 442176
446, 366068
169, 322145
236, 364116
796, 361181
410, 361032
131, 437555
219, 441964
687, 464002
49, 386371
591, 408824
79, 338815
750, 458241
63, 302402
919, 386848
650, 286187
1065, 333778
926, 274865
90, 477230
790, 386536
1046, 386150
373, 450991
57, 341128
1085, 427301
1170, 395429
1062, 251582
826, 396784
569, 383394
207, 392803
798, 409281
165, 408789
88, 394811
6, 554578
495, 333729
538, 455710
959, 398365
941, 280362
1146, 289785
934, 379919
1119, 321887
1044, 393537
655, 389153
897, 359189
555, 333646
257, 397849
385, 306231
404, 293168
848, 501477
902, 379037
82, 310879
1130, 521757
1108, 386394
895, 289849
1011, 335187
303, 360832
438, 355835
968, 319421
557, 394363
1070, 436938
1094, 389963
911, 429426
1133, 430948
36, 425452
109, 393875
355, 380245
661, 304735
1023, 407636
122, 341468
509, 404286
499, 441837
378, 528433
1128, 358374
562, 455885
476, 395834
833, 312509
1110, 276840
1022, 455364
392, 386042
1031, 293604
248, 370340
35, 384868
570, 522792
1210, 385210
525, 343180
994, 387510
1071, 315901
533, 293183
639, 433137
595, 280811
974, 357458
652, 377768
0, 382208
330, 466743
208, 377874
667, 535481
185, 389237
76, 342724
948, 314548
118, 362427
264, 430164
548, 321416
322, 414445
395, 370864
551, 364681
160, 392072
876, 371990
1219, 331699
297, 363244
802, 351667
141, 324076
231, 254577
295, 556243
59, 422965
7, 383063
752, 288265
546, 347530
1197, 365893
255, 390832
490, 422234
283, 338017
12, 382233
129, 292612
782, 429414
581, 487316
692, 422916
71, 394904
821, 349231
426, 379808
920, 428390
882, 301694
102, 426218
188, 317895
657, 280820
840, 352195
757, 420373
529, 446029
630, 290589
522, 404846
350, 335691
558, 463883
14, 431759
605, 304676
492, 375501
291, 357312
588, 331470
135, 324509
1123, 341539
1233, 436968
252, 296058
220, 412889
918, 270158
171, 446078
1215, 348411
91, 370284
5, 368465
296, 492638
1086, 336717
61, 406058
571, 298120
510, 262639
307, 376874
383, 358410
475, 286019
925, 319048
993, 326464
651, 369182
1043, 464952
1212, 332890
786, 326335
606, 436218
886, 336358
957, 342565
263, 450011
763, 402785
1056, 350193
809, 584054
443, 334883
338, 341058
26, 331800
1154, 429679
407, 418581
632, 392918
177, 305360
691, 351496
247, 335282
352, 343524
784, 391349
1017, 350576
631, 302554
320, 519721
770, 323021
1188, 266859
452, 429832
1129, 329872
512, 404839
1109, 434475
715, 355082
780, 427639
933, 437827
991, 368501
365, 364743
484, 408287
227, 331912
251, 460083
445, 344110
611, 320628
701, 267549
653, 503274
697, 415014
755, 189412
1036, 481933
94, 370716
846, 380129
235, 327100
113, 357913
66, 422772
975, 314018
997, 344657
396, 309156
327, 379161
10, 564124
300, 369074
226, 326282
1180, 319446
163, 343098
1117, 321658
666, 394184
273, 434926
183, 396719
1020, 356659
310, 466614
95, 339735
1054, 437301
202, 372423
638, 482748
709, 283001
996, 404781
39, 445062
764, 520551
708, 389991
1168, 369556
184, 379850
241, 300015
431, 284054
147, 360046
642, 333196
1200, 358160
312, 478464
17, 509245
640, 380889
1014, 380034
158, 426643
380, 348836
319, 479581
791, 368227
1232, 384567
734, 321672
318, 506200
628, 434590
815, 264311
504, 372521
224, 406110
965, 541969
374, 379499
301, 460585
164, 366479
125, 390131
556, 362519
1006, 477621
429, 380746
992, 361299
337, 453437
1089, 386138
74, 325390
935, 434109
539, 404063
754, 352459
428, 342684
1157, 431845
13, 371466
1246, 383034
342, 298574
1081, 335145
483, 351865
299, 430555
175, 347606
1238, 463439
434, 437488
111, 344243
47, 386306
760, 397890
1173, 338671
409, 407651
844, 449676
1206, 321414
321, 390029
1051, 384178
850, 341188
284, 347670
527, 475907
441, 367710
413, 479179
1093, 267053
382, 483341
140, 438558
620, 439296
1009, 391739
269, 349459
1136, 394035
1214, 390617
