seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 21538.9, 27099, 29819.1, 32604.4, 35186.6, 37141.9, 38299.4, 38665.1, 38361.8, 37557, 36431.5, 35161.8, 451021, 369893, 337970, 318258, 1.11653e+06, 1.09328e+06, 1.15364e+06, 1.0319e+06, 1.11019e+06, 894785, 611184, 421696, 473040
1082, 23811.6, 30060.6, 32984.3, 35869.1, 38525.6, 40533.6, 41712.2, 42059.3, 41694.9, 40789.9, 39533.6, 38113.8, 432235, 355371, 327071, 309789, 1.08637e+06, 1.06311e+06, 798505, 723006, 773664, 631140, 438664, 306333, 343947
168, 16036.5, 21585, 25030.6, 28676, 32020.9, 34542.1, 36053.8, 36591.2, 36329.2, 35486.4, 34285, 32932.3, 415732, 339950, 310306, 291687, 1.06802e+06, 1.04509e+06, 958989, 858668, 928730, 731293, 489272, 333985, 374456
143, 18857.3, 24736.8, 28039.7, 31482.5, 34664.6, 37076.5, 38519, 39009.4, 38706.8, 37819.8, 36566.4, 35153.3, 441359, 360878, 329633, 310267, 1.10339e+06, 1.08029e+06, 872642, 784151, 847770, 667747, 448111, 306580, 343801
182, 17403, 23251.6, 26610.6, 30074, 33238.2, 35617.4, 37035.9, 37524.7, 37245.9, 36404.7, 35213.1, 33870.9, 417082, 342560, 313201, 294889, 1.09135e+06, 1.06909e+06, 1.09497e+06, 974431, 1.05307e+06, 842911, 572394, 393271, 441030
482, 16311.7, 23402.8, 27452.1, 31423.1, 35004.2, 37703.2, 39338.9, 39948.2, 39709.6, 38847.7, 37593.7, 36166.5, 437489, 362697, 334840, 317569, 1.07086e+06, 1.04803e+06, 718665, 650524, 696718, 566278, 392136, 273352, 306852
87, 17710.8, 23791.9, 27345.9, 30957.6, 34223.5, 36662.1, 38105.2, 38591.9, 38292.2, 37418.3, 36187.8, 34805.6, 397630, 325464, 297991, 281259, 1.03596e+06, 1.01486e+06, 1.04803e+06, 937072, 1.011e+06, 810116, 551578, 379973, 426236
766, 14946.3, 21349.6, 25078.9, 28827.9, 32239.6, 34821.2, 36390.3, 36978.9, 36756.8, 35938.5, 34744.5, 33382.8, 436183, 361628, 333188, 315355, 1.03314e+06, 1.0114e+06, 745029, 669033, 718885, 583598, 402957, 279977, 314237
774, 18258.9, 24717.1, 28386.1, 32146.4, 35587.8, 38184.6, 39742.7, 40291.8, 40005.3, 39104.6, 37818.4, 36363.2, 430042, 352085, 322243, 303463, 1.02991e+06, 1.00671e+06, 758343, 682249, 733700, 587215, 398965, 274686, 308174
229, 18067.2, 24701.7, 28492.8, 32348.5, 35880.9, 38564.1, 40197.9, 40808.3, 40569.3, 39704.3, 38445, 37010.9, 418121, 344733, 316358, 298802, 1.07029e+06, 1.0488e+06, 1.07159e+06, 958509, 1.03253e+06, 832361, 569918, 393746, 441713
733, 18878.1, 24986.1, 28147.9, 31310.3, 34218.2, 36430.5, 37769.8, 38247.8, 38001.3, 37212.9, 36077.3, 34782.9, 421629, 348468, 320324, 302893, 1.05055e+06, 1.02869e+06, 765324, 688558, 739249, 602085, 417656, 290987, 326635
814, 17492.3, 24162.3, 28018.8, 31978.2, 35623.5, 38403.7, 40107.7, 40760.7, 40540.8, 39677.4, 38407.7, 36956.2, 430478, 353875, 324714, 306487, 1.09573e+06, 1.07176e+06, 1.04874e+06, 945482, 1.01493e+06, 815299, 555933, 383913, 430774
1112, 16706.1, 23073.4, 26609, 30141.8, 33343.3, 35747.8, 37189.1, 37701.5, 37446, 36625, 35447.7, 34112.9, 435707, 361454, 333446, 315973, 1.12079e+06, 1.09726e+06, 641174, 577820, 620304, 504621, 350019, 243904, 273816
547, 20978.8, 26578.9, 29359.5, 32190.4, 34807.9, 36784.7, 37944.4, 38291, 37948.5, 37087.9, 35895, 34551.1, 453500, 370398, 339168, 319929, 1.04864e+06, 1.02486e+06, 369230, 335364, 360348, 286822, 194805, 134464, 150903
845, 18778.5, 23659.2, 26166.9, 28856.9, 31421.3, 33417.2, 34649.1, 35104.9, 34897.3, 34188.6, 33155.6, 31970.7, 403609, 330945, 301649, 283078, 951252, 931104, 1.11818e+06, 994691, 1.07103e+06, 862754, 586696, 403181, 452154
249, 19679.6, 26121.7, 29682, 33325.4, 36686, 39248.8, 40809.5, 41383.6, 41131.9, 40266.8, 39012, 37581.6, 408944, 336711, 309104, 292117, 1.0541e+06, 1.03285e+06, 1.07372e+06, 963537, 1.0365e+06, 836585, 573981, 397278, 445752
711, 16716.8, 23500.6, 27375.7, 31280.8, 34849.5, 37561.1, 39219.5, 39854.3, 39640.6, 38801.9, 37568.5, 36158.8, 417137, 344476, 316694, 299305, 1.12971e+06, 1.10536e+06, 845310, 761414, 817925, 661252, 454981, 315653, 354239
455, 20782.3, 27204.9, 30454.1, 33665.8, 36605.4, 38829.7, 40159.6, 40606.8, 40309.5, 39454.1, 38240.4, 36863, 412590, 338635, 310810, 293775, 1.1662e+06, 1.1413e+06, 837619, 758045, 813595, 658053, 454353, 316162, 354937
