seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,2482.19,2986.56,3411.22,3887.82,4332.33,4681.62,559.976,532.494,580.453,601.458,613.549,558.704,7090.23,7451.47,7029.69,7255.92,88912.6,67344.4,74178.4,87787.5,111672,212952,209306,307506,388968
1050,2760.06,3198.1,3586.73,4038.07,4440.46,4742.33,544.848,519.703,600.246,533.57,616.468,473.998,6609.55,7297.34,6664.83,7648.29,64391,71643.4,76857.7,110084,109253,210005,202148,288398,358288
456,2275.69,2839.83,3303.5,3813.9,4292.51,4638.69,488.082,590.631,561.965,583.927,571.426,596.311,5912.08,6575.22,7019.66,6808.28,61747.3,45934.6,101814,125197,68456.4,210734,209357,289261,374684
841,2414.76,2917.12,3365.42,3857.7,4316.69,4666.47,571.919,593.038,599.32,524.004,625.186,485.093,6685.64,6784.39,6536.3,6829.16,82427.4,66017,117417,94437.3,108009,158441,190794,237905,372260
838,2638.46,3079.54,3479.91,3942.64,4359.08,4682.28,523.311,550.046,636.94,546.596,616.333,500.984,6872.62,7650.73,6349.44,6696.14,27045.2,91681.5,60581.1,102802,96046.8,178684,194283,233686,413661
757,3097.24,3468.09,3780.93,4174.36,4528.41,4790.45,563.491,571.126,606.11,600.998,608.301,551.18,6491.36,6229.44,6499.05,7220.47,77544.8,49882.8,106506,57413.1,80104.5,196825,197054,272003,360143
78,3113.4,3451.9,3790.83,4183.49,4524.87,4795.9,531.704,587.451,567.55,555.768,565.836,559.885,6141.76,6773.64,6226.24,7600.77,96238,73567.9,103003,91238.5,110509,211281,200591,274966,322167
262,2524.35,3044.19,3469.07,3923.54,4359.74,4694.83,547.157,548.298,589.945,575.832,615.172,552.072,6121.36,6919.36,6652.9,6409.57,80206.3,73283.2,125317,116106,78328,236508,212476,317860,344748
1124,2510.2,3038.89,3465.88,3948.62,4366.48,4701.64,508.858,585.141,582.007,607.513,619.002,562.112,6735.05,6720.2,6565.24,7311.09,68203.9,83669.5,80954.3,111515,91026.2,158022,213991,245664,401961
378,2295.88,2874.65,3327.96,3832.26,4294.73,4660.76,538.057,570.314,618.362,550.864,527.667,565.763,6614.82,7301.53,6348.57,7068,93706.9,93700.4,108737,114407,99881.7,213857,216521,326658,434605
