seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,18704,24802.9,28168,31884,35346.5,37822.5,38988.1,38816.2,37478,35230.1,32362.6,29168.6,163818,48553.3,14818.9,4268.58,1529.31,84.2646,5.12782,0.189575,0.00711162,0.000241311,1.08372e-05,1.08104e-06,1.35604e-07
1050,20880.6,26576.1,29662.4,33109.7,36306.3,38544.6,39511.2,39177.5,37705.8,35344.8,32380.6,29105.5,163039,46651.4,13740.3,3786.23,1262.04,62.4393,3.22815,0.101178,0.00328887,0.000113006,1.16484e-05,2.07739e-06,2.85206e-07
456,17205,23609.9,27335.5,31383.2,35126.3,37811.2,39109.8,39005,37686.1,35426.7,32530.2,29298.5,165203,48079.9,14400.5,4035.35,1370.75,68.2905,3.55348,0.112093,0.00364021,0.000115109,7.86426e-06,1.22863e-06,1.68752e-07
841,18218.8,24274,27790.9,31696.7,35311.3,37877.8,39076.1,38894.7,37523.4,35233.8,32326.1,29099,165065,47912.6,14340.4,4013.71,1363.15,68.2012,3.57216,0.113844,0.00374882,0.000123976,1.02112e-05,1.68964e-06,2.31062e-07
838,19914.8,25603.4,28755.5,32321.4,35668.1,38057.6,39156.1,38928,37539.5,35245.8,32337.7,29109.4,165072,47743.5,14161.3,3923.83,1315.49,64.1549,3.24602,0.0987925,0.00315164,0.000107649,1.18587e-05,2.20589e-06,3.068e-07
757,23377.6,28747.5,31305.1,34220.2,36976.3,38902.4,39676.1,39239.1,37719.2,35338.4,32366.7,29088.2,161385,46283.2,13607.1,3756.32,1267.99,64.0094,3.49166,0.116147,0.00400065,0.000128574,6.47927e-06,7.90249e-07,1.04935e-07
78,23523.3,28660.2,31262.9,34219.7,36969.3,38855.9,39575.8,39085.5,37522.3,35113.2,32129.1,28852.7,163292,46295.9,13396.6,3609.55,1168.12,53.9029,2.5263,0.0705524,0.00207898,6.98304e-05,9.16643e-06,1.77459e-06,2.47496e-07
262,19027.2,25251.3,28589,32216.2,35597.7,38022.4,39163,38982.1,37640.2,35386.4,32507.3,29295.4,163542,48126.3,14576.6,4164.19,1472.54,79.8099,4.74521,0.171464,0.00629349,0.000211061,9.97823e-06,1.09784e-06,1.41924e-07
1124,18931,25210.8,28661.5,32365.2,35783.3,38214.2,39340,39130.7,37753.6,35463.2,32549.4,29306.6,163954,47426.4,14115.2,3941.75,1339.94,67.2816,3.56621,0.114879,0.00382588,0.000125398,9.81981e-06,1.68175e-06,2.35241e-07
378,17373.8,23837.1,27518.9,31495.8,35150.5,37747.5,38977,38830.9,37498.4,35248.1,32377,29180.9,163506,48510.3,14893.8,4324.92,1568.49,87.7291,5.4427,0.205579,0.00779906,0.000265314,1.12499e-05,1.00675e-06,1.22138e-07
