seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,1.89674,1.03045,0.879131,1.03683,1.03229,1.18242,0.35735,0.401969,0.401517,0.392525,0.382659,0.37091,4.21364,4.3059,4.33571,4.46875,19.8885,2.7137,6.1215,44.214,24.3249,385.547,299.086,491.159,2695.08
1050,1.41008,1.19625,1.04992,0.937493,1.11571,1.07816,0.357825,0.403264,0.402084,0.389267,0.378043,0.365134,4.1802,4.23975,4.26528,4.38788,24.2837,27.5416,33.4596,52.8705,26.9613,341.18,88.5862,429.365,2844.15
456,1.56578,0.811981,0.90275,0.946092,1.04256,1.16016,0.35506,0.402473,0.400563,0.390281,0.379433,0.366655,4.16805,4.23373,4.26468,4.39633,19.4694,9.13779,13.9842,94.4932,34.8922,336.111,729.395,81.0587,4129.68
841,1.60314,0.841545,0.818149,0.995371,1.06361,1.10345,0.356064,0.40088,0.399898,0.389543,0.378733,0.366058,4.19374,4.24341,4.25989,4.37532,2.57583,36.3184,5.06713,6.68741,12.3276,148.357,272.331,150.726,3660.5
838,1.38877,0.919642,0.944359,1.01316,1.08886,1.1711,0.354424,0.403691,0.400566,0.388594,0.377766,0.365098,4.16451,4.1988,4.19868,4.2997,30.0257,9.49604,7.20685,8.93391,4.13032,356.553,434.068,538.205,3785.88
757,1.60058,1.07466,1.00577,1.14076,1.19256,1.1817,0.360023,0.403729,0.399631,0.38933,0.378262,0.365716,4.13485,4.17573,4.17822,4.28534,120.604,16.4216,8.93008,82.5954,17.1401,329.591,664.639,181.016,2619.39
78,1.77455,1.15623,1.03882,0.989239,1.16141,1.11505,0.356204,0.402102,0.398908,0.387711,0.376636,0.363825,4.21493,4.24745,4.2415,4.3479,5.8917,8.53119,5.98073,156.313,14.4803,133.562,200.028,160.278,1355.02
262,2.82322,1.03938,0.86539,0.971683,1.11858,1.12103,0.356083,0.403369,0.401929,0.393433,0.383584,0.371851,4.19936,4.29039,4.32735,4.46995,20.672,16.27,1.67725,2.89902,1.78312,218.939,633.404,105.121,5861.31
1124,2.17159,1.0281,0.873537,1.00037,1.00684,1.07722,0.35747,0.404432,0.40001,0.390212,0.379157,0.366361,4.16562,4.24595,4.28918,4.43277,1.67867,0.672693,7.64682,29.2327,26.0326,347.382,142.924,475.124,2566.5
378,0.979333,0.727629,0.932913,0.997724,1.06536,1.15846,0.355266,0.40446,0.401306,0.392024,0.381784,0.369779,4.18371,4.27979,4.32338,4.46464,1.02003,13.5853,10.6466,77.9983,20.8513,371.755,478.608,808.007,5362.94
