seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,2930.81,3614.4,4067.51,4452.86,4763.26,4995.15,587.347,555.278,606.895,633.975,653.617,601.348,7446.36,7596.91,7088.99,7285.36,88915.5,67347.8,74256.7,88134.8,111883,213477,209743,308100,389714
1050,3156.48,3751.74,4163.38,4534.49,4817.86,5016.23,568.062,539.318,624.584,559.366,652.524,506.458,6911.96,7426.04,6716,7677,64393.2,71652.1,76958.2,110566,109488,210605,202633,289023,359059
456,2729.54,3478.21,3971.88,4389.77,4732.69,4957.73,512.565,616.619,588.366,616.581,610.15,643.686,6226.45,6709.46,7081.61,6837.41,61748.8,45939.8,101955,125791,68613.8,211379,209897,289936,375553
841,2861.21,3540.72,4018.31,4418.73,4744.66,4978.23,599.983,618.757,627.21,553.087,667.19,523.265,7036.22,6920.83,6593.51,6858.4,82429.6,66026.2,117597,94919,108279,158968,191327,238498,373180
838,3048.58,3654.75,4083.98,4465.8,4758.67,4973.22,547.125,571.959,663.924,574.097,653.848,536.747,7204.09,7793.39,6400.8,6722.41,27047,91695.1,60661.3,103257,96256.6,179195,194751,234192,414550
757,3450.94,3960.83,4292.03,4614.99,4863.53,5032.77,584.481,589.858,627.365,626.075,638.996,583.72,6748.84,6325.32,6542.55,7244.03,77551.7,49890.1,106618,57611.8,80242.8,197265,197432,272478,360767
78,3457.32,3928.72,4287.98,4612.02,4851.16,5034.25,551.39,606.822,587.679,579.253,594.741,593.311,6390.47,6881.45,6270.41,7628,96248.1,73577.6,103121,91585.8,110720,211802,201015,275498,322787
262,2954.44,3649.31,4103.71,4469.14,4776.41,4997.33,572.847,570.758,615.605,605.536,653.489,592.291,6415.82,7047.97,6705.85,6433.75,80206.2,73286.1,125443,116545,78467.9,237064,212896,318434,345367
1124,2931.98,3631.41,4085.22,4484.1,4773.71,4997.99,532.317,608.758,606.996,638.459,657.107,602.629,7061.02,6845.23,6617.77,7339.05,68204.1,83675.9,81047.6,111968,91204.5,158431,214461,246156,402761
378,2771.41,3543.26,4023.13,4428.72,4748.27,4990.96,565.906,596.256,648.385,582.634,564.389,611.716,6965.55,7450.17,6404.13,7097.69,93706.1,93703.7,108860,114890,100081,214422,217005,327331,435497
