seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,1024.61,2768.8,2524.93,2056.57,1772.78,1637.68,1321.65,1236.9,945.425,802.382,608.884,480.151,1903.66,3055.16,2579.79,2645.31,144.012,98.53,223.121,325.355,266.2,2427.62,2561.62,5881.45,18875.3
1050,1067.36,3050.23,2593.45,2061.29,1864.43,1636.74,1366.2,1096.48,995.816,784.439,591.705,465.946,2100.65,2628.77,2794.46,2928.68,110.633,130.057,182.727,361.877,212.755,1642.56,2489.31,5433.7,22340.8
456,949.764,2851.16,2461.69,1891.76,1778.15,1666.33,1306.15,1147.97,927.315,808.642,601.426,516.408,2368.21,2755.13,2513.82,2548.75,112.018,120.955,262.881,383.829,199.347,2410.45,1946.07,5051.28,22738.8
841,992.002,2836.43,2561.95,2009.54,1802.76,1647.41,1347.62,1094.96,915.846,784.695,689.6,563.957,2570.09,3095.55,2397.31,2298.56,129.899,113.583,224.902,406.902,177.573,2260.67,1829.41,4570.78,22292.9
838,1101.28,2940.98,2552.51,2056.91,1851.2,1626.97,1196.66,1058.33,968.085,742.068,572.215,562.369,2913.28,2727.85,3034.2,2928.04,166.225,126.596,245.246,327.364,175.717,2328.44,2461.73,4120.66,18474
757,1212.66,3207.41,2687.5,2066.61,1770.99,1688.25,1467.13,1148.87,901.441,824.498,549.987,513.329,2763.6,3127.85,3322.69,2355.81,136.971,129.973,259.23,364.877,218.321,1740.34,2471.59,5941.77,24437.9
78,1243.54,3218.38,2601.56,2124.27,1904.93,1587.71,1341.22,1116.51,976.052,738.02,582.066,505.299,2458.99,2307.68,2486.25,2427.65,123.937,109.65,250.742,384.121,168.902,2280.88,2176.96,4041.69,19391.4
262,1003.67,2989.45,2490.24,1902.15,1775.57,1568.05,1353.19,1041.01,905.18,744.367,548.527,513.551,2264.32,3025.82,2993.97,2806.19,114.754,161.411,196.228,402.788,244.714,2343.58,2224.5,5241.29,23175.3
1124,1034.52,2839.44,2468.2,2042.31,1987.35,1623.49,1391.67,1117.81,962.261,768.759,620.983,549.523,2054.94,2190.6,2596.23,2308.44,147.522,160.123,228.366,473.208,188.827,2262.47,2323.77,4243.6,23089.5
378,987.259,2776.1,2530.35,1910.15,2045.46,1669.5,1429.83,1107.26,922.999,707.263,662.835,512.65,3223.42,2794.34,2755.74,3156.06,130.836,138.51,219.407,367.27,188.98,2490.2,2291.4,5621.65,25192.4
