seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,21843.6,29737.8,33354.5,36318,38662.8,40121.3,40584.7,40051.4,38614.2,36419,33653.1,30533.5,165752,44792.1,12243.8,3200.8,1064.98,58.9589,3.94534,0.161593,0.00650681,0.000231479,1.06962e-05,1.07918e-06,1.35575e-07
1050,23680.9,30952.3,34245.4,37017.3,39224.1,40568.3,40924.7,40284.7,38739.4,36438.2,33575.4,30374.4,165167,43335.3,11425.9,2822.09,841.912,39.4385,2.15534,0.0755545,0.0027376,0.000104162,1.15245e-05,2.07579e-06,2.85181e-07
456,20405.2,28655.8,32651.4,35937.3,38539.2,40182.5,40762.6,40290.8,38876.6,36679.6,33896.7,30749.7,167599,44247.5,11728.1,2921.59,884.19,41.8012,2.32187,0.0826757,0.00300465,0.000104863,7.71893e-06,1.22673e-06,1.68723e-07
841,21368.4,29211.2,32971.9,36121.9,38621.1,40177.2,40684,40154,38697.5,36474.3,33680.8,30537.6,167518,44175.5,11726.1,2923.91,886.906,42.2158,2.36374,0.0849585,0.00312592,0.000113984,1.00708e-05,1.68783e-06,2.31035e-07
838,22804.6,30155.1,33558.7,36447.6,38770,40218.8,40664.3,40099.6,38621.2,36382.5,33578.1,30429.4,167450,44329.1,11745.7,2911.6,869.992,39.8076,2.10939,0.0717578,0.00256547,9.82072e-05,1.17257e-05,2.20417e-06,3.06774e-07
757,25851.2,32630.4,35386,37710.6,39588,40713.8,40935.7,40216.3,38622,36287.3,33400.8,30185.9,163121,43336.3,11561.6,2904.52,895.343,43.7196,2.54544,0.0937612,0.00351605,0.000120735,6.36777e-06,7.88793e-07,1.04913e-07
78,25926,32410.2,35195.6,37581.4,39487.6,40609.4,40806.1,40053.8,38430.1,36077.2,33186.3,29979.9,165523,43504.4,11395.8,2769.38,796.781,33.6743,1.58971,0.0483829,0.00159648,6.20988e-05,9.05853e-06,1.7732e-06,2.47475e-07
262,22039.9,30006.8,33601.7,36511.2,38815.4,40254,40710.9,40175.6,38733.9,36528.4,33746.4,30606.4,165382,44492.7,12087.9,3131.49,1023.66,55.3135,3.59891,0.144262,0.00570622,0.000201504,9.841e-06,1.09603e-06,1.41896e-07
1124,21898.6,29889.9,33593.3,36594,38956.6,40421.9,40879.1,40325,38853.8,36615,33800.8,30631.9,166018,43863.7,11648.6,2915.51,891.657,42.8685,2.43051,0.08786,0.00324061,0.00011592,9.68489e-06,1.67998e-06,2.35214e-07
378,20724.4,29090.4,33022.9,36187.3,38651.8,40173.3,40665.4,40142.7,38708.5,36513.8,33747,30624.3,165359,44469.4,12162.7,3198.25,1080.17,61.2172,4.20951,0.176328,0.00716751,0.00025506,1.11026e-05,1.0048e-06,1.22107e-07
