seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,9939.06,13232,8843.96,5647.12,4793.37,3602.15,2774.79,2716.5,2086.39,1778.61,1553.87,1046.38,3842.59,6160.26,5181.3,5298.43,288.049,197.064,892.528,813.366,1064.82,7286.01,7687.31,17723,56557.9
1050,9734.15,13041.7,8831.59,5793.76,4872.5,3629.4,2860.78,2686.63,2046.33,1770.53,1498.85,1041.43,5454.72,5785.1,5499.82,4891.06,221.283,260.122,730.956,904.679,851.05,4929.9,7470.53,16374.2,66943.8
456,9636.08,13065.6,8606.92,5651.44,4882.38,3525.53,2853.87,2618.52,2033.87,1787.23,1519.37,1128.12,5706.19,5442.73,5373.86,6704.4,231.367,264.167,879.965,1016.28,792.646,7054.01,6585.86,15857.2,61471.4
841,10223.1,12912.8,8838.21,5865.88,4902.13,3672.7,2792.68,2556.22,2042.33,1757.18,1650.97,1160.52,5187.81,6241.81,4814.79,4603.85,259.82,227.173,899.67,1017.23,710.314,6785.03,5490.11,13773.7,66799.7
838,10396.8,13137.1,8665.23,5687.18,4779.41,3613.68,2557.12,2494.18,2105.94,1706.99,1505.4,1129.03,5874.27,5495.99,6091.68,5863.99,332.481,253.202,981.05,818.395,702.892,6988.45,7387.72,12417.3,55356.8
757,10314.2,12914.9,8543,5776.55,4970.91,3730.46,2986.21,2645.32,2041.66,1820.06,1467.93,1081.92,5563.22,6294.22,6666.89,4717,273.962,259.953,1036.97,912.172,873.3,5223.25,7417.09,17904.7,73225.6
78,10686.9,12950.9,8749.9,5896.56,4848.59,3470.69,2726.61,2674.89,2078.76,1810.36,1508.04,1013.9,4787.09,5237.91,3943.85,5168.6,223.838,319.982,861.308,783.585,640.656,6486.58,5809.49,14328.7,75531.5
262,9488.45,12795.8,8779.67,5568.02,4943.67,3574.8,2807.62,2481.23,2048.78,1716.39,1481.74,1065.82,4568.18,6098.82,6012.04,5620.29,229.527,322.829,784.948,1006.95,978.879,7033.8,6675.67,15794.1,69443
1124,9930.12,12839.9,8686.56,5733.54,4841.32,3648.15,2892.82,2580.86,2111.7,1764.24,1548.77,1131.4,4145.34,4415.3,5213.2,4623.3,295.066,320.252,913.508,1182.99,755.323,6790.36,6973.57,12787.6,69186
378,10048.9,12669.9,8773.8,5732.71,4815.24,3720.25,2909.51,2575.95,2089.83,1824.28,1455.34,1174.68,4630.25,5331.7,6773.31,5756.09,232.604,234.48,828.887,1010.46,848.24,7894.68,8117.21,15518.6,56476.2
