seed, Total Cost T
304, 2.41757e+06
1082, 2.41757e+06
168, 2.41757e+06
143, 2.41757e+06
182, 2.41757e+06
482, 2.41757e+06
87, 2.41757e+06
766, 2.41757e+06
774, 2.41757e+06
229, 2.41757e+06
733, 2.41757e+06
814, 2.41757e+06
1112, 2.41757e+06
547, 2.41757e+06
845, 2.41757e+06
249, 2.41757e+06
711, 2.41757e+06
455, 2.41757e+06
379, 2.41757e+06
116, 2.41757e+06
309, 2.41757e+06
412, 2.41757e+06
1147, 2.41757e+06
878, 2.41757e+06
905, 2.41757e+06
838, 2.41757e+06
964, 2.41757e+06
596, 2.41757e+06
995, 2.41757e+06
503, 2.41757e+06
662, 2.41757e+06
1126, 2.41757e+06
737, 2.41757e+06
963, 2.41757e+06
598, 2.41757e+06
1041, 2.41757e+06
285, 2.41757e+06
884, 2.41757e+06
805, 2.41757e+06
693, 2.41757e+06
613, 2.41757e+06
648, 2.41757e+06
349, 2.41757e+06
265, 2.41757e+06
16, 2.41757e+06
56, 2.41757e+06
671, 2.41757e+06
106, 2.41757e+06
756, 2.41757e+06
644, 2.41757e+06
150, 2.41757e+06
727, 2.41757e+06
1067, 2.41757e+06
1209, 2.41757e+06
323, 2.41757e+06
1235, 2.41757e+06
266, 2.41757e+06
607, 2.41757e+06
1015, 2.41757e+06
1106, 2.41757e+06
593, 2.41757e+06
958, 2.41757e+06
698, 2.41757e+06
880, 2.41757e+06
27, 2.41757e+06
1138, 2.41757e+06
198, 2.41757e+06
972, 2.41757e+06
747, 2.41757e+06
346, 2.41757e+06
225, 2.41757e+06
465, 2.41757e+06
53, 2.41757e+06
792, 2.41757e+06
811, 2.41757e+06
977, 2.41757e+06
1132, 2.41757e+06
33, 2.41757e+06
870, 2.41757e+06
459, 2.41757e+06
702, 2.41757e+06
427, 2.41757e+06
145, 2.41757e+06
237, 2.41757e+06
446, 2.41757e+06
169, 2.41757e+06
236, 2.41757e+06
796, 2.41757e+06
410, 2.41757e+06
131, 2.41757e+06
219, 2.41757e+06
687, 2.41757e+06
49, 2.41757e+06
591, 2.41757e+06
79, 2.41757e+06
750, 2.41757e+06
63, 2.41757e+06
919, 2.41757e+06
650, 2.41757e+06
1065, 2.41757e+06
926, 2.41757e+06
90, 2.41757e+06
790, 2.41757e+06
1046, 2.41757e+06
373, 2.41757e+06
57, 2.41757e+06
1085, 2.41757e+06
1170, 2.41757e+06
1062, 2.41757e+06
826, 2.41757e+06
569, 2.41757e+06
207, 2.41757e+06
798, 2.41757e+06
165, 2.41757e+06
88, 2.41757e+06
6, 2.41757e+06
495, 2.41757e+06
538, 2.41757e+06
959, 2.41757e+06
941, 2.41757e+06
1146, 2.41757e+06
934, 2.41757e+06
1119, 2.41757e+06
1044, 2.41757e+06
655, 2.41757e+06
897, 2.41757e+06
555, 2.41757e+06
257, 2.41757e+06
385, 2.41757e+06
404, 2.41757e+06
848, 2.41757e+06
902, 2.41757e+06
82, 2.41757e+06
1130, 2.41757e+06
1108, 2.41757e+06
895, 2.41757e+06
1011, 2.41757e+06
303, 2.41757e+06
438, 2.41757e+06
968, 2.41757e+06
557, 2.41757e+06
1070, 2.41757e+06
1094, 2.41757e+06
911, 2.41757e+06
1133, 2.41757e+06
36, 2.41757e+06
109, 2.41757e+06
355, 2.41757e+06
661, 2.41757e+06
1023, 2.41757e+06
122, 2.41757e+06
509, 2.41757e+06
499, 2.41757e+06
378, 2.41757e+06
1128, 2.41757e+06
562, 2.41757e+06
476, 2.41757e+06
833, 2.41757e+06
1110, 2.41757e+06
1022, 2.41757e+06
392, 2.41757e+06
1031, 2.41757e+06
248, 2.41757e+06
35, 2.41757e+06
570, 2.41757e+06
1210, 2.41757e+06
525, 2.41757e+06
994, 2.41757e+06
1071, 2.41757e+06
533, 2.41757e+06
639, 2.41757e+06
595, 2.41757e+06
974, 2.41757e+06
652, 2.41757e+06
0, 2.41757e+06
330, 2.41757e+06
208, 2.41757e+06
667, 2.41757e+06
185, 2.41757e+06
76, 2.41757e+06
948, 2.41757e+06
118, 2.41757e+06
264, 2.41757e+06
548, 2.41757e+06
322, 2.41757e+06
395, 2.41757e+06
551, 2.41757e+06
160, 2.41757e+06
876, 2.41757e+06
1219, 2.41757e+06
297, 2.41757e+06
802, 2.41757e+06
141, 2.41757e+06
231, 2.41757e+06
295, 2.41757e+06
59, 2.41757e+06
7, 2.41757e+06
752, 2.41757e+06
546, 2.41757e+06
1197, 2.41757e+06
255, 2.41757e+06
490, 2.41757e+06
283, 2.41757e+06
12, 2.41757e+06
129, 2.41757e+06
782, 2.41757e+06
581, 2.41757e+06
692, 2.41757e+06
71, 2.41757e+06
821, 2.41757e+06
426, 2.41757e+06
920, 2.41757e+06
882, 2.41757e+06
102, 2.41757e+06
188, 2.41757e+06
657, 2.41757e+06
840, 2.41757e+06
757, 2.41757e+06
529, 2.41757e+06
630, 2.41757e+06
522, 2.41757e+06
350, 2.41757e+06
558, 2.41757e+06
14, 2.41757e+06
605, 2.41757e+06
492, 2.41757e+06
291, 2.41757e+06
588, 2.41757e+06
135, 2.41757e+06
1123, 2.41757e+06
1233, 2.41757e+06
252, 2.41757e+06
220, 2.41757e+06
918, 2.41757e+06
171, 2.41757e+06
1215, 2.41757e+06
91, 2.41757e+06
5, 2.41757e+06
296, 2.41757e+06
1086, 2.41757e+06
61, 2.41757e+06
571, 2.41757e+06
510, 2.41757e+06
307, 2.41757e+06
383, 2.41757e+06
475, 2.41757e+06
925, 2.41757e+06
993, 2.41757e+06
651, 2.41757e+06
1043, 2.41757e+06
1212, 2.41757e+06
786, 2.41757e+06
606, 2.41757e+06
886, 2.41757e+06
957, 2.41757e+06
263, 2.41757e+06
763, 2.41757e+06
1056, 2.41757e+06
809, 2.41757e+06
443, 2.41757e+06
338, 2.41757e+06
26, 2.41757e+06
1154, 2.41757e+06
407, 2.41757e+06
632, 2.41757e+06
177, 2.41757e+06
691, 2.41757e+06
247, 2.41757e+06
352, 2.41757e+06
784, 2.41757e+06
1017, 2.41757e+06
631, 2.41757e+06
320, 2.41757e+06
770, 2.41757e+06
1188, 2.41757e+06
452, 2.41757e+06
1129, 2.41757e+06
512, 2.41757e+06
1109, 2.41757e+06
715, 2.41757e+06
780, 2.41757e+06
933, 2.41757e+06
991, 2.41757e+06
365, 2.41757e+06
484, 2.41757e+06
227, 2.41757e+06
251, 2.41757e+06
445, 2.41757e+06
611, 2.41757e+06
701, 2.41757e+06
653, 2.41757e+06
697, 2.41757e+06
755, 2.41757e+06
1036, 2.41757e+06
94, 2.41757e+06
846, 2.41757e+06
235, 2.41757e+06
113, 2.41757e+06
66, 2.41757e+06
975, 2.41757e+06
997, 2.41757e+06
396, 2.41757e+06
327, 2.41757e+06
10, 2.41757e+06
300, 2.41757e+06
226, 2.41757e+06
1180, 2.41757e+06
163, 2.41757e+06
1117, 2.41757e+06
666, 2.41757e+06
273, 2.41757e+06
183, 2.41757e+06
1020, 2.41757e+06
310, 2.41757e+06
95, 2.41757e+06
1054, 2.41757e+06
202, 2.41757e+06
638, 2.41757e+06
709, 2.41757e+06
996, 2.41757e+06
39, 2.41757e+06
764, 2.41757e+06
708, 2.41757e+06
1168, 2.41757e+06
184, 2.41757e+06
241, 2.41757e+06
431, 2.41757e+06
147, 2.41757e+06
642, 2.41757e+06
1200, 2.41757e+06
312, 2.41757e+06
17, 2.41757e+06
640, 2.41757e+06
1014, 2.41757e+06
158, 2.41757e+06
380, 2.41757e+06
319, 2.41757e+06
791, 2.41757e+06
1232, 2.41757e+06
734, 2.41757e+06
318, 2.41757e+06
628, 2.41757e+06
815, 2.41757e+06
504, 2.41757e+06
224, 2.41757e+06
965, 2.41757e+06
374, 2.41757e+06
301, 2.41757e+06
164, 2.41757e+06
125, 2.41757e+06
556, 2.41757e+06
1006, 2.41757e+06
429, 2.41757e+06
992, 2.41757e+06
337, 2.41757e+06
1089, 2.41757e+06
74, 2.41757e+06
935, 2.41757e+06
539, 2.41757e+06
754, 2.41757e+06
428, 2.41757e+06
1157, 2.41757e+06
13, 2.41757e+06
1246, 2.41757e+06
342, 2.41757e+06
1081, 2.41757e+06
483, 2.41757e+06
299, 2.41757e+06
175, 2.41757e+06
1238, 2.41757e+06
434, 2.41757e+06
111, 2.41757e+06
47, 2.41757e+06
760, 2.41757e+06
1173, 2.41757e+06
409, 2.41757e+06
844, 2.41757e+06
1206, 2.41757e+06
321, 2.41757e+06
1051, 2.41757e+06
850, 2.41757e+06
284, 2.41757e+06
527, 2.41757e+06
441, 2.41757e+06
413, 2.41757e+06
1093, 2.41757e+06
382, 2.41757e+06
140, 2.41757e+06
620, 2.41757e+06
1009, 2.41757e+06
269, 2.41757e+06
1136, 2.41757e+06
1214, 2.41757e+06
170, 2.41757e+06
1042, 2.41757e+06
726, 2.41757e+06
1152, 2.41757e+06
955, 2.41757e+06
1198, 2.41757e+06
401, 2.41757e+06
45, 2.41757e+06
403, 2.41757e+06
1040, 2.41757e+06
1007, 2.41757e+06
690, 2.41757e+06
610, 2.41757e+06
136, 2.41757e+06
83, 2.41757e+06
679, 2.41757e+06
240, 2.41757e+06
1145, 2.41757e+06
629, 2.41757e+06
616, 2.41757e+06
717, 2.41757e+06
635, 2.41757e+06
9, 2.41757e+06
1217, 2.41757e+06
89, 2.41757e+06
228, 2.41757e+06
120, 2.41757e+06
929, 2.41757e+06
479, 2.41757e+06
363, 2.41757e+06
281, 2.41757e+06
867, 2.41757e+06
181, 2.41757e+06
1165, 2.41757e+06
142, 2.41757e+06
721, 2.41757e+06
423, 2.41757e+06
473, 2.41757e+06
282, 2.41757e+06
609, 2.41757e+06
864, 2.41757e+06
913, 2.41757e+06
1201, 2.41757e+06
1240, 2.41757e+06
1103, 2.41757e+06
950, 2.41757e+06
1189, 2.41757e+06
917, 2.41757e+06
847, 2.41757e+06
930, 2.41757e+06
1153, 2.41757e+06
471, 2.41757e+06
334, 2.41757e+06
486, 2.41757e+06
279, 2.41757e+06
81, 2.41757e+06
341, 2.41757e+06
985, 2.41757e+06
508, 2.41757e+06
1156, 2.41757e+06
800, 2.41757e+06
769, 2.41757e+06
1029, 2.41757e+06
127, 2.41757e+06
55, 2.41757e+06
1193, 2.41757e+06
340, 2.41757e+06
827, 2.41757e+06
1037, 2.41757e+06
388, 2.41757e+06
1068, 2.41757e+06
743, 2.41757e+06
912, 2.41757e+06
940, 2.41757e+06
1005, 2.41757e+06
213, 2.41757e+06
1236, 2.41757e+06
633, 2.41757e+06
326, 2.41757e+06
397, 2.41757e+06
1114, 2.41757e+06
174, 2.41757e+06
343, 2.41757e+06
419, 2.41757e+06
