seed, Total Cost T
304, 1.15236e+09
1082, 1.23683e+09
168, 1.12611e+09
143, 1.04948e+09
182, 1.13662e+09
482, 1.161e+09
87, 1.09158e+09
766, 1.18689e+09
774, 1.06732e+09
229, 1.18947e+09
733, 1.16523e+09
814, 1.18075e+09
1112, 1.23582e+09
547, 1.15601e+09
845, 1.2234e+09
249, 1.16979e+09
711, 1.17454e+09
455, 1.20365e+09
379, 1.14703e+09
116, 1.13123e+09
309, 1.1876e+09
412, 1.21445e+09
1147, 1.13442e+09
878, 1.09063e+09
905, 1.15797e+09
838, 1.11087e+09
964, 1.18193e+09
596, 1.13657e+09
995, 1.15148e+09
503, 1.13915e+09
662, 1.10921e+09
1126, 1.21605e+09
737, 1.1947e+09
963, 1.27119e+09
598, 1.13659e+09
1041, 1.11755e+09
285, 1.17387e+09
884, 1.16094e+09
805, 1.14273e+09
693, 1.11439e+09
613, 1.1693e+09
648, 1.10771e+09
349, 1.28724e+09
265, 1.21795e+09
16, 1.20228e+09
56, 1.16217e+09
671, 1.19516e+09
106, 1.06745e+09
756, 1.17894e+09
644, 1.15054e+09
150, 1.12466e+09
727, 1.18389e+09
1067, 1.17287e+09
1209, 1.12006e+09
323, 1.21035e+09
1235, 1.09444e+09
266, 1.08872e+09
607, 1.15306e+09
1015, 1.13642e+09
1106, 1.19525e+09
593, 1.14786e+09
958, 1.10767e+09
698, 1.15824e+09
880, 1.08455e+09
27, 1.13126e+09
1138, 1.12746e+09
198, 1.1598e+09
972, 1.14741e+09
747, 1.13127e+09
346, 1.18376e+09
225, 1.16583e+09
465, 1.18576e+09
53, 1.17074e+09
792, 1.12884e+09
811, 1.12744e+09
977, 1.18723e+09
1132, 1.16762e+09
33, 1.10303e+09
870, 1.15305e+09
459, 1.20298e+09
702, 1.14911e+09
427, 1.24869e+09
145, 1.14831e+09
237, 1.22768e+09
446, 1.11711e+09
169, 1.13504e+09
236, 1.12779e+09
796, 1.16806e+09
410, 1.2467e+09
131, 1.13717e+09
219, 1.10101e+09
687, 1.15428e+09
49, 1.11419e+09
591, 1.16793e+09
79, 1.13194e+09
750, 1.17529e+09
63, 1.11855e+09
919, 1.1235e+09
650, 1.19069e+09
1065, 1.13151e+09
926, 1.18002e+09
90, 1.10794e+09
790, 1.06889e+09
1046, 1.21126e+09
373, 1.18861e+09
57, 1.12466e+09
1085, 1.10767e+09
1170, 1.20211e+09
1062, 1.12151e+09
826, 1.21972e+09
569, 1.24245e+09
207, 1.16336e+09
798, 1.08595e+09
165, 1.05168e+09
88, 1.15059e+09
6, 1.12371e+09
495, 1.10798e+09
538, 1.10547e+09
959, 1.20384e+09
941, 1.16052e+09
1146, 1.0794e+09
934, 1.16423e+09
1119, 1.18877e+09
1044, 1.1046e+09
655, 1.19991e+09
897, 1.15125e+09
555, 1.26223e+09
257, 1.23794e+09
385, 1.2385e+09
404, 1.2131e+09
848, 1.11344e+09
902, 1.11245e+09
82, 1.09479e+09
1130, 1.17741e+09
1108, 1.19124e+09
895, 1.17614e+09
1011, 1.1706e+09
303, 1.16565e+09
438, 1.19739e+09
968, 1.12359e+09
557, 1.1701e+09
1070, 1.1753e+09
1094, 1.18313e+09
911, 1.19134e+09
1133, 1.12502e+09
36, 1.14454e+09
109, 1.13611e+09
355, 1.13406e+09
661, 1.18953e+09
1023, 1.17523e+09
122, 1.09459e+09
509, 1.15205e+09
499, 1.12763e+09
378, 1.18495e+09
1128, 1.15149e+09
562, 1.22999e+09
476, 1.05124e+09
833, 1.18186e+09
1110, 1.12241e+09
1022, 1.16459e+09
392, 1.21609e+09
1031, 1.16975e+09
248, 1.21362e+09
35, 1.12204e+09
570, 1.14811e+09
1210, 1.16462e+09
525, 1.1032e+09
994, 1.20027e+09
1071, 1.12421e+09
533, 1.1215e+09
639, 1.18333e+09
595, 1.2164e+09
974, 1.15778e+09
652, 1.18821e+09
0, 1.21013e+09
330, 1.22543e+09
208, 1.13763e+09
667, 1.18315e+09
185, 1.11148e+09
76, 1.12985e+09
948, 1.15032e+09
118, 1.21457e+09
264, 1.21414e+09
548, 1.1349e+09
322, 1.19375e+09
395, 1.13422e+09
551, 1.13105e+09
160, 1.20628e+09
876, 1.08163e+09
1219, 1.13875e+09
297, 1.19698e+09
802, 1.14947e+09
141, 1.10221e+09
231, 1.13155e+09
295, 1.27575e+09
59, 1.11667e+09
7, 1.16577e+09
752, 1.12594e+09
546, 1.14477e+09
1197, 1.13151e+09
255, 1.08192e+09
490, 1.14881e+09
283, 1.16267e+09
12, 1.2345e+09
129, 1.0912e+09
782, 1.17497e+09
581, 1.19015e+09
692, 1.08389e+09
71, 1.13797e+09
821, 1.13487e+09
426, 1.0966e+09
920, 1.17589e+09
882, 1.1074e+09
102, 1.10989e+09
188, 1.0712e+09
657, 1.16549e+09
840, 1.12544e+09
757, 1.18826e+09
529, 1.08339e+09
630, 1.16353e+09
522, 1.15875e+09
350, 1.16731e+09
558, 1.19132e+09
14, 1.17286e+09
605, 1.12682e+09
492, 1.15713e+09
291, 1.20038e+09
588, 1.11506e+09
135, 1.11411e+09
1123, 1.15188e+09
1233, 1.20165e+09
252, 1.24239e+09
220, 1.16907e+09
918, 1.12082e+09
171, 1.15602e+09
1215, 1.17461e+09
91, 1.13611e+09
5, 1.21596e+09
296, 1.18999e+09
1086, 1.17968e+09
61, 1.20691e+09
571, 1.14051e+09
510, 1.19024e+09
307, 1.22041e+09
383, 1.20777e+09
475, 1.12569e+09
925, 1.22562e+09
993, 1.08419e+09
651, 1.14025e+09
1043, 1.18143e+09
1212, 1.12666e+09
786, 1.15432e+09
606, 1.10358e+09
886, 1.10593e+09
957, 1.14417e+09
263, 1.16747e+09
763, 1.14572e+09
1056, 1.19284e+09
809, 1.13362e+09
443, 1.16051e+09
338, 1.12964e+09
26, 1.10235e+09
1154, 1.13133e+09
407, 1.16097e+09
632, 1.17245e+09
177, 1.11678e+09
691, 1.1272e+09
247, 1.12396e+09
352, 1.2045e+09
784, 1.16415e+09
1017, 1.2191e+09
631, 1.17427e+09
320, 1.16256e+09
770, 1.15506e+09
1188, 1.22473e+09
452, 1.19324e+09
1129, 1.24303e+09
512, 1.18429e+09
1109, 1.15781e+09
715, 1.11348e+09
780, 1.16277e+09
933, 1.13023e+09
991, 1.15904e+09
365, 1.17921e+09
484, 1.1458e+09
227, 1.15875e+09
251, 1.17064e+09
445, 1.15366e+09
611, 1.21093e+09
701, 1.13031e+09
653, 1.12196e+09
697, 1.16197e+09
755, 1.18767e+09
1036, 1.22725e+09
94, 1.18105e+09
846, 1.15344e+09
235, 1.12402e+09
113, 1.18762e+09
66, 1.15302e+09
975, 1.07943e+09
997, 1.11881e+09
396, 1.14026e+09
327, 1.13546e+09
10, 1.13181e+09
300, 1.14883e+09
226, 1.08948e+09
1180, 1.19059e+09
163, 1.19005e+09
1117, 1.17252e+09
666, 1.12522e+09
273, 1.17896e+09
183, 1.13767e+09
1020, 1.20094e+09
310, 1.19175e+09
95, 1.1429e+09
1054, 1.15023e+09
202, 1.16053e+09
638, 1.18286e+09
709, 1.17098e+09
996, 1.2116e+09
39, 1.19541e+09
764, 1.11014e+09
708, 1.12908e+09
1168, 1.17581e+09
184, 1.14412e+09
241, 1.14564e+09
431, 1.15907e+09
147, 1.0986e+09
642, 1.201e+09
1200, 1.16732e+09
312, 1.23959e+09
17, 1.12397e+09
640, 1.20022e+09
1014, 1.20921e+09
158, 1.22312e+09
380, 1.13485e+09
319, 1.15696e+09
791, 1.0764e+09
1232, 1.20518e+09
734, 1.12193e+09
318, 1.25135e+09
628, 1.13575e+09
815, 1.2276e+09
504, 1.20471e+09
224, 1.17782e+09
965, 1.19613e+09
374, 1.13084e+09
301, 1.18113e+09
164, 1.20716e+09
125, 1.18298e+09
556, 1.18298e+09
1006, 1.19043e+09
429, 1.20386e+09
992, 1.19764e+09
337, 1.2083e+09
1089, 1.13592e+09
74, 1.15126e+09
935, 1.11038e+09
539, 1.13095e+09
754, 1.17214e+09
428, 1.24953e+09
1157, 1.12185e+09
13, 1.19201e+09
1246, 1.12423e+09
342, 1.15586e+09
1081, 1.22602e+09
483, 1.16306e+09
299, 1.22326e+09
175, 1.17956e+09
1238, 1.19946e+09
434, 1.18802e+09
111, 1.24094e+09
47, 1.13826e+09
760, 1.1235e+09
1173, 1.2846e+09
409, 1.28184e+09
844, 1.13614e+09
1206, 1.24069e+09
321, 1.27247e+09
1051, 1.18475e+09
850, 1.15073e+09
284, 1.21743e+09
527, 1.14274e+09
441, 1.11997e+09
413, 1.17987e+09
1093, 1.12969e+09
382, 1.21276e+09
140, 1.13199e+09
620, 1.07356e+09
1009, 1.21324e+09
269, 1.25829e+09
1136, 1.16881e+09
1214, 1.18543e+09
170, 1.13098e+09
1042, 1.24329e+09
726, 1.14518e+09
1152, 1.16446e+09
955, 1.18924e+09
1198, 1.10899e+09
401, 1.10711e+09
45, 1.14553e+09
403, 1.18424e+09
1040, 1.10543e+09
1007, 1.17708e+09
690, 1.13247e+09
610, 1.21773e+09
136, 1.07397e+09
83, 1.17684e+09
679, 1.13437e+09
240, 1.23144e+09
1145, 1.17274e+09
629, 1.11528e+09
616, 1.14227e+09
717, 1.14325e+09
635, 1.12542e+09
9, 1.17558e+09
1217, 1.12595e+09
89, 1.11642e+09
228, 1.07043e+09
120, 1.11352e+09
929, 1.13967e+09
479, 1.14906e+09
363, 1.21757e+09
281, 1.2288e+09
867, 1.08196e+09
181, 1.11507e+09
1165, 1.1732e+09
142, 1.11222e+09
721, 1.12781e+09
423, 1.17366e+09
473, 1.15511e+09
282, 1.20455e+09
609, 1.18952e+09
864, 1.1167e+09
913, 1.14475e+09
1201, 1.20284e+09
1240, 1.15124e+09
1103, 1.18921e+09
950, 1.12415e+09
1189, 1.16571e+09
917, 1.14956e+09
847, 1.15099e+09
930, 1.12287e+09
1153, 1.14602e+09
471, 1.17021e+09
334, 1.15912e+09
486, 1.10897e+09
279, 1.23204e+09
81, 1.09022e+09
341, 1.21184e+09
985, 1.15258e+09
508, 1.20803e+09
1156, 1.2057e+09
800, 1.13549e+09
769, 1.14681e+09
1029, 1.16749e+09
127, 1.1535e+09
55, 1.18176e+09
1193, 1.22042e+09
340, 1.23477e+09
827, 1.12352e+09
1037, 1.12107e+09
388, 1.11206e+09
1068, 1.07986e+09
743, 1.16641e+09
912, 1.21738e+09
940, 1.1357e+09
1005, 1.18882e+09
213, 1.11638e+09
1236, 1.10442e+09
633, 1.10529e+09
326, 1.2132e+09
397, 1.1218e+09
1114, 1.17714e+09
174, 1.13552e+09
343, 1.22417e+09
419, 1.17279e+09
501, 1.14174e+09
245, 1.22242e+09
149, 1.16261e+09
682, 1.17145e+09
288, 1.24073e+09
497, 1.12524e+09
627, 1.15721e+09
317, 1.22809e+09
485, 1.09706e+09
554, 1.16835e+09
204, 1.1809e+09
398, 1.2152e+09
818, 1.1167e+09
874, 1.13381e+09
420, 1.24356e+09
167, 1.25717e+09
1166, 1.11403e+09
242, 1.1309e+09
804, 1.07277e+09
952, 1.09167e+09
408, 1.17467e+09
73, 1.11437e+09
313, 1.2259e+09
822, 1.15284e+09
315, 1.20537e+09
246, 1.14356e+09
1018, 1.14849e+09
789, 1.16358e+09
78, 1.16552e+09
889, 1.1495e+09
1047, 1.17993e+09
777, 1.15659e+09
659, 1.1889e+09
704, 1.09474e+09
454, 1.12364e+09
1167, 1.13392e+09
356, 1.29052e+09
1104, 1.16641e+09
402, 1.26077e+09
387, 1.15691e+09
1186, 1.12121e+09
114, 1.14574e+09
457, 1.19381e+09
696, 1.13678e+09
1164, 1.17252e+09
112, 1.12949e+09
980, 1.09622e+09
887, 1.11068e+09
576, 1.13635e+09
634, 1.17725e+09
133, 1.04199e+09
675, 1.28062e+09
857, 1.13844e+09
686, 1.20099e+09
15, 1.21322e+09
293, 1.27801e+09
853, 1.12866e+09
981, 1.19005e+09
1028, 1.22865e+09
849, 1.10394e+09
161, 1.13158e+09
32, 1.14602e+09
615, 1.13527e+09
739, 1.18788e+09
1091, 1.11033e+09
1008, 1.12373e+09
863, 1.11474e+09
1231, 1.11975e+09
660, 1.18764e+09
186, 1.03936e+09
795, 1.15613e+09
1100, 1.23851e+09
316, 1.17361e+09
706, 1.14413e+09
1150, 1.14198e+09
194, 1.05769e+09
656, 1.17178e+09
900, 1.16122e+09
84, 1.15887e+09
520, 1.15555e+09
369, 1.21181e+09
820, 1.1733e+09
381, 1.21887e+09
560, 1.18205e+09
861, 1.2251e+09
761, 1.12498e+09
625, 1.13342e+09
665, 1.1947e+09
528, 1.13273e+09
530, 1.12926e+09
481, 1.13556e+09
138, 1.07752e+09
967, 1.18101e+09
723, 1.17706e+09
579, 1.12503e+09
335, 1.16486e+09
890, 1.18365e+09
944, 1.21001e+09
549, 1.1131e+09
1175, 1.18706e+09
359, 1.2157e+09
817, 1.2326e+09
731, 1.125e+09
178, 1.0991e+09
11, 1.11104e+09
852, 1.10397e+09
1003, 1.10437e+09
564, 1.15002e+09
732, 1.16286e+09
250, 1.19732e+09
191, 1.18406e+09
649, 1.16917e+09
909, 1.15577e+09
1083, 1.18461e+09
368, 1.19557e+09
1000, 1.2286e+09
19, 1.13402e+09
535, 1.09204e+09
962, 1.10573e+09
199, 1.14553e+09
683, 1.14548e+09
386, 1.13399e+09
308, 1.21132e+09
841, 1.14631e+09
212, 1.12579e+09
916, 1.10916e+09
1228, 1.1299e+09
1187, 1.13199e+09
623, 1.11869e+09
478, 1.22547e+09
1049, 1.12503e+09
824, 1.19223e+09
871, 1.23107e+09
1063, 1.10449e+09
1194, 1.17823e+09
694, 1.10538e+09
1024, 1.14774e+09
542, 1.11838e+09
1050, 1.16294e+09
262, 1.18682e+09
195, 1.13805e+09
600, 1.09186e+09
966, 1.14537e+09
37, 1.19045e+09
544, 1.176e+09
714, 1.17072e+09
498, 1.13131e+09
883, 1.18816e+09
193, 1.12262e+09
608, 1.18764e+09
197, 1.19305e+09
771, 1.28714e+09
808, 1.09049e+09
48, 1.12751e+09
1241, 1.18617e+09
1174, 1.15831e+09
1234, 1.16522e+09
23, 1.17853e+09
348, 1.14734e+09
469, 1.22403e+09
858, 1.17524e+09
603, 1.09525e+09
1237, 1.16462e+09
1002, 1.1558e+09
953, 1.17592e+09
21, 1.23333e+09
1181, 1.19311e+09
707, 1.30871e+09
496, 1.16917e+09
1098, 1.11172e+09
829, 1.16842e+09
405, 1.23203e+09
1204, 1.19126e+09
31, 1.13408e+09
646, 1.17579e+09
928, 1.15321e+09
253, 1.17796e+09
289, 1.30242e+09
154, 1.11581e+09
830, 1.20791e+09
1078, 1.07273e+09
987, 1.21446e+09
271, 1.24919e+09
969, 1.0927e+09
107, 1.17409e+09
258, 1.233e+09
44, 1.16655e+09
881, 1.18895e+09
1025, 1.15652e+09
86, 1.11482e+09
574, 1.15485e+09
594, 1.135e+09
223, 1.29633e+09
1199, 1.1552e+09
406, 1.22045e+09
132, 1.12389e+09
855, 1.19171e+09
1211, 1.14824e+09
839, 1.13255e+09
636, 1.12166e+09
746, 1.13235e+09
859, 1.13019e+09
417, 1.13931e+09
819, 1.16868e+09
537, 1.15074e+09
1141, 1.17208e+09
781, 1.13327e+09
103, 1.14953e+09
500, 1.11299e+09
1075, 1.16972e+09
506, 1.1586e+09
1243, 1.09552e+09
901, 1.12264e+09
372, 1.16708e+09
956, 1.18754e+09
360, 1.12823e+09
384, 1.20311e+09
945, 1.1895e+09
1205, 1.14294e+09
524, 1.20466e+09
885, 1.1678e+09
1069, 1.11394e+09
812, 1.13031e+09
1, 1.14944e+09
563, 1.19527e+09
768, 1.17607e+09
513, 1.1404e+09
813, 1.22374e+09
153, 1.14001e+09
1184, 1.16832e+09
1247, 1.11103e+09
58, 1.09387e+09
156, 1.14954e+09
463, 1.11501e+09
673, 1.16345e+09
1202, 1.17894e+09
1102, 1.21994e+09
1185, 1.13468e+09
421, 1.25834e+09
1107, 1.19039e+09
725, 1.10362e+09
1048, 1.11493e+09
767, 1.16336e+09
835, 1.19374e+09
577, 1.14552e+09
678, 1.3332e+09
1120, 1.15075e+09
515, 1.16353e+09
932, 1.17209e+09
1088, 1.15012e+09
477, 1.13541e+09
1176, 1.16379e+09
931, 1.14117e+09
97, 1.12126e+09
730, 1.16183e+09
1245, 1.11916e+09
172, 1.09566e+09
751, 1.16494e+09
1134, 1.21455e+09
741, 1.18081e+09
1135, 1.14277e+09
1076, 1.19677e+09
1016, 1.07326e+09
677, 1.16557e+09
689, 1.16111e+09
298, 1.2071e+09
180, 1.10242e+09
176, 1.12701e+09
572, 1.161e+09
75, 1.19925e+09
785, 1.13505e+09
1142, 1.21185e+09
336, 1.24629e+09
41, 1.20722e+09
230, 1.16068e+09
389, 1.18897e+09
971, 1.13941e+09
391, 1.15174e+09
437, 1.18551e+09
587, 1.22786e+09
1012, 1.20017e+09
1074, 1.10277e+09
1224, 1.09226e+09
585, 1.15974e+09
460, 1.13082e+09
345, 1.16355e+09
215, 1.17491e+09
736, 1.21409e+09
137, 1.1312e+09
668, 1.13982e+09
433, 1.14083e+09
260, 1.19194e+09
561, 1.13077e+09
748, 1.17959e+09
617, 1.0894e+09
762, 1.19419e+09
491, 1.11693e+09
1090, 1.12244e+09
578, 1.18992e+09
904, 1.14717e+09
1035, 1.11454e+09
801, 1.16494e+09
787, 1.15633e+09
898, 1.17292e+09
267, 1.20943e+09
976, 1.15172e+09
580, 1.16415e+09
487, 1.16559e+09
1190, 1.19473e+09
1079, 1.19798e+09
803, 1.14199e+09
1244, 1.24798e+09
583, 1.19197e+09
411, 1.2493e+09
115, 1.09996e+09
99, 1.11884e+09
196, 1.17267e+09
166, 1.14142e+09
540, 1.06677e+09
832, 1.0875e+09
272, 1.14362e+09
280, 1.19466e+09
866, 1.1407e+09
104, 1.17246e+09
970, 1.08372e+09
302, 1.24073e+09
1222, 1.15513e+09
206, 1.18023e+09
20, 1.08841e+09
275, 1.09456e+09
672, 1.12549e+09
999, 1.08518e+09
67, 1.16123e+09
425, 1.1399e+09
1151, 1.20464e+09
856, 1.14705e+09
480, 1.2188e+09
72, 1.11919e+09
1144, 1.15107e+09
1053, 1.21766e+09
121, 1.11914e+09
105, 1.1551e+09
34, 1.17284e+09
399, 1.17154e+09
440, 1.18559e+09
523, 1.15678e+09
435, 1.14883e+09
201, 1.22972e+09
778, 1.22461e+09
998, 1.18464e+09
1137, 1.19947e+09
1239, 1.27088e+09
729, 1.11542e+09
453, 1.23799e+09
753, 1.07656e+09
828, 1.2044e+09
451, 1.28214e+09
211, 1.17798e+09
836, 1.15293e+09
582, 1.19707e+09
1061, 1.18722e+09
361, 1.2011e+09
519, 1.185e+09
328, 1.11902e+09
908, 1.12537e+09
518, 1.22465e+09
1039, 1.25189e+09
126, 1.14204e+09
713, 1.16031e+09
601, 1.19775e+09
511, 1.16942e+09
942, 1.15604e+09
394, 1.18589e+09
862, 1.23007e+09
1057, 1.06487e+09
783, 1.14077e+09
983, 1.12514e+09
843, 1.17734e+09
