seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 2671.46, 2623.81, 2602.89, 2599.7, 2596.02, 2587.51, 292.363, 272.134, 307.394, 312.872, 325.875, 298.218, 3426.37, 3190.21, 3482.81, 3625.57, 46539.5, 42633.4, 50751.2, 44997.5, 42123.9, 84247.6, 105881, 144438, 207406
1082, 2613.88, 2596.6, 2592.44, 2593.87, 2589.36, 2586.62, 321.138, 277.404, 305.658, 311.988, 275.68, 301.95, 3389.69, 3633.04, 3264.48, 3717.95, 45470.1, 31148.7, 55559.8, 54203.3, 63377.4, 82495.6, 120762, 128469, 219739
168, 2725.06, 2646.89, 2623.05, 2609.43, 2605.37, 2600.59, 283.399, 283.016, 311.836, 312.323, 312.931, 272.999, 3739, 3286.04, 3698.15, 3419.93, 49093.5, 48035.5, 53746.9, 45788.7, 45019.6, 104803, 91973.8, 121834, 201124
143, 2680.59, 2638.1, 2616.78, 2608.91, 2588.1, 2586.34, 292.417, 292.409, 301.659, 285.383, 287.826, 304.762, 3481.97, 3289.56, 3133.65, 3618.22, 34938.2, 34191.2, 53633.8, 51125.8, 53474.4, 89811.4, 97483.2, 98636.7, 140346
182, 2688.74, 2638.26, 2620.99, 2605.97, 2599.61, 2586.15, 289.125, 293.003, 320.043, 275.181, 314.258, 285.548, 3374.88, 3652.13, 3385.16, 3406.23, 23659, 41657.6, 41106.5, 50083.5, 49536.7, 97640.7, 95024.2, 143520, 157061
482, 2590.18, 2594.16, 2597.57, 2593.17, 2594.54, 2586.49, 305.248, 289.862, 302.213, 315.247, 313.564, 302.207, 3378.1, 3488.37, 3372.07, 3471.62, 42152.8, 40168.3, 54852.9, 57182.3, 54417.7, 93706.8, 104873, 148081, 189411
87, 2665.42, 2617.96, 2602.24, 2607.23, 2601.37, 2594.11, 310.913, 292.778, 299.995, 293.151, 302.045, 290.996, 3195.48, 3635.84, 3426.99, 3432.93, 45650.6, 50366.7, 48363, 47152.3, 46045.5, 97538, 91589, 137876, 167056
766, 2646.27, 2628.46, 2608.57, 2610.16, 2615.07, 2605.07, 280.111, 273.81, 313.891, 301.384, 300.558, 297.66, 3354.46, 3276.19, 3957.94, 3255.08, 36939.2, 37449.2, 43703.7, 55881.3, 44358.2, 92793.4, 101449, 114388, 184982
774, 2673.45, 2625.75, 2604.88, 2591.34, 2585.8, 2587.08, 303.612, 277.057, 288.263, 290.216, 295.641, 310.739, 3273.04, 3133.39, 3650.62, 3401.42, 42670.3, 22770, 49332.1, 29042.5, 50153.3, 103137, 102352, 118674, 160853
229, 2633.23, 2602.17, 2594.89, 2585.38, 2587.53, 2583.66, 314.628, 246.579, 298.965, 321.238, 291.179, 301.457, 3247.28, 3712.64, 3366.21, 3564.51, 35598, 27807.2, 58958.6, 44172.3, 45045.9, 100682, 105947, 138178, 195985
733, 2624.43, 2614.29, 2598.84, 2599.12, 2598.86, 2591.32, 296.565, 292.405, 294.391, 286.674, 315.048, 285.121, 3539.16, 3274.37, 3669.32, 3393.76, 44932.7, 38972.9, 54916.3, 40208, 46056.6, 110191, 75512.1, 145248, 192666
814, 2644.22, 2612.3, 2597.04, 2588.83, 2591.19, 2588.23, 290.527, 289.595, 307.142, 311.137, 314.873, 297.442, 3421.84, 3432.45, 3444.93, 3837.12, 44161.6, 29642.9, 56021.8, 47895.3, 43951.9, 107843, 91346.1, 124760, 145181
1112, 2671.42, 2634.02, 2613.04, 2602.96, 2600.53, 2591.68, 319.371, 279.709, 291.41, 314.139, 305.439, 304.351, 3271.06, 3336.01, 3500.05, 3597.99, 37829.9, 45358.4, 56242.5, 53071.6, 51497.2, 90203.2, 107861, 119892, 203859
547, 2631.25, 2604.72, 2586.88, 2578.42, 2584.44, 2574.37, 300.086, 298.059, 296.177, 291.476, 285.604, 271.155, 3666.01, 3488.37, 3384.84, 3279.97, 30900.1, 34298.4, 54690.2, 40307, 47343.6, 86239.3, 106888, 138284, 170847
845, 2671.83, 2622.34, 2606.68, 2591.98, 2595.65, 2589.39, 286.189, 281.282, 322.203, 282.286, 325.04, 300.534, 3618.46, 3706.76, 3843.27, 3428.56, 40715.9, 25301.6, 56005.3, 51568.8, 55174.7, 109353, 108574, 138744, 199156
249, 2657.48, 2626.09, 2613.87, 2609.5, 2598.56, 2589.21, 314.525, 289.73, 318.577, 276.117, 313.71, 289.711, 3537.2, 3587.82, 3723.25, 3350.28, 37263.1, 39980.2, 42686.5, 50663.5, 39317.7, 98092.5, 83692.6, 137357, 200502
711, 2635.96, 2614.28, 2596.72, 2595.24, 2586.62, 2579.71, 294.404, 296.358, 302.093, 267.204, 296.316, 278.362, 3573.91, 3406.6, 3278.41, 3667, 28811.2, 40356.3, 36668, 44747.7, 42286.3, 95608.2, 82825.6, 136940, 203983
455, 2617.46, 2606.98, 2611.43, 2601.59, 2604.55, 2601.47, 286.203, 297.694, 291.171, 307.552, 302.473, 283.363, 3389.69, 3505.94, 3506.23, 3328.44, 47967.9, 51001.1, 47328.7, 56200.8, 57494.5, 101494, 95633.8, 134206, 219222
379, 2674.91, 2639.27, 2620, 2611.13, 2608.45, 2605.43, 278.219, 304.324, 325.033, 298.236, 288.011, 309.301, 3716.79, 3334.44, 3324.46, 3749.57, 41738.8, 30908.7, 50449.6, 46284.7, 56975.2, 100518, 81808, 147081, 174364
116, 2684.52, 2625.53, 2589.18, 2604.04, 2599.26, 2597.3, 283.804, 291.014, 287.031, 293.391, 321.694, 312.725, 3622.41, 3218.95, 3541.45, 3636.22, 32397.9, 29651.3, 41404.5, 43696.2, 40141.7, 100149, 112546, 129396, 193067
309, 2642.69, 2625.85, 2608.51, 2599.24, 2597.01, 2601.01, 303.929, 276.116, 313.581, 316.06, 306.562, 294.191, 3765.36, 3553.13, 3404.77, 3464.78, 46396.3, 42264.6, 56582.3, 45566.6, 45979.3, 96106.3, 126684, 135710, 180369
412, 2629.07, 2609.18, 2604.4, 2610.83, 2603.5, 2603.68, 284.354, 272.693, 304.472, 306.655, 305.043, 256.153, 3239.96, 3185.94, 3429.21, 3655.82, 42053.5, 44254.9, 48388.8, 52247, 52198.4, 113913, 118779, 159002, 209671
1147, 2598.99, 2602.3, 2588.95, 2585.78, 2586.11, 2578.56, 282.743, 297.425, 271.462, 302.404, 291.807, 304.733, 3416.86, 3312.96, 3158.43, 3471.07, 25397.9, 32317.1, 56660.2, 50025.8, 55382, 96330.7, 81253.6, 130655, 203167
878, 2656.17, 2627.12, 2615.74, 2605.02, 2608.55, 2595.42, 287.062, 277.655, 285.688, 274.921, 308.655, 266.473, 3024.52, 3344.43, 3386.5, 3181.65, 39197.8, 29501.4, 47757.7, 49189.9, 50609.9, 92822.8, 81661.2, 125507, 158848
905, 2667.02, 2630.96, 2612.47, 2608.22, 2596.06, 2599.35, 291.655, 274.004, 297.747, 298.487, 299.007, 296.12, 3293.7, 3178.13, 3430.59, 3630.74, 32258.1, 33331.1, 47416.9, 49025.8, 53606, 106087, 69841.4, 119276, 170808
838, 2675.74, 2630.86, 2618.71, 2615.59, 2605.63, 2600.77, 277.952, 285.866, 329.418, 284.531, 324.879, 267.87, 3643.61, 3934.79, 3216.87, 3367.7, 13525.6, 45849.8, 30332.6, 51628.4, 48130.1, 89601.8, 97382, 117102, 207286
964, 2650.71, 2618.43, 2601.07, 2595.87, 2586.58, 2586.27, 293.787, 273.671, 304.099, 288.636, 321.03, 274.503, 3361.98, 3574, 3175.7, 3536.43, 36639.5, 48529.6, 37238.9, 53594.6, 43159.5, 80143.6, 113314, 117076, 219836
596, 2653.34, 2627.52, 2608.15, 2610.69, 2604.59, 2586.32, 275.832, 283.369, 309.88, 279.596, 305.581, 277.342, 3404.35, 3461.88, 3453.06, 3459.23, 41535.7, 58086.7, 36958.9, 43200.7, 57359.2, 93097.1, 101992, 144658, 183891
995, 2676.2, 2631.66, 2608.57, 2597.9, 2598.27, 2595.54, 307.552, 299.544, 299.322, 319.023, 293.583, 322.996, 3285, 3557.69, 3275.23, 3558.81, 41916.5, 35364.3, 29268.5, 57015.8, 53397.6, 99095.8, 89549.3, 136835, 205576
503, 2711.32, 2657.59, 2630.39, 2619.02, 2605.12, 2613.53, 282.95, 301.528, 292.768, 314.063, 286.075, 297.073, 3521.02, 3462.29, 3471.84, 3608.06, 38977.1, 28381.6, 29182.1, 44876, 47983.4, 107888, 101709, 131008, 162828
662, 2675.98, 2611.93, 2598.16, 2580.06, 2581.1, 2578.06, 297.079, 272.785, 266.008, 303.151, 317.386, 319.897, 3457.09, 3519.05, 3471.08, 3429.55, 50157.1, 53503.2, 57466.1, 36406.1, 50677.2, 71872.6, 109196, 126896, 212301
1126, 2589.84, 2597.21, 2598.36, 2602.2, 2594, 2600.53, 303.471, 265.279, 314.057, 293.81, 298.164, 324.708, 3370.67, 3418.32, 3464.59, 3496.88, 32144.7, 41401.6, 61073.7, 47831.6, 55511.6, 115904, 111748, 139588, 232393
737, 2636.76, 2621.05, 2600.71, 2597.21, 2588.88, 2584.11, 288.856, 289.153, 291.12, 330.14, 299.215, 277.729, 3436.7, 3497.38, 3591.08, 3646.32, 49271.2, 50079.3, 50455.1, 40561.3, 51578.8, 94908.6, 113352, 130588, 229877
963, 2680.36, 2640.4, 2603.81, 2599.63, 2591.49, 2574.01, 289.014, 272.61, 319.076, 306.947, 311.776, 310.891, 3368.07, 3407.49, 3553.58, 3523.08, 48966, 50591, 63009.9, 47736.1, 54971, 115938, 80852.1, 174994, 224256
598, 2639.24, 2618.41, 2608.28, 2600.29, 2580.54, 2593.26, 301.198, 293.635, 285.067, 285.73, 304.593, 298.254, 3720.45, 3170.31, 3442.78, 3424.39, 35489, 49116.4, 56538.7, 46795.8, 55747.3, 93903.6, 100553, 108612, 137624
1041, 2674.75, 2634.84, 2610.15, 2596, 2594.81, 2590.88, 277.746, 288.99, 309.784, 297.134, 307.712, 282.794, 3452.06, 3807.14, 3532.89, 3749.1, 39542.3, 24893.5, 53114.6, 57659.2, 46376.8, 79000.7, 87548.2, 148012, 201407
285, 2640.15, 2620.73, 2607.38, 2603.01, 2597.91, 2600.64, 311.93, 306.241, 287.935, 290.91, 290.349, 318.882, 3567.5, 3272.8, 3732.18, 3570.12, 21617.9, 34928.8, 34833, 56287.6, 44982.6, 88674.9, 88348.9, 133005, 147314
884, 2667.53, 2625.27, 2605.71, 2600.52, 2600.7, 2587.62, 300.899, 286.845, 307.241, 286.731, 305.997, 301.142, 3606.03, 3158.39, 3397.72, 3085.65, 45185.1, 47652.5, 54186.1, 48816.5, 42535.6, 75516.7, 87934.8, 133170, 193902
805, 2659.04, 2617.03, 2598.95, 2588.87, 2584.4, 2577.31, 298.176, 281.266, 321.197, 318.822, 289.22, 282.351, 3347.37, 3695.92, 3553.59, 3264.52, 44519.2, 36669.5, 56445.1, 44177.4, 42570.4, 96163.2, 93547.1, 138870, 210000
693, 2682.23, 2640.3, 2612.6, 2603.26, 2602.22, 2601.02, 282.207, 302.852, 302.051, 275.12, 277.223, 330.69, 3368.97, 3448.79, 3397.46, 3861.81, 33629.1, 30623.8, 50789.9, 43542.3, 54053.3, 68918.6, 106102, 148112, 161777
613, 2613.18, 2608.46, 2597.49, 2597.35, 2596.82, 2584.75, 287.85, 294.805, 308.84, 313.856, 279.888, 282.108, 3115.1, 3195.42, 3213.68, 3331.68, 26072.1, 41715.6, 52664.1, 34607.8, 37180.7, 113401, 99824.9, 140541, 197131
