seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 1860.39, 4259.36, 3191.43, 2299.02, 2013.97, 1699.7, 1422.17, 1196.7, 918.795, 688.407, 620.886, 451.941, 2009.37, 2911.19, 2910.97, 2411.43, 152.228, 105.783, 228.29, 442.394, 206.454, 1789.79, 2157.62, 5200.62, 21538
1082, 1756.76, 4253.62, 3224.83, 2466.33, 1963.86, 1718.93, 1252.99, 1196.36, 796.583, 710.855, 551.934, 484.48, 2307.18, 2258.12, 2500.43, 3030.58, 120.027, 140.967, 225.972, 408.823, 195.052, 2077.33, 2406.77, 5434.51, 28820.9
168, 1894.81, 4300.84, 3199.93, 2350.55, 2081.9, 1609.58, 1283.42, 1074.82, 923.214, 764.198, 579.395, 529.678, 2833.61, 2840.13, 2644.47, 2021.38, 119.501, 129.002, 245.188, 348.639, 235.801, 1805.07, 2235.43, 4591.03, 16627.4
143, 1812.89, 4311.29, 3230.45, 2325.63, 2033.22, 1683.82, 1375.31, 1078.58, 952.072, 813.801, 599.286, 532.611, 2405.18, 2526.72, 2861.88, 2511.98, 139.57, 122.328, 156.487, 368.19, 245.835, 2187.13, 2083.09, 4797.3, 18824.9
182, 1837.72, 4352.78, 3218.64, 2336.14, 2026.57, 1575.98, 1348.64, 1167.74, 1028.74, 751.842, 589.418, 475.456, 2424.71, 2638.29, 2747.86, 2221.02, 160.832, 122.465, 205.234, 317.571, 197.246, 1741.57, 2524.68, 4811.42, 14615.5
482, 1833.43, 4182.91, 3301.27, 2328.41, 1971.95, 1600.18, 1400.01, 1096.35, 912.088, 812.762, 596.548, 547.981, 2436.25, 2387.09, 2510.29, 3240.88, 147.372, 123.189, 225.324, 364.551, 208.735, 2146.53, 2340.27, 5108.89, 21081.5
87, 1803.56, 4337.11, 3130.65, 2406.51, 2080.76, 1693.54, 1347.57, 1091.11, 892.215, 787.674, 573.415, 530.604, 2615.78, 2479.37, 2672.06, 2748.19, 163.193, 145.802, 154.922, 304.887, 192.336, 2264.14, 2249.4, 3778.75, 24073.3
766, 1795.22, 4174.25, 3121.54, 2270.43, 1931.16, 1684.19, 1379.58, 1191.83, 965.211, 746.038, 704.949, 505.492, 2589.66, 2573.41, 2538.97, 2953.68, 160.789, 161.813, 229.023, 454.666, 190.446, 2455.07, 2119.86, 6044.39, 24125.3
774, 1911.4, 4258.17, 3231.44, 2376.54, 1927.72, 1692.24, 1344.4, 1121.33, 961.922, 792.333, 579.662, 457.079, 2282.27, 2306.82, 2680.51, 2420.75, 111.809, 140.498, 181.244, 306.812, 157.831, 2114.27, 2343.32, 4391.19, 17942.1
229, 1797.32, 4288.39, 3138.19, 2278.2, 1937.46, 1688.45, 1400.95, 1092.71, 894.627, 890.795, 592.9, 515.874, 2673.82, 2892.49, 2990.27, 2312.45, 166.593, 192.01, 261.979, 461.674, 222.635, 1777.09, 1935.49, 5955.28, 20101.3
733, 1846.35, 4154.52, 3213.36, 2254.82, 2035.06, 1728.38, 1290.34, 1151.2, 925.312, 764.378, 644.969, 631.991, 2641.51, 2370.85, 2707.31, 3121.44, 155.686, 118.169, 168.781, 310.813, 207.139, 2165.66, 2586.91, 5025.27, 24889.5
814, 1810.29, 4088, 3217.33, 2365.57, 2021.11, 1633.81, 1375.26, 1119.94, 938.97, 804.481, 533.679, 519.61, 2611.1, 2747.01, 2375.56, 2449.4, 146.696, 142.039, 194.932, 504.924, 193.644, 2186.01, 2244.89, 6020.92, 24490.8
1112, 1866.79, 4312.69, 3168.01, 2328.7, 2193.03, 1602.99, 1353.7, 1179.66, 908.235, 690.615, 595.556, 566.081, 2410.71, 3069.09, 2861.15, 2625.74, 115.569, 115.891, 237.472, 409.355, 240.239, 2147.78, 2437, 7417.77, 22046.5
547, 1835.12, 4180.79, 3102.28, 2258.6, 2114.8, 1707.05, 1275.98, 1091.98, 945.472, 707.789, 546.494, 445.814, 2166.12, 2576.65, 2111.15, 2776, 142.255, 129.728, 174.956, 411.829, 179.889, 2116.5, 1959.57, 4742.35, 24887.9
845, 1814.72, 4161.35, 3162.42, 2324.69, 2030.36, 1609.5, 1352.92, 1081.8, 972.879, 774.3, 637.399, 475.628, 2681.22, 2887, 2297.65, 2297.93, 128.898, 122.21, 233.223, 381.664, 202.198, 2106.1, 2701.34, 5580.86, 20234.2
249, 1840.49, 4271.76, 3240.57, 2242.74, 1992.55, 1599.35, 1333.97, 1109.68, 985.729, 802.05, 602.342, 538.773, 2316.9, 2630.15, 2537.44, 2796.2, 141.813, 143.982, 251.542, 328.508, 228.996, 1880.4, 2270.73, 5611.74, 24216.1
711, 1743.68, 4383.77, 3137.29, 2275.78, 2057.79, 1691.11, 1337.45, 1186.4, 914.735, 770.834, 583.422, 540.726, 2719.29, 2489.27, 2575.72, 2630.12, 149.183, 141.105, 216.517, 425.012, 210.157, 2358.39, 2757.87, 5755.79, 17513.3
455, 1783.77, 4088, 3240.07, 2350, 2125.81, 1598.96, 1338.49, 1089.2, 957.661, 847.033, 565.68, 509.434, 2598.68, 2356.51, 2805.5, 3033.62, 134.384, 113.208, 250.641, 458.281, 215.947, 2666.91, 2588.62, 5611.8, 25917.9
379, 1855.75, 3983.57, 3205.01, 2342.11, 1991.14, 1557.45, 1357.71, 1118.94, 917.886, 763.093, 551.016, 423.983, 2274.61, 2762.31, 2876.16, 2311.3, 138.509, 143.518, 174.286, 411.492, 234.046, 2637.81, 2534.72, 5495.69, 24136.6
116, 1853.13, 4120.79, 3213.86, 2307.02, 2084.22, 1651.41, 1424.01, 1066.08, 905.363, 724.986, 568.358, 509.748, 2687.85, 2778.12, 2900.56, 2789.58, 158.67, 133.815, 242.972, 364.534, 210.692, 2328.44, 2444.91, 5268.44, 19082.8
309, 1852.68, 4239.3, 3236.72, 2391.74, 2049.09, 1663.35, 1300.63, 1130.34, 988.569, 783.919, 578.666, 509.421, 2847.76, 2202.35, 2799.61, 2496.65, 147.434, 172.268, 240.155, 487.242, 227.649, 2583.69, 2255.35, 6525.36, 21695
412, 1803.05, 4303.63, 3178.79, 2356.26, 2014.56, 1716.33, 1413.55, 1153.55, 923.747, 813.604, 610.314, 512.069, 2780.44, 2664.39, 2835.74, 2830.6, 109.098, 129.838, 200.974, 350.07, 197.447, 2598.64, 2457.25, 6016.66, 21627.3
1147, 1806.22, 4276.59, 3216.47, 2226.35, 2106.56, 1624.94, 1375.54, 1125.49, 901.482, 758.585, 551.753, 488.16, 2682.43, 2403.47, 3491.17, 2602.74, 105.484, 125.271, 218.69, 343.269, 175.867, 1736.95, 2187.13, 5798.01, 19904.4
878, 1787.18, 4281.63, 3221.7, 2349.72, 1982.92, 1657.51, 1397.92, 1101.15, 840.603, 742.022, 634.984, 526.18, 2613.3, 2733.66, 2299.1, 2238.88, 138.057, 141.762, 215.612, 393.537, 205.411, 2245.58, 2531.39, 4061.41, 19648.8
905, 1825.63, 4239.16, 3242.09, 2354.47, 2014.25, 1666.12, 1412.92, 1094.97, 922.237, 769.417, 614.062, 485.091, 2275.78, 2547.7, 2261.14, 2548.59, 106.423, 129.431, 224.076, 431.688, 201.159, 1945.25, 1917.27, 4232.49, 25669.4
