seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,36208.7,39709.7,39622,39568.8,39700.1,39826,39810.6,39581.7,39133.1,38479.1,37647.4,36690.7,430375,350967,320167,301678,1.06505e+06,1.04409e+06,1.13912e+06,1.02225e+06,1.09627e+06,896727,623005,433938,487031
1050,37658.6,41093.9,41031.7,41013.6,41149.2,41241.8,41154.3,40815.1,40220.6,39393.3,38374.3,37231.5,487029,394338,359439,338178,977579,955407,804553,732436,782645,628210,427938,295903,332059
456,36877.3,40776.7,40866.1,40893.2,41054.7,41173.6,41118,40817.3,40269.7,39494.9,38527.4,37428.2,432278,350338,319700,301290,1.16987e+06,1.14522e+06,857841,777514,833669,672825,462956,321403,360763
841,37844.8,41341.6,41236.5,41177.6,41290.3,41375.3,41294.5,40976.5,40419.4,39642.3,38678.8,37589.6,451094,364126,331143,311008,1.14947e+06,1.12406e+06,962650,873260,936112,747953,507809,350051,392734
838,37402.2,40886.8,40832.8,40805.8,40931.7,41019.9,40936.6,40610.7,40039.2,39243.3,38260.5,37153.6,452539,364217,330010,309115,1.07599e+06,1.05247e+06,838363,752681,809471,649169,441360,303753,340728
757,37399.3,40828.9,40722.2,40674.6,40802.2,40902.2,40830.2,40508.2,39927.2,39108.6,38095.9,36958.9,418063,337194,305957,287078,1.13619e+06,1.11231e+06,904285,808333,870115,704123,483658,334577,375471
78,36930.8,40135.2,40090.5,40073.9,40180.2,40234.5,40114.5,39755.3,39153.5,38331.3,37330.5,36217.1,414541,333250,301929,283049,1.10093e+06,1.07864e+06,1.27609e+06,1.13819e+06,1.2267e+06,982527,665859,456827,512273
262,36125.7,39973.5,40040.8,40064.1,40244.2,40404.4,40411.9,40193.8,39743.9,39077.5,38224.7,37241,434179,354025,323620,305571,1.07645e+06,1.0549e+06,1.00722e+06,909044,972655,798125,557519,390034,437922
1124,37626.2,41744.8,41919.7,41987.7,42171.4,42300.3,42242.3,41925.3,41345.9,40526,39505,38350,440787,358596,328274,310160,1.06645e+06,1.04432e+06,850284,769563,823317,672335,467556,326412,366470
378,37545.8,41277.7,41202.4,41142.6,41271,41390.1,41357.2,41097.4,40605.7,39897.2,39001.1,37974.2,423833,345989,316512,298832,1.11653e+06,1.09381e+06,972823,877998,940201,769936,537164,375539,421644
