seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,9864.7,13204.9,8830.53,5638.55,4786.39,3596.51,2770.99,2713.98,2084.6,1777.23,1552.73,1045.62,3840.22,6157.41,5180.12,5298.07,288.042,197.057,892.477,813.378,1064.79,7285.73,7686.88,17722.2,56555.4
1050,9666.25,13018.5,8820.19,5786.44,4866.35,3623.97,2857.3,2684.42,2044.77,1769.28,1497.84,1040.73,5451.7,5782.63,5498.65,4890.74,221.276,260.11,730.899,904.684,851.011,4929.61,7469.9,16373.1,66939.1
456,9561.9,13040.1,8593.37,5642.86,4874.95,3519.6,2850,2616.04,2032.1,1785.81,1518.22,1127.28,5702.48,5440.08,5372.61,6703.98,231.362,264.156,879.912,1016.3,792.624,7053.77,6585.5,15856.6,61469.1
841,10148.7,12886.9,8824.96,5857.55,4894.76,3666.68,2788.95,2553.85,2040.58,1755.79,1649.72,1159.65,5184.54,6238.78,4813.65,4603.53,259.813,227.161,899.599,1017.24,710.284,6784.67,5489.67,13772.8,66795.6
838,10330,13113.1,8653.39,5679.47,4772.85,3608.47,2553.89,2492.02,2104.25,1705.73,1504.34,1128.23,5870.77,5493.46,6090.26,5863.55,332.469,253.188,980.974,818.4,702.86,6988.06,7387.13,12416.5,55353.2
757,10256.9,12895.2,8532.39,5770.03,4965.22,3725.8,2983.17,2643.39,2040.28,1818.93,1467.07,1081.29,5560.43,6291.83,6665.64,4716.73,273.955,259.943,1036.91,912.183,873.275,5223.06,7416.72,17904,73222.8
78,10628.9,12932.2,8739.66,5890.13,4843.04,3466.43,2723.78,2672.98,2077.38,1809.26,1507.16,1013.31,4784.69,5235.91,3943.09,5168.28,223.832,319.969,861.261,783.594,640.638,6486.34,5809.17,14328.1,75528.2
262,9417.87,12771.1,8766.73,5559.95,4936.65,3569.2,2804.02,2479.02,2047.1,1715.11,1480.69,1065.08,4565.48,6096.11,6010.73,5619.92,229.522,322.817,784.902,1006.96,978.847,7033.5,6675.24,15793.2,69439.5
1124,9855.74,12815.3,8674.31,5725.67,4834.52,3642.71,2889.13,2578.59,2109.99,1762.93,1547.68,1130.61,4142.88,4413.34,5212.09,4623.02,295.061,320.241,913.456,1183.01,755.301,6790.09,6973.14,12786.9,69182.6
378,9965.67,12642.8,8759.04,5723.92,4807.41,3714.17,2905.43,2573.42,2087.96,1822.79,1454.22,1173.79,4627.26,5329.15,6771.76,5755.74,232.6,234.472,828.837,1010.48,848.213,7894.34,8116.68,15517.8,56473.4
