seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,1821.5,4026.06,3232.2,2394.5,1926.73,1699.24,1332.52,1227.65,932.25,791.012,602.377,477.506,1920.01,3078.74,2590.03,2648.94,144.025,98.5341,223.134,325.348,266.207,2427.71,2561.76,5881.7,18876.1
1050,1769.92,4285.11,3258.23,2375.42,2016.41,1695.31,1377.56,1089.36,983.015,773.891,585.41,463.034,2116.19,2646.74,2804.27,2932.2,110.642,130.063,182.741,361.874,212.764,1642.65,2489.52,5434.1,22342.3
456,1779.95,4281.45,3223.85,2235.64,1949.77,1737.27,1319.69,1140.06,914.046,796.512,594.392,512.98,2388.54,2776.72,2523.93,2552.26,112.029,120.961,262.897,383.816,199.353,2410.53,1946.17,5051.47,22739.7
841,1814.07,4215.83,3333.28,2365.08,1971.9,1715.2,1360.89,1087.42,903.071,773.383,681.96,560.596,2592.12,3119.44,2406.8,2301.68,129.911,113.589,224.92,406.892,177.58,2260.78,1829.55,4571.07,22294.2
838,1892.3,4226.88,3261.22,2399.08,2017.76,1693.05,1209.52,1052.61,955.992,732.214,566.257,559.042,2935.26,2746.8,3045.13,2931.7,166.241,126.603,245.265,327.36,175.725,2328.57,2461.92,4120.93,18475.2
757,1857.26,4283.54,3269.11,2336.88,1896.16,1741.05,1477.87,1142.15,890.983,814.345,544.496,510.108,2780.13,3145.97,3332.8,2358.3,136.982,129.979,259.244,364.871,218.327,1740.4,2471.71,5942,24438.8
78,1910.34,4331.81,3188.94,2416.26,2048.25,1642.2,1353.9,1112,966.457,730.406,577.545,503.336,2475.3,2320.82,2493.48,2430.08,123.947,109.655,250.755,384.115,168.907,2280.96,2177.08,4041.87,19392.2
262,1742.03,4279.43,3159.1,2203.91,1925.39,1625.78,1364.57,1033.87,893.151,734.244,542.876,510.754,2282.62,3048.08,3005.33,2809.87,114.765,161.417,196.239,402.782,244.722,2343.68,2224.64,5241.57,23176.4
1124,1801.22,4085.06,3143.54,2373.11,2159.13,1685.33,1404.2,1110.26,949.197,757.797,613.89,545.785,2071.34,2206.69,2606,2311.42,147.534,160.129,228.379,473.199,188.833,2262.56,2323.91,4243.81,23090.7
378,1838.8,4124.49,3273.52,2234.22,2225.58,1731.27,1439.65,1097.08,908.386,695.946,654.546,508.968,3252.12,2817.41,2767.44,3160.66,130.848,138.516,219.42,367.262,188.986,2490.3,2291.55,5621.94,25193.6
