seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,1821.78,4026.78,3232.77,2394.88,1926.99,1699.42,1332.63,1227.72,932.287,791.027,602.377,477.497,1920.11,3078.71,2590.06,2649.04,144.023,98.5302,223.121,325.355,266.2,2427.62,2561.62,5881.45,18875.3
1050,1770.21,4285.97,3258.88,2375.84,2016.71,1695.51,1377.67,1089.42,983.043,773.893,585.398,463.015,2116.3,2646.69,2804.29,2932.28,110.64,130.057,182.727,361.877,212.755,1642.56,2489.31,5433.7,22340.8
456,1780.27,4282.36,3224.52,2236.06,1950.09,1737.49,1319.82,1140.14,914.09,796.531,594.392,512.969,2388.66,2776.69,2523.98,2552.38,112.027,120.955,262.881,383.829,199.347,2410.45,1946.07,5051.28,22738.8
841,1814.42,4216.81,3334.05,2365.57,1972.24,1715.44,1361.03,1087.5,903.111,773.396,681.953,560.578,2592.27,3119.39,2406.83,2301.77,129.909,113.583,224.902,406.902,177.573,2260.67,1829.41,4570.78,22292.9
838,1892.6,4227.7,3261.85,2399.49,2018.06,1693.25,1209.62,1052.66,956.021,732.218,566.246,559.021,2935.38,2746.73,3045.13,2931.77,166.237,126.596,245.246,327.364,175.717,2328.44,2461.73,4120.66,18474
757,1857.51,4284.18,3269.59,2337.18,1896.37,1741.2,1477.97,1142.2,891.004,814.35,544.489,510.093,2780.21,3145.92,3332.82,2358.37,136.979,129.973,259.23,364.877,218.321,1740.34,2471.59,5941.77,24437.9
78,1910.57,4332.43,3189.39,2416.57,2048.47,1642.34,1353.99,1112.05,966.48,730.41,577.537,503.322,2475.38,2320.78,2493.49,2430.14,123.945,109.651,250.742,384.121,168.902,2280.88,2176.96,4041.69,19391.4
262,1742.3,4280.2,3159.66,2204.26,1925.65,1625.96,1364.68,1033.93,893.186,734.258,542.876,510.744,2282.74,3048.06,3005.37,2809.96,114.763,161.411,196.228,402.788,244.714,2343.58,2224.5,5241.29,23175.3
1124,1801.5,4085.8,3144.1,2373.49,2159.42,1685.51,1404.32,1110.33,949.23,757.807,613.885,545.771,2071.44,2206.67,2606.04,2311.51,147.533,160.123,228.366,473.208,188.827,2262.47,2323.77,4243.6,23089.5
378,1839.13,4125.35,3274.18,2234.62,2225.92,1731.49,1439.79,1097.15,908.427,695.962,654.547,508.959,3252.31,2817.4,2767.5,3160.81,130.847,138.511,219.407,367.27,188.98,2490.2,2291.4,5621.65,25192.4
