seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,36170.8,39671.8,39587.9,39536,39666.8,39791,39773.8,39545.9,39100.1,38449.2,37619.7,36664.2,430109,350805,320094,301657,1.06502e+06,1.04405e+06,1.13905e+06,1.02227e+06,1.09624e+06,896692,622970,433919,487010
1050,37625.1,41061.1,41002.5,40985.3,41120,41210.7,41121.2,40782.5,40190.3,39365.6,38348.4,37206.6,486760,394169,359362,338156,977551,955360,804491,732440,782610,628174,427902,295881,332035
456,36838.4,40737.8,40831.1,40859.6,41020.4,41137.3,41079.7,40779.8,40235,39463.4,38498.2,37400.1,431997,350167,319626,301271,1.16984e+06,1.14517e+06,857789,777536,833646,672803,462931,321391,360750
841,37807,41304.4,41203.2,41145.5,41257.1,41340,41256.9,40939.7,40385.2,39611,38649.6,37561.4,450810,363949,331065,310987,1.14943e+06,1.124e+06,962574,873276,936073,747914,507769,350028,392710
838,37367.1,40852,40801.7,40775.8,40900.9,40987.2,40901.9,40576.7,40007.5,39214.3,38233.5,37127.6,452269,364050,329933,309092,1.07595e+06,1.05241e+06,838298,752686,809435,649132,441325,303733,340706
757,37369.3,40798.9,40695.3,40648.7,40775.8,40874.3,40800.8,40479.5,39900.6,39084.4,38073.5,36937.4,417853,337066,305899,287062,1.13616e+06,1.11226e+06,904237,808343,870091,704099,483634,334564,375456
78,36901.9,40106.7,40064.8,40049.2,40154.9,40207.8,40086.3,39727.8,39127.9,38307.9,37308.7,36196.1,414334,333123,301871,283031,1.10091e+06,1.0786e+06,1.27602e+06,1.1382e+06,1.22667e+06,982491,665823,456806,512250
262,36089,39936.7,40007.7,40032.4,40211.9,40370.4,40376.1,40159,39711.7,39048.2,38197.6,37215.1,433922,353868,323550,305551,1.07643e+06,1.05487e+06,1.00716e+06,909054,972622,798090,557484,390014,437900
1124,37588.8,41707.2,41885.9,41955.3,42138.3,42265.4,42205.6,41889.5,41312.9,40496,39477.2,38323.4,440526,358438,328204,310141,1.06643e+06,1.04428e+06,850236,769576,823293,672308,467527,326395,366452
378,37504.4,41236.3,41165.2,41106.9,41234.6,41351.8,41316.8,41058.2,40569.7,39864.6,38971,37945.3,423560,345824,316440,298813,1.11651e+06,1.09377e+06,972764,878015,940172,769903,537129,375519,421623
