seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,9939.31,13286.2,8901.09,5705.21,4860.61,3666.78,2832.69,2766.81,2123.31,1805.46,1572.31,1055.88,3877.61,6206.02,5204.01,5309.42,288.107,197.064,892.491,813.354,1064.79,7285.7,7686.88,17722.1,56555
1050,9734.42,13092.6,8883.69,5848.93,4936.14,3690.07,2915.63,2731.93,2079.21,1794.73,1514.9,1049.94,5499.72,5824.04,5521.68,4900.26,221.323,260.12,730.914,904.656,851.012,4929.59,7469.93,16373,66938.7
456,9636.37,13123,8666.4,5712.07,4955.72,3592.78,2915.62,2669.44,2071.69,1815.6,1538.32,1138.88,5760.51,5485.01,5398.52,6718.97,231.417,264.166,879.924,1016.26,792.62,7053.69,6585.45,15856.3,61468
841,10223.4,12969.9,8898.21,5928.81,4975.96,3741.44,2852.44,2605.08,2079.56,1784.44,1671.05,1171.3,5236.48,6289.59,4836.6,4613.73,259.875,227.171,899.616,1017.2,710.283,6784.61,5489.66,13772.7,66794.7
838,10397,13188.2,8718.69,5742.51,4844.18,3674.68,2607.89,2538.19,2141.56,1731.71,1522.59,1138.88,5925.19,5535.02,6117.37,5875.74,332.544,253.199,980.993,818.374,702.861,6988.04,7387.16,12416.4,55352.9
757,10314.6,12956.4,8587.02,5823.03,5026.72,3783.72,3034.68,2684.35,2070.48,1842,1481.84,1089.74,5603.43,6331.53,6690.32,4724.87,274.005,259.951,1036.92,912.158,873.274,5223.04,7416.71,17903.8,73222.1
78,10687.2,12995.1,8796.04,5944.6,4905.31,3521.17,2772.09,2714.43,2108.09,1832.13,1522.28,1021.21,4821.72,5269,3957.74,5177.24,223.874,319.98,861.273,783.573,640.637,6486.31,5809.17,14328,75527.7
262,9488.7,12847.2,8833.05,5622.5,5011.27,3637.58,2863.24,2525.45,2083.75,1741.43,1498.75,1075.18,4608.24,6142.37,6037.34,5631.46,229.572,322.829,784.915,1006.93,978.848,7033.49,6675.26,15793.2,69439.1
1124,9930.4,12890.6,8740.7,5790.31,4908.68,3711.86,2950.56,2626.86,2147.72,1789.96,1566.54,1141.33,4181.59,4446.75,5235.09,4632.48,295.125,320.253,913.469,1182.97,755.3,6790.05,6973.14,12786.8,69182
378,10049.2,12726.1,8836.16,5795.2,4889.86,3792.41,2972.87,2626.39,2128.82,1853.22,1473.45,1185.87,4674.9,5373.5,6804.56,5768.64,232.655,234.481,828.851,1010.45,848.212,7894.31,8116.69,15517.6,56472.9
