seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 1.54112, 1.57908, 1.28434, 1.12211, 1.22525, 1.28786, 0.364498, 0.405993, 0.401666, 0.390484, 0.380207, 0.369058, 4.297, 4.34229, 4.32542, 4.42043, 6.04438, 7.27908, 63.7548, 22.7577, 14.7485, 143.039, 334.774, 197.501, 2673.03
1082, 2.32787, 1.56012, 1.22316, 1.16304, 1.16177, 1.15155, 0.364053, 0.406834, 0.401535, 0.389598, 0.378649, 0.366879, 4.24249, 4.30522, 4.32519, 4.44823, 83.1091, 39.5245, 9.18304, 70.3321, 78.2521, 117.509, 139.511, 407.919, 3637.19
168, 2.117, 1.9335, 1.22262, 1.19649, 1.26166, 1.16362, 0.362273, 0.40481, 0.39856, 0.387727, 0.376788, 0.364786, 4.28683, 4.28824, 4.24996, 4.32535, 11.6379, 6.94764, 74.52, 7.89586, 22.075, 333.232, 330.631, 391.472, 2232.32
143, 1.88119, 1.89522, 1.27699, 1.19705, 1.20886, 1.23543, 0.363757, 0.406604, 0.398719, 0.388025, 0.376778, 0.364616, 4.29235, 4.30712, 4.28038, 4.36656, 9.64418, 21.6148, 17.5302, 11.9593, 2.77263, 376.684, 173.98, 266.929, 2617.85
182, 1.60787, 1.43526, 1.20043, 1.13914, 1.20614, 1.2578, 0.364643, 0.405288, 0.400126, 0.389082, 0.378216, 0.366338, 4.28018, 4.31058, 4.28552, 4.37155, 14.6019, 27.6328, 18.5128, 12.6133, 25.6077, 430.969, 105.659, 382.864, 2809.4
482, 1.64017, 1.38033, 1.2686, 1.26295, 1.12027, 1.19274, 0.367901, 0.407409, 0.404399, 0.391344, 0.380918, 0.369304, 4.28403, 4.34722, 4.35656, 4.47251, 2.48, 5.43349, 32.8699, 27.4781, 14.9816, 126.966, 150.579, 596.143, 5924.18
87, 1.75122, 2.20604, 1.32769, 1.25968, 1.29596, 1.25279, 0.365761, 0.407131, 0.400711, 0.389592, 0.378827, 0.367072, 4.27748, 4.29304, 4.27271, 4.36982, 46.7101, 19.9594, 31.2727, 39.3131, 7.3303, 92.8952, 173.849, 273.306, 783.24
766, 1.43904, 1.78527, 1.22403, 1.14662, 1.14704, 1.14375, 0.365051, 0.408495, 0.401177, 0.389273, 0.378306, 0.366242, 4.23181, 4.29977, 4.30034, 4.40641, 121.365, 10.016, 20.735, 33.6787, 20.6391, 206.02, 450.584, 170.376, 3442.48
774, 1.54338, 1.54568, 1.25552, 1.15362, 1.22294, 1.14833, 0.363588, 0.405323, 0.39989, 0.388351, 0.377456, 0.36546, 4.23011, 4.25006, 4.22692, 4.31413, 9.7559, 6.51684, 30.4098, 10.5491, 43.7837, 302.317, 234.295, 189.409, 3834.68
229, 2.0324, 1.72502, 1.2648, 1.13188, 1.13065, 1.16873, 0.362737, 0.405684, 0.400605, 0.390251, 0.379955, 0.368481, 4.29996, 4.34478, 4.33153, 4.43087, 8.34924, 6.94858, 11.453, 20.6031, 5.80678, 132.158, 165.183, 206.586, 2630.87
733, 1.40624, 1.90145, 1.22634, 1.19356, 1.19716, 1.27785, 0.363535, 0.408598, 0.402419, 0.391036, 0.380766, 0.369448, 4.26799, 4.33803, 4.34103, 4.44956, 129.761, 5.39388, 11.0506, 4.12249, 56.8996, 287.855, 437.547, 140.432, 2624.41
814, 2.32952, 2.42974, 1.2584, 1.30422, 1.26052, 1.21489, 0.365276, 0.408529, 0.402924, 0.391006, 0.380684, 0.369195, 4.26786, 4.29439, 4.2786, 4.3718, 12.9854, 21.3735, 5.75012, 7.88366, 4.53075, 144.851, 505.152, 282.434, 2358.09
1112, 1.99037, 2.09076, 1.31947, 1.20875, 1.18385, 1.19084, 0.364585, 0.407955, 0.402364, 0.390703, 0.380033, 0.368597, 4.25389, 4.32774, 4.33655, 4.45034, 100.974, 11.194, 13.1137, 9.31179, 21.826, 204.285, 464.189, 108.614, 4402.69
547, 1.54916, 1.64507, 1.38796, 1.22189, 1.20218, 1.17596, 0.362867, 0.403965, 0.39891, 0.387274, 0.376188, 0.363958, 4.22424, 4.25308, 4.24626, 4.34829, 93.9782, 21.9066, 25.7028, 91.2015, 67.7417, 175.104, 527.087, 453.922, 2247.95
845, 2.37685, 1.45514, 1.228, 1.20327, 1.18762, 1.31566, 0.36465, 0.408418, 0.402627, 0.390028, 0.380082, 0.368804, 4.2955, 4.32809, 4.29187, 4.36428, 7.02867, 25.6056, 3.9711, 19.7366, 24.2689, 190.885, 631.209, 219.793, 3281.98
249, 1.70875, 1.83327, 1.46593, 1.13452, 1.12093, 1.20694, 0.36322, 0.407255, 0.401506, 0.390586, 0.380127, 0.368672, 4.29687, 4.34406, 4.3403, 4.44611, 51.9207, 3.50894, 13.9996, 23.3563, 17.3109, 296.325, 170.223, 327.304, 1698.44
711, 2.05984, 1.60687, 1.1891, 1.12217, 1.13943, 1.15831, 0.363652, 0.407189, 0.40182, 0.390893, 0.380452, 0.369042, 4.26214, 4.31292, 4.30575, 4.40653, 48.3177, 8.86479, 7.83433, 34.6457, 2.77339, 503.211, 299.024, 349.361, 4823.83
455, 2.65787, 1.67707, 1.54519, 1.19268, 1.257, 1.2343, 0.36559, 0.407587, 0.404478, 0.39145, 0.38095, 0.3695, 4.25682, 4.29949, 4.29924, 4.40576, 9.22906, 20.9791, 10.3273, 8.10787, 6.99099, 524.018, 356.945, 226.244, 2966.78
379, 1.37754, 1.61362, 1.24463, 1.12835, 1.15723, 1.20824, 0.363964, 0.406694, 0.401791, 0.391448, 0.381067, 0.369633, 4.2603, 4.32166, 4.3244, 4.43168, 16.7521, 25.4846, 5.63165, 84.2561, 92.3928, 161.03, 325.685, 238.885, 4598.93
116, 1.74542, 1.77748, 1.21219, 1.19079, 1.14286, 1.16913, 0.365952, 0.407102, 0.402481, 0.390645, 0.380053, 0.368427, 4.28525, 4.31364, 4.30061, 4.40115, 36.6038, 3.08426, 13.5138, 143.125, 3.95297, 174.562, 56.5151, 160.038, 2196.12
309, 1.33508, 2.05457, 1.23599, 1.19552, 1.08679, 1.23512, 0.365271, 0.40722, 0.4041, 0.393034, 0.383446, 0.372788, 4.30766, 4.37846, 4.38796, 4.50925, 56.7154, 20.9797, 13.7206, 47.5031, 18.1876, 614.798, 241.683, 288.035, 2863.56
