seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,2.17195,2.15191,1.17047,1.2449,1.13622,1.24204,0.366117,0.406124,0.402655,0.392755,0.383046,0.372212,4.29549,4.3714,4.37286,4.48499,19.8907,2.71374,6.12527,44.2936,24.3469,386.029,299.42,491.591,2697.4
1050,1.73139,2.21468,1.41563,1.09243,1.2224,1.12916,0.366017,0.406985,0.402866,0.3892,0.377997,0.365802,4.25276,4.29716,4.29798,4.40223,24.2866,27.5447,33.489,52.9838,26.9927,341.728,88.7151,429.867,2847.4
456,1.87598,1.75666,1.27193,1.14565,1.16038,1.22578,0.364775,0.407018,0.401777,0.390424,0.379616,0.367684,4.25202,4.29979,4.30222,4.41271,19.4717,9.13839,13.9958,94.704,34.9322,336.646,730.417,81.1467,4134.07
841,1.94433,1.62724,1.08868,1.19731,1.1806,1.16367,0.365402,0.405294,0.401087,0.38975,0.379036,0.367226,4.27735,4.3085,4.29689,4.39154,2.57614,36.3224,5.07214,6.70401,12.3439,148.629,272.776,150.92,3665.11
838,1.7022,1.62086,1.25764,1.20909,1.20683,1.23288,0.363699,0.408063,0.401831,0.388886,0.378054,0.366121,4.23988,4.25788,4.23244,4.3146,30.0309,9.49741,7.21318,8.95332,4.13516,357.12,434.689,538.816,3790.09
757,1.87716,1.60252,1.25949,1.31617,1.29134,1.22987,0.367248,0.406998,0.400367,0.389144,0.37804,0.366085,4.19594,4.22504,4.20657,4.29794,120.624,16.4235,8.93603,82.733,17.1555,329.989,665.362,181.174,2621.63
78,2.03383,1.77517,1.31692,1.13744,1.26369,1.16485,0.364299,0.406174,0.400385,0.388331,0.377281,0.36509,4.2807,4.29719,4.26996,4.36079,5.89259,8.53211,5.98514,156.607,14.495,133.744,200.273,160.438,1356.35
262,2.99057,1.99205,1.12996,1.14766,1.23185,1.17624,0.364705,0.407432,0.403086,0.393649,0.383932,0.37307,4.27701,4.35271,4.3627,4.48532,20.6738,16.2702,1.67826,2.90408,1.78468,219.208,634.101,105.212,5866.28
1124,2.4112,2.01766,1.14229,1.19131,1.10769,1.13188,0.366225,0.408404,0.401012,0.390158,0.379106,0.367062,4.24285,4.30732,4.32398,4.44789,1.67879,0.672707,7.65216,29.2886,26.0581,347.86,143.103,475.598,2569
378,1.38537,1.29186,1.32096,1.2017,1.17899,1.21664,0.363901,0.408152,0.402019,0.391795,0.381702,0.370645,4.2687,4.34881,4.36254,4.48169,1.02011,13.5851,10.6536,78.1486,20.8714,372.261,479.197,808.807,5368.15
