seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 2677.08, 2631.15, 2615.65, 2621.31, 2627.69, 2628.17, 297.754, 277.456, 313.137, 317.919, 330.102, 301.279, 3461.43, 3216.3, 3499.49, 3633.74, 46549.5, 42633, 50748.4, 44996.8, 42122.3, 84243.1, 105874, 144429, 207392
1082, 2614.72, 2599.45, 2601.15, 2612.1, 2618.38, 2625.35, 326.846, 282.697, 311.225, 316.859, 279.082, 304.816, 3421.66, 3660.84, 3279.18, 3725.86, 45479.9, 31148.8, 55557, 54202.3, 63375, 82491, 120753, 128459, 219723
168, 2725.19, 2648.72, 2629.83, 2624.27, 2629.39, 2632.82, 287.593, 287.509, 316.564, 316.377, 316.13, 275.131, 3767.95, 3306.95, 3712.18, 3426.11, 49101.8, 48035, 53744.3, 45788, 45018.1, 104798, 91968.5, 121828, 201114
143, 2683.08, 2642.39, 2626.51, 2627.55, 2616.8, 2624.29, 297.511, 297.867, 307.06, 289.796, 291.379, 307.685, 3514.69, 3314.68, 3147.82, 3625.98, 34945.3, 34190.9, 53631.3, 51125.3, 53472.8, 89807.8, 97478, 98632.1, 140339
182, 2689.11, 2640.68, 2629.37, 2623.93, 2628.41, 2624.5, 294.244, 298.538, 325.8, 279.409, 318.06, 288.193, 3406.08, 3679.79, 3400.37, 3413.5, 23663.8, 41657.3, 41104.7, 50082.8, 49535.1, 97636.5, 95018.9, 143512, 157053
482, 2601.79, 2607.06, 2615.06, 2618.01, 2627.88, 2627.5, 310.783, 295.424, 307.774, 320.327, 317.733, 305.503, 3414.55, 3517.66, 3388.39, 3479.43, 42161.8, 40168.1, 54850.5, 57182.2, 54416.2, 93703.2, 104867, 148074, 189402
87, 2672.77, 2626.9, 2616.28, 2629.54, 2632.96, 2634.04, 316.441, 298.316, 305.407, 297.728, 305.862, 293.939, 3227.76, 3664.99, 3442.98, 3440.41, 45659.9, 50366.3, 48360.5, 47151.5, 46043.7, 97532.9, 91582.6, 137867, 167045
766, 2629.14, 2613.87, 2600.16, 2611.8, 2628.08, 2627.95, 283.377, 277.325, 317.689, 304.33, 302.598, 298.874, 3368.29, 3289.2, 3967.97, 3259.21, 36944.3, 37449.2, 43702.4, 55880.1, 44357, 92789.9, 101444, 114383, 184973
774, 2675.76, 2630.07, 2615.16, 2611.24, 2616.64, 2627.85, 309.274, 282.584, 293.754, 294.965, 299.486, 313.873, 3305.84, 3158.86, 3668.15, 3409.16, 42679.5, 22769.7, 49329, 29041.9, 50151, 103130, 102344, 118665, 160841
229, 2645.69, 2616.02, 2613.8, 2612.48, 2624.19, 2629.08, 320.968, 251.86, 305.123, 327.044, 295.521, 305.135, 3286.2, 3747.46, 3384.48, 3573.53, 35606.3, 27807, 58955.8, 44172, 45044.4, 100678, 105941, 138171, 195976
733, 2624.44, 2616.22, 2606.36, 2615.8, 2625.99, 2627.76, 301.563, 297.678, 299.461, 290.899, 318.706, 287.654, 3570.38, 3297.96, 3684.96, 3400.62, 44941.7, 38972.8, 54914, 40207.4, 46055.2, 110186, 75507.7, 145240, 192656
814, 2662.06, 2631.24, 2620.26, 2619.01, 2629.6, 2634.32, 296.387, 295.742, 313.433, 316.792, 319.685, 301.256, 3464.81, 3465.63, 3464.05, 3846.98, 44171.7, 29642.3, 56018.8, 47895.3, 43950.4, 107839, 91341, 124755, 145175
1112, 2676.96, 2641.21, 2625.48, 2623.87, 2631.08, 2630.82, 324.977, 284.949, 296.617, 318.982, 309.226, 307.343, 3303.25, 3362.14, 3516.04, 3605.71, 37837.8, 45358.4, 56239.9, 53071, 51495.6, 90199, 107855, 119885, 203848
547, 2638.55, 2613.81, 2601.63, 2602.37, 2619.04, 2618.45, 306.088, 304.391, 302.202, 296.62, 289.68, 274.233, 3707.15, 3519.53, 3402.48, 3288, 30907.2, 34297.9, 54687.1, 40306.7, 47341.9, 86235.2, 106881, 138276, 170838
845, 2689.54, 2640.7, 2628.15, 2618.43, 2628.2, 2627.74, 290.953, 286.215, 327.704, 286.623, 329.312, 303.9, 3657.55, 3737.45, 3861.58, 3436.14, 40723.8, 25301.1, 56002.8, 51568.8, 55173.1, 109350, 108569, 138739, 199149
249, 2641.84, 2612.76, 2606.51, 2612.02, 2612.24, 2612.65, 318.259, 293.535, 322.537, 278.916, 315.959, 291.007, 3552.99, 3602.9, 3733.15, 3354.71, 37268.4, 39980.3, 42685.2, 50662.5, 39316.7, 98089.1, 83689, 137352, 200493
711, 2637.14, 2617.35, 2605.37, 2613.03, 2614.8, 2617.22, 299.513, 301.852, 307.446, 271.267, 299.883, 280.943, 3606.76, 3432.07, 3292.9, 3674.69, 28817.1, 40356.1, 36666.2, 44747.1, 42284.9, 95603.8, 82820.6, 136933, 203972
455, 2614.78, 2606.11, 2615.58, 2613.86, 2626.04, 2631.13, 290.155, 302.096, 295.261, 311.209, 305.255, 285.303, 3412.96, 3525.95, 3518.17, 3333.85, 47975.6, 51001, 47327.1, 56200.1, 57493, 101490, 95629.4, 134200, 219212
379, 2660.02, 2627.21, 2614.75, 2616.81, 2626.32, 2633.89, 282.097, 308.943, 329.663, 301.693, 290.396, 310.96, 3737.51, 3351.33, 3334.92, 3755.37, 41745.7, 30908.8, 50447.7, 46283.6, 56973.5, 100514, 81803.2, 147072, 174354
116, 2690.51, 2633.25, 2602.28, 2626.06, 2631.26, 2638.36, 289.065, 296.72, 292.402, 298.129, 325.873, 315.943, 3659.61, 3245.33, 3558.4, 3644.37, 32404.7, 29651, 41402.2, 43695.2, 40140, 100143, 112538, 129386, 193054
309, 2635.33, 2620.99, 2610.09, 2611.08, 2620.32, 2634.48, 308.704, 280.804, 318.604, 320.282, 309.652, 296.324, 3793.35, 3575.51, 3417.66, 3471.07, 46405.1, 42264.8, 56579.9, 45565.6, 45977.8, 96101.4, 126675, 135701, 180357
412, 2633.71, 2615.36, 2615.38, 2629.55, 2630.88, 2638.9, 288.842, 277.265, 309.336, 310.876, 308.414, 258.391, 3268.31, 3208.14, 3443.13, 3662.76, 42061.5, 44255, 48386.9, 52246.4, 52197, 113909, 118772, 158993, 209660
1147, 2604.05, 2609.06, 2601.07, 2606.65, 2617.02, 2618.46, 287.878, 303.181, 276.488, 307.245, 295.56, 307.823, 3451.2, 3339.56, 3173.26, 3478.73, 25403.3, 32316.9, 56657.5, 50025.2, 55380.2, 96326.2, 81248.5, 130648, 203156
878, 2660.42, 2632.89, 2626.2, 2623.02, 2635.27, 2629.85, 291.528, 282.259, 290.221, 278.691, 312.055, 268.785, 3050.51, 3367.49, 3400.21, 3187.72, 39204.9, 29501, 47755.2, 49189.2, 50608.1, 92818.3, 81656, 125499, 158839
905, 2659.95, 2626.03, 2613.33, 2618.64, 2617.31, 2630.32, 295.955, 278.382, 302.279, 302.309, 301.91, 298.179, 3316.41, 3196.87, 3442.86, 3637.01, 32263.5, 33330.8, 47415, 49025.2, 53604.5, 106083, 69838.1, 119271, 170801
838, 2664.1, 2621.47, 2614.94, 2621.01, 2621.39, 2625.59, 281.334, 289.665, 333.56, 287.48, 327.329, 269.213, 3661.98, 3952.67, 3225.95, 3372.37, 13527.5, 45849.5, 30331.3, 51627, 48128.4, 89597.4, 97376, 117095, 207274
964, 2646.07, 2615.91, 2604.25, 2608.32, 2609.43, 2618.36, 298.21, 278.11, 308.776, 292.372, 324.209, 276.493, 3386.6, 3595.89, 3187.32, 3542.61, 36646, 48529.7, 37237.6, 53593.8, 43158.4, 80140.5, 113308, 117070, 219826
596, 2647.1, 2623.58, 2610.28, 2622.66, 2627.62, 2618.94, 280.112, 288.086, 314.771, 283.301, 308.662, 279.367, 3429.34, 3483.44, 3466.03, 3465.48, 41543.2, 58086.5, 36957.3, 43199.9, 57357.4, 93092.9, 101986, 144650, 183881
995, 2674.12, 2631.49, 2613.71, 2611.63, 2621.74, 2627.66, 312.143, 304.329, 303.869, 323.136, 296.525, 325.425, 3309.78, 3579.88, 3287.4, 3565.11, 41923.8, 35364.2, 29267.3, 57015, 53396.1, 99091.8, 89544.5, 136828, 205566
