seed, Total QALY
304, 383468
1082, 357098
168, 338332
143, 287438
182, 346275
482, 383331
87, 236492
766, 488528
774, 340840
229, 277959
733, 395816
814, 358024
1112, 425291
547, 337949
845, 378624
249, 352435
711, 364182
455, 359098
379, 411446
116, 310969
309, 409379
412, 446071
1147, 414632
878, 322246
905, 284163
838, 390311
964, 373157
596, 423173
995, 494205
503, 369045
662, 299561
1126, 507089
737, 415981
963, 331924
598, 248288
1041, 404993
285, 526036
884, 416080
805, 411852
693, 381740
613, 256772
648, 346382
349, 400173
265, 395098
16, 379788
56, 404690
671, 322311
106, 396402
756, 350315
644, 225130
150, 387448
727, 436561
1067, 410347
1209, 348078
323, 352779
1235, 386835
266, 339884
607, 274600
1015, 313352
1106, 470765
593, 370727
958, 410461
698, 358655
880, 443568
27, 425112
1138, 355019
198, 322610
972, 334891
747, 322818
346, 469929
225, 452120
465, 384147
53, 292798
792, 419574
811, 258684
977, 363144
1132, 464879
33, 408396
870, 371316
459, 382745
702, 416987
427, 301249
145, 347116
237, 446184
446, 369185
169, 325373
236, 367904
796, 366565
410, 363370
131, 440989
219, 446094
687, 467678
49, 390142
591, 412334
79, 342138
750, 460475
63, 305042
919, 390833
650, 289278
1065, 337483
926, 278333
90, 481417
790, 390638
1046, 389514
373, 454903
57, 343807
1085, 430886
1170, 398364
1062, 255519
826, 399643
569, 386956
207, 396414
798, 413021
165, 413143
88, 398103
6, 559884
495, 337340
538, 459984
959, 402208
941, 284541
1146, 292166
934, 382664
1119, 326677
1044, 398890
655, 391791
897, 362631
555, 337838
257, 401920
385, 309776
404, 296516
848, 505618
902, 381838
82, 314261
1130, 526161
1108, 390126
895, 294446
1011, 338811
303, 364391
438, 358908
968, 324095
557, 398389
1070, 440587
1094, 394275
911, 432794
1133, 435769
36, 429486
109, 396726
355, 386895
661, 307562
1023, 412028
122, 344752
509, 408870
499, 445093
378, 531514
1128, 363120
562, 459566
476, 398765
833, 315284
1110, 281390
1022, 459381
392, 390083
1031, 298279
248, 373375
35, 389256
570, 528179
1210, 388638
525, 346616
994, 390428
1071, 319487
533, 296837
639, 437286
595, 283716
974, 362818
652, 381369
0, 386074
330, 469976
208, 380639
667, 539014
185, 392523
76, 345996
948, 318482
118, 365805
264, 434163
548, 326166
322, 418410
395, 373872
551, 367719
160, 396969
876, 377070
