seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,40001.5,43359.6,42801.8,42406.4,42238.7,41935.8,41207.9,39847.4,37787.4,35089.3,31921.1,28516.7,151038,40803.2,11166.6,2913.87,972.24,54.7472,3.76184,0.157342,0.00641983,0.000230118,1.06783e-05,1.07913e-06,1.35598e-07
1050,40379.2,43607.5,43130,42805.9,42658.5,42335.8,41560.8,40137.6,38006.7,35235.1,31995.5,28525.2,150895,39241.9,10243.3,2490.63,730.817,34.2576,1.92694,0.0701958,0.00262756,0.000102445,1.15032e-05,2.07593e-06,2.85237e-07
456,39466.3,43189.2,42880,42618.5,42518.8,42244.7,41520,40143.7,38053.8,35315.1,32098.9,28642,151392,39620.3,10401.1,2551.31,760.271,36.0808,2.07126,0.0767898,0.0028832,0.000102953,7.69346e-06,1.22666e-06,1.68755e-07
841,40296.6,43554.8,43027.1,42663.3,42497.7,42170.8,41400.9,39987.6,37870.8,35117.1,31898.8,28451.8,151431,39590.9,10410.1,2556.84,764.139,36.5355,2.11451,0.0791072,0.00300563,0.000112107,1.0047e-05,1.6879e-06,2.31085e-07
838,40184.6,43461.8,42983.1,42645,42488,42164,41397.5,39991.8,37886.6,35146.7,31941.4,28504.6,152322,39937.1,10467.1,2551.21,748.239,34.1648,1.86137,0.0659666,0.00244574,9.63314e-05,1.17021e-05,2.20429e-06,3.06832e-07
757,40454.6,43691.3,43142.5,42763.4,42588.4,42259.7,41491.8,40084.8,37975.1,35225.7,32007.4,28555.6,150766,39839.3,10569.5,2630,803.941,39.5191,2.36156,0.0894907,0.003428,0.000119347,6.34878e-06,7.88658e-07,1.04925e-07
78,40660.5,43704.1,43213.1,42858.4,42651.7,42262.8,41428.4,39962.1,37807.1,35029.2,31798,28346.4,152366,39595.3,10231.6,2436.43,683.11,28.4219,1.36092,0.0430656,0.00148608,6.03716e-05,9.036e-06,1.77317e-06,2.47509e-07
262,39416.3,43118.9,42737.6,42426.4,42308.2,42040.7,41340,40000.5,37954.9,35263,32092.4,28677.1,151232,40624,11032.3,2847.77,931.297,51.0889,3.41405,0.139963,0.0056181,0.000200119,9.82262e-06,1.09598e-06,1.41919e-07
1124,39268.9,43123.3,42897.8,42666,42569.7,42291.1,41561.8,40185.7,38101.2,35371.4,32165.5,28717.5,151433,39720,10466.1,2586.48,781.649,37.794,2.20842,0.0826644,0.00313313,0.000114223,9.66261e-06,1.67999e-06,2.35254e-07
378,39897,43375.5,42854.7,42470.2,42305.5,42000,41264.3,39891.3,37816.6,35103.9,31923.6,28510.3,150215,40438.1,11091.7,2916.54,990.041,57.1585,4.03351,0.172239,0.00708407,0.000253759,1.10856e-05,1.00476e-06,1.22129e-07
