seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,10083.3,13329,8917.5,5713.39,4865.94,3670.48,2833.95,2768.04,2124.41,1806.55,1573.43,1056.73,3880.18,6208.44,5204.99,5309.81,288.108,197.064,892.492,813.359,1064.79,7285.73,7686.91,17722.1,56555.1
1050,9866.16,13129.8,8898.22,5855.85,4940.77,3694.02,2916.77,2733,2080.17,1795.69,1515.87,1050.7,5503.04,5826.11,5522.63,4900.59,221.324,260.12,730.914,904.662,851.015,4929.61,7469.95,16373,66938.9
456,9780.37,13163.1,8683.36,5720.53,4961.47,3596.97,2916.96,2670.65,2072.79,1816.72,1539.46,1139.83,5764.51,5487.26,5399.59,6719.49,231.418,264.166,879.925,1016.27,792.622,7053.72,6585.48,15856.4,61468.3
841,10368,13011.5,8915.09,5936.74,4981.61,3745.81,2853.72,2606.25,2080.66,1785.53,1672.27,1172.27,5240.07,6292.14,4837.55,4614.09,259.876,227.171,899.617,1017.21,710.285,6784.64,5489.68,13772.7,66795
838,10526.5,13226.5,8733.44,5750.02,4849.28,3678.33,2608.98,2539.24,2142.58,1732.68,1523.6,1139.75,5928.95,5537.1,6118.49,5876.17,332.545,253.199,980.994,818.38,702.863,6988.06,7387.18,12416.4,55353.1
757,10426,12987.5,8600.49,5829.28,5031.11,3786.93,3035.74,2685.28,2071.31,1842.86,1482.67,1090.44,5606.39,6333.51,6691.34,4725.16,274.006,259.951,1036.93,912.163,873.276,5223.05,7416.73,17903.9,73222.3
78,10800.1,13023.9,8808.81,5950.79,4909.38,3524.04,2773.04,2715.36,2108.93,1833,1523.13,1021.86,4824.29,5270.66,3958.34,5177.55,223.875,319.98,861.273,783.577,640.638,6486.33,5809.19,14328,75527.9
262,9625.44,12885.7,8849.35,5630.35,5016.52,3641.27,2864.47,2526.52,2084.78,1742.43,1499.77,1076.02,4611.18,6144.68,6038.43,5631.86,229.573,322.829,784.916,1006.94,978.85,7033.51,6675.28,15793.2,69439.3
1124,10074.6,12929.6,8755.83,5797.73,4913.67,3715.39,2951.8,2627.96,2148.76,1790.97,1567.6,1142.21,4184.27,4448.42,5236.04,4632.81,295.126,320.252,913.47,1182.98,755.302,6790.08,6973.16,12786.8,69182.2
378,10210.7,12768.7,8854.42,5803.44,4895.71,3796.02,2974.28,2627.62,2129.98,1854.4,1474.57,1186.88,4678.18,5375.7,6805.91,5769.09,232.656,234.481,828.852,1010.45,848.215,7894.34,8116.72,15517.7,56473.1
