seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,1833.95,4046.2,3252.09,2416.78,1952.23,1727.58,1358.11,1252.26,950.088,804.087,610.412,482.573,1940.08,3104.21,2602.53,2654.97,144.054,98.5317,223.122,325.355,266.2,2427.62,2561.62,5881.45,18875.3
1050,1781.17,4303.96,3276.69,2395.5,2040.75,1721.24,1401.61,1109.21,1000.07,785.457,592.448,467.448,2136.22,2666.58,2816.55,2938.26,110.662,130.059,182.727,361.877,212.755,1642.56,2489.31,5433.7,22340.8
456,1792.5,4302.99,3244.78,2257.63,1976.7,1767.67,1346.28,1164.04,932.405,810.339,602.716,518.685,2414.63,2800.76,2536.7,2558.37,112.052,120.957,262.881,383.829,199.347,2410.45,1946.07,5051.28,22738.8
841,1826.57,4236.95,3354.37,2387.92,1998.84,1744.86,1387.79,1109.91,920.858,786.513,691.283,566.683,2620.01,3146.05,2418.81,2307.12,129.938,113.585,224.902,406.902,177.573,2260.67,1829.41,4570.78,22292.9
838,1903.6,4246.02,3279.98,2420.03,2042.85,1719.75,1231.61,1072.69,973.447,743.801,573.501,564.725,2964.45,2768.53,3059.28,2938.15,166.272,126.598,245.246,327.364,175.717,2328.44,2461.73,4120.66,18474
757,1866.95,4299.81,3284.87,2354.07,1916.06,1764.14,1500.27,1160.37,904.557,825.072,550.281,514.408,2803.18,3166.74,3345.71,2362.63,137.003,129.975,259.23,364.877,218.321,1740.34,2471.59,5941.77,24437.9
78,1919.97,4347.92,3204.46,2434,2069.71,1664.08,1374.52,1129.75,981.164,740.003,583.663,507.571,2495.86,2336.17,2503.16,2434.54,123.966,109.652,250.742,384.121,168.902,2280.88,2176.96,4041.69,19391.4
262,1753.88,4299.41,3177.84,2223.72,1949.9,1652.09,1389.67,1053.82,909.632,745.967,549.877,515.993,2305.58,3072.33,3019.25,2816,114.787,161.413,196.228,402.788,244.714,2343.58,2224.5,5241.29,23175.3
1124,1813.38,4104.49,3162.28,2394.39,2186.17,1712.45,1430.07,1131.67,966.679,769.874,621.792,551.369,2092.12,2224.21,2618.06,2316.47,147.563,160.126,228.366,473.208,188.827,2262.47,2323.77,4243.6,23089.5
378,1852.47,4146.42,3295.11,2256.64,2256.64,1762.09,1468.77,1120.36,926.721,708.046,663.712,514.64,3288.09,2842.01,2781.51,3168.24,130.877,138.513,219.407,367.27,188.98,2490.2,2291.4,5621.65,25192.4
