seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,40134.8,43486.1,42896.6,42472.1,42282.7,41966,41229.2,39864.5,37803.6,35105.7,31937.9,28533.4,151105,40808.9,11165.7,2913.23,971.939,54.7333,3.76115,0.157316,0.00641855,0.000230068,1.06756e-05,1.07891e-06,1.35571e-07
1050,40498.7,43720.2,43214.4,42864.6,42698,42363,41580.1,40153.3,38021.5,35250.1,32010.8,28540.3,150953,39244.8,10241.8,2489.85,730.493,34.2436,1.92632,0.0701765,0.00262676,0.000102409,1.14996e-05,2.07546e-06,2.85176e-07
456,39602.7,43319.5,42978.2,42687,42565,42276.6,41542.7,40162.2,38071.3,35332.8,32117,28659.9,151462,39625.1,10399.7,2550.54,759.937,36.0666,2.07064,0.0767707,0.0028824,0.000102921,7.69094e-06,1.22636e-06,1.68718e-07
841,40431.1,43682.2,43122.8,42729.9,42542.7,42201.9,41423,40005.6,37887.7,35134.3,31916.3,28469.1,151498,39594.1,10408.3,2555.92,763.758,36.5192,2.11378,0.0790844,0.00300466,0.000112066,1.00434e-05,1.68747e-06,2.31029e-07
838,40307.6,43579,43071.7,42707.1,42530,42193.1,41418.1,40008.4,37902.2,35162.5,31957.7,28520.8,152388,39942,10465.9,2550.48,747.916,34.1507,1.86075,0.0659478,0.00244498,9.62974e-05,1.16985e-05,2.20381e-06,3.06768e-07
757,40559.9,43790.9,43217.3,42815.4,42623.4,42283.8,41508.9,40098.8,37988.2,35239.1,32021.1,28569.3,150820,39843.8,10568.8,2629.47,803.703,39.5087,2.3611,0.089476,0.00342736,0.000119323,6.34738e-06,7.88522e-07,1.04909e-07
78,40762.6,43800.1,43285.3,42908.8,42685.7,42286.4,41445.4,39976.2,37820.6,35043,31812.4,28360.8,152429,39601.8,10231.4,2436.01,682.898,28.4126,1.36052,0.0430543,0.00148566,6.03526e-05,9.03381e-06,1.77288e-06,2.4747e-07
262,39544.3,43241.3,42829.6,42490.3,42351.1,42070.1,41360.7,40017.1,37970.4,35278.7,32108.5,28693,151295,40628.8,11031.2,2847.09,930.994,51.0751,3.41338,0.139939,0.00561695,0.000200075,9.82013e-06,1.09575e-06,1.41892e-07
1124,39395.1,43243.8,42988.6,42729.2,42612.3,42320.5,41582.7,40202.7,38117.2,35387.7,32182.2,28734,151500,39725.4,10465.2,2585.86,781.369,37.7819,2.20789,0.0826477,0.0031324,0.000114193,9.65989e-06,1.67965e-06,2.35209e-07
378,40039.5,43510.5,42955.4,42539.7,42352,42031.9,41286.9,39909.6,37833.8,35121.3,31941.3,28527.8,150283,40442.9,11090.5,2915.8,989.711,57.1435,4.03276,0.17221,0.00708262,0.000253703,1.10827e-05,1.00454e-06,1.22103e-07
