seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,36298.9,39825.7,39806.6,39879.4,40162.9,40430.1,40522.4,40336.2,39846.3,39084,38121.6,37054,434584,353710,321634,302333,1.06525e+06,1.04406e+06,1.13905e+06,1.02227e+06,1.09624e+06,896692,622970,433919,487010
1050,37742.2,41202.7,41207.6,41310.4,41590,41814.7,41826.1,41523.3,40886,39953.8,38810.3,37562.8,491342,397131,360934,338845,977744,955374,804491,732440,782610,628174,427902,295881,332035
456,36972.8,40901.2,41066.1,41230.9,41557.9,41830,41890.4,41634.5,41040.8,40147.5,39037.3,37816.8,436693,353203,321236,301978,1.1701e+06,1.14519e+06,857789,777536,833646,672803,462931,321391,360750
841,37940,41465.9,41436.9,41515.2,41791.4,42026.7,42058.9,41783.3,41178.4,40282.8,39178.4,37970.5,455634,367060,332713,311710,1.14969e+06,1.12402e+06,962575,873276,936073,747914,507769,350028,392710
838,37487.9,40998.1,41011.9,41108.8,41384.1,41610.8,41632.6,41348.2,40736.5,39834.6,38723.3,37506.4,456748,366939,331466,309764,1.07618e+06,1.05243e+06,838299,752686,809435,649132,441325,303733,340706
757,37471.9,40922.4,40872.4,40928.6,41181.1,41396.4,41411.6,41123.3,40507.2,39599,38478.5,37249.9,421305,339297,307082,287581,1.13636e+06,1.11228e+06,904237,808343,870091,704099,483634,334564,375456
78,36999.8,40225.5,40238.6,40325.8,40555.3,40722.8,40687.6,40359.9,39722.1,38811.1,37704.4,36501.7,417762,335332,303041,283544,1.1011e+06,1.07861e+06,1.27603e+06,1.1382e+06,1.22667e+06,982491,665823,456806,512250
262,36213.6,40086.6,40220,40365.8,40694.5,40993.3,41106.8,40931.6,40442.5,39670.9,38690.3,37597.5,438265,356686,325045,306207,1.07666e+06,1.05488e+06,1.00716e+06,909054,972622,798090,557484,390014,437900
1124,37716.2,41862.1,42107.9,42305.3,42644.6,42917.7,42969.1,42694.4,42071.9,41140.8,39985.7,38716.5,444925,361286,329717,310806,1.06666e+06,1.0443e+06,850237,769576,823293,672308,467527,326395,366452
378,37646.5,41407.7,41409.3,41489.3,41785,42058.3,42142.1,41926.5,41386.3,40556.7,39516.7,38368.8,428220,348844,318041,299516,1.11676e+06,1.09379e+06,972765,878015,940172,769903,537129,375519,421623
