seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 11389.6, 13233.9, 8954.29, 5837.11, 4980.41, 3668.46, 2620.62, 2736.85, 2086.22, 1897.79, 1555.17, 1039.16, 4687.52, 4147.97, 5902.49, 5853.26, 304.539, 211.568, 913.157, 1105.97, 825.808, 5371.48, 6474.55, 15670.7, 64533.7
1082, 10675.5, 13190.7, 9030.83, 5795.24, 4899.13, 3705.59, 2909.9, 2568.33, 1966.17, 1702.35, 1521.1, 1061.28, 4695.76, 4573.47, 5035.55, 6079.71, 240.118, 281.937, 903.881, 1022.04, 780.202, 6234.45, 7222.21, 16375.5, 86355.5
168, 11550.8, 13116.7, 9055.42, 5746.67, 4843.6, 3696.83, 2844.47, 2724.62, 2046.72, 1794.44, 1603.3, 1055.56, 5695.58, 6034.66, 4903.35, 5350.95, 218.921, 230.967, 838.714, 785.603, 884.146, 5361.59, 5592.91, 16390.1, 57197.5
143, 11081.5, 13388, 8995.71, 5898.06, 5006.63, 3592.32, 2793.49, 2549.53, 2014.91, 1936.14, 1528.45, 1077.31, 5053.27, 4809.97, 4938.22, 4488.91, 208.801, 266.965, 1011.58, 897.485, 746.983, 5481.97, 4736.05, 16163.3, 52077.1
182, 11227.3, 13435.7, 8977.94, 6029.41, 4923.47, 3623.3, 2987.15, 2804.39, 2141.32, 1887.64, 1521.47, 1108.87, 4432.07, 5937.55, 5301.96, 5307.66, 231.998, 261.613, 863.38, 873.528, 569.703, 7213.64, 6277.99, 15025.8, 65196.5
482, 11218.9, 13231.8, 8778.87, 5826.57, 4955.56, 3571.83, 2928.22, 2616.21, 2090.01, 1865.54, 1579.05, 1138.87, 4954.8, 4832.1, 5053.93, 6500.76, 294.819, 246.379, 901.29, 911.36, 834.932, 6442.1, 7022.66, 15394.2, 63165.8
87, 11017.7, 13189.9, 9070.81, 5937.08, 4938.65, 3675.62, 2823.07, 2643.45, 2075.76, 1812.76, 1569.64, 1085.18, 5477.06, 4517.88, 4585.28, 5805.35, 201.584, 216.798, 797.046, 691.988, 912.068, 4437.42, 6683.2, 14470.6, 55387.2
766, 10870.6, 13158.3, 9001.55, 5875.7, 4949.59, 3737.36, 2898.02, 2760.38, 2172.09, 1746.26, 1689.98, 1092.91, 5248, 5196.18, 5104.76, 5921.21, 321.643, 323.628, 916.088, 1136.65, 761.776, 7368.1, 6361.25, 18213.2, 72285.8
774, 11640.6, 13194.1, 9046.09, 5953.39, 4878.8, 3810.77, 2875.45, 2645.35, 2145.96, 1822.54, 1550.01, 1022.3, 4650, 4675.96, 5400.88, 4857.48, 223.682, 280.999, 724.973, 767.017, 631.318, 6345.29, 7031.8, 13231.7, 53759.3
229, 11015.7, 13182.1, 8868.31, 5790.46, 4980.7, 3648.67, 2846.01, 2735.39, 2224.24, 1810.29, 1578.87, 1149.21, 5932.04, 4634.96, 4795.41, 5813.45, 391.966, 330.859, 1029.91, 1035.1, 844.451, 5927.57, 6315.54, 14846.3, 76329.8
733, 11226, 13270.1, 9011.14, 5933.72, 4944.95, 3563.51, 2917.82, 2697.09, 1972.64, 1822.26, 1607.47, 1083.26, 6100.42, 4884.81, 5963.51, 4120.33, 288.895, 239.181, 752.121, 872.539, 900.97, 6892.63, 7128.05, 14252.7, 69957.7
814, 11068.5, 13410.1, 9035.65, 5823.29, 4954.55, 3632.1, 2886.42, 2676.63, 2162, 1852.57, 1476.76, 1097.9, 5316.81, 5565.98, 4785.41, 4914.49, 293.474, 284.08, 779.721, 1262.29, 774.566, 6560.59, 6736.44, 18142.5, 73381
1112, 11380.1, 13565.2, 9044.34, 6155.41, 4926.36, 3782.48, 2963.79, 2745.38, 2037.05, 1868.69, 1522.82, 1073.52, 6088.68, 5723.23, 5255.11, 6466.52, 236.792, 296.298, 906.576, 1120.66, 1088.48, 7001.36, 6084.74, 16275.7, 77959.3
547, 11289, 13217, 9148.62, 5835.12, 4950.57, 3809.88, 2810.34, 2572.04, 2070.02, 1748.26, 1537.72, 1046.82, 4606.82, 5503.45, 4621.15, 4474.59, 317.769, 278.118, 807.38, 796.002, 883.767, 7123.04, 5669.34, 14289.8, 74570.9
845, 11004.2, 13052.3, 8919.96, 5846.18, 4952.96, 3668.19, 3069.58, 2740.32, 2157.76, 1811.91, 1628.31, 1067.61, 6039.89, 6063.58, 5807.35, 4902.18, 243.337, 237.187, 776.323, 791.733, 774.184, 6700.07, 7251.15, 14587.3, 75032.4
249, 11091.7, 12917.8, 8808.09, 5728.11, 5043.13, 3564.96, 2813.49, 2651.73, 2174.02, 1830.66, 1571.36, 1118.52, 4696.41, 5311.73, 5102.23, 5605.78, 283.683, 287.965, 1006.16, 821.256, 915.973, 5643.41, 6813.99, 16909.5, 72558
711, 10710.4, 13366.1, 8870.97, 5994.71, 4788.66, 3624.66, 2870.16, 2654.4, 2101.24, 1802.61, 1584.88, 1067.78, 5864.06, 5748.76, 5101.73, 5205.85, 253.269, 243.716, 741.376, 849.192, 932.096, 7433.38, 7090.71, 16581.5, 71939.9
455, 10793, 13155.7, 8926.5, 5937.32, 4974.16, 3681.84, 2906.34, 2580.35, 2075.21, 1837.13, 1564.87, 1002.16, 4669.74, 4749.64, 5248.23, 5344.65, 282.884, 250.374, 742.789, 948.469, 699.981, 6189.61, 6575.73, 19870.5, 70513.6
379, 11335.5, 13198, 8890.28, 5829.7, 4987.21, 3466.12, 2894.57, 2638.37, 2156.68, 1699.12, 1549.74, 1064.99, 4571.1, 5256.94, 4352.98, 4721.07, 244.06, 304.753, 866.844, 1035.82, 674.431, 5797.48, 8402.34, 18949, 64944.2
116, 11322.2, 13321, 9133.93, 5854.82, 4926.4, 3757.93, 2880.01, 2581.53, 2102.24, 1726.51, 1535.66, 1095.42, 5472.56, 5628.34, 5842.44, 5596.73, 317.426, 267.632, 971.884, 911.321, 842.761, 6988.06, 7336.67, 15875.1, 57177.3
309, 11266, 13466.7, 9038.72, 5997.48, 4940.42, 3680.65, 2767.24, 2702.87, 2199.82, 1827.52, 1547.96, 1097.13, 5789.26, 4456.76, 5635.43, 5007.53, 294.94, 344.539, 960.617, 1218.09, 910.586, 7754.12, 6767.85, 19662.5, 65004.3
412, 10976.6, 12942, 9127.21, 5869.51, 4835.63, 3856.48, 2937.12, 2700.85, 2103.36, 1873.11, 1598.69, 1087.34, 5643.76, 5385.9, 5704.76, 5675.84, 218.245, 259.676, 803.891, 875.16, 789.78, 7798.97, 7373.7, 18129.6, 64801.2
1147, 11111.5, 13092.7, 8861.46, 5757.22, 5007.73, 3717.61, 2892.5, 2662.29, 2075.6, 1792.16, 1504.19, 1069.35, 5457.92, 4867, 7030.22, 5221.28, 211.023, 250.543, 874.754, 858.157, 703.461, 5212.88, 6563.11, 17470.7, 59639
878, 10864.3, 13399.9, 9136.82, 6031.33, 5118.14, 3677.68, 2876.4, 2646.93, 2012.46, 1770.5, 1622.58, 1125.76, 5304.88, 5526.55, 4625.66, 4489.64, 276.177, 283.525, 862.442, 983.825, 821.636, 6739.38, 7596.16, 12237.9, 58873
905, 11208.4, 13433.1, 8858.23, 5801.64, 4833.87, 3743.49, 2769.09, 2734.88, 2126.74, 1808.87, 1661.33, 1155.9, 4621.33, 5267.28, 5863.01, 5666.62, 264.098, 246.582, 831.866, 721.677, 953.45, 6583.32, 7227.68, 14136.8, 72586.7
838, 11499.7, 13395.9, 8848.09, 5809.6, 4884.21, 3694.56, 2619.36, 2548.03, 2150.68, 1740.86, 1532.66, 1147.97, 5969.89, 5560.59, 6131.33, 5881.11, 332.561, 253.195, 980.979, 818.395, 702.86, 6988.06, 7387.14, 12416.5, 55353.2
964, 11132.8, 13383.9, 8970.17, 5828.94, 4788.08, 3681.54, 2915.19, 2618.98, 2094.32, 1935.87, 1592.19, 1114.04, 5643.35, 5616.93, 5325.65, 5091.51, 282.505, 315.476, 826.093, 851.163, 1021.75, 7220.09, 7208.58, 17410.1, 68024.5
596, 10837.5, 12919.8, 9053.75, 6007.98, 4843, 3642.12, 2830.15, 2648.24, 2048.5, 1743.52, 1584.78, 1057.79, 5670.89, 5768.78, 6155.5, 5225.52, 253.276, 266.983, 807.688, 894.558, 802.339, 7279.38, 6202.88, 15342.4, 58171
995, 11271.1, 13318.7, 8914.72, 5750.16, 4848.61, 3650.94, 2981.71, 2616.83, 2033.91, 1869.82, 1543.89, 1070.59, 4879.1, 5219.33, 5366.48, 5546.96, 245.819, 235.808, 1037.02, 1096.14, 1032.72, 7425.15, 6269.11, 17593.1, 62543.5
503, 11426.6, 13311, 9121.83, 5928.04, 5014.82, 3704.22, 2965, 2557.18, 2128.18, 1873.49, 1583.63, 1022.75, 4416.33, 5946.12, 5563.54, 5048.73, 291.689, 261.64, 875.984, 1089.69, 600.228, 7007.21, 6915.19, 14283, 63520.4
662, 11201, 12973.3, 8746.7, 5755.01, 5069.14, 3705.97, 2756.61, 2644.4, 2195.09, 1842.3, 1544.28, 1044.79, 5502.53, 4103.79, 5961.73, 6028.9, 302.289, 292.104, 812.919, 967.44, 810.293, 6319.79, 7682.89, 12297.6, 53904
1126, 10661.2, 12692.1, 9019.83, 5911.98, 5052.88, 3587.41, 2900.89, 2659.02, 2088.27, 1740.55, 1608.15, 1064.21, 5488.44, 3970.99, 4180.78, 4751.17, 303.466, 300.856, 825.755, 754.998, 796.122, 6502.12, 8214.09, 19154.3, 74348.5
737, 11306.7, 13524.3, 9020.75, 5874.3, 4874.89, 3811.16, 2777.14, 2662.55, 2105.64, 1820.51, 1595.73, 1036.28, 4767.75, 5044.38, 4811.2, 4936.53, 268.895, 250.849, 752.391, 940.238, 881.382, 6580.1, 8120.87, 16908.3, 70619.1
963, 11606, 13502.9, 8998.06, 5783.86, 4872.82, 3832.66, 2766.54, 2729.4, 2100.57, 1867.38, 1595.38, 1137.35, 5865.41, 5580.28, 6282.02, 5194.93, 257.817, 265.509, 893.476, 969.411, 823.33, 8187.81, 7806.13, 17712.4, 77063.4
598, 10901.1, 13083.6, 9158.18, 5813.84, 4493.6, 3783.24, 2876.04, 2712.89, 2201.24, 1883.96, 1589.25, 1110.94, 4563.89, 5357.58, 5692.7, 5497.87, 248.619, 274.014, 787.866, 798.53, 903.359, 6735.33, 6864.2, 15621.6, 66470.7
1041, 10994.2, 13534.5, 9186.21, 5938.96, 5007.74, 3693.76, 2965.05, 2635, 2056.38, 1849.95, 1498.99, 1036.6, 5019.57, 5408.27, 4981.72, 5854.13, 285.488, 224.239, 824.279, 921.271, 898.54, 6167.21, 6939.94, 15981.6, 56148.2
285, 11512.4, 13205.4, 9148.92, 5900.69, 4931.11, 3651.98, 2830.73, 2568.18, 2117.64, 1802.51, 1612.64, 1072.16, 5138.34, 5432.31, 5447.54, 5973.51, 338.631, 238.928, 952.735, 952.868, 890.912, 6107.7, 6973.21, 15618.5, 74632.7
884, 11535.7, 13247, 8880.86, 5735.31, 4842.64, 3640.28, 2801.64, 2655.63, 2091.05, 1697.71, 1541.48, 1056.33, 5012.73, 5991.26, 5358.78, 6161.57, 241.589, 304.631, 943.135, 738.965, 775.42, 5859.56, 7360.09, 14644.2, 67369.4
805, 11093.1, 13373.9, 9127.52, 5969.2, 4913.84, 3705.18, 2936.44, 2658.24, 2107.35, 1830.56, 1525.71, 1100.51, 5514.99, 5024.42, 4897.54, 5667.39, 266.962, 251.122, 824.56, 790.194, 848.692, 5295.55, 7164.57, 14829, 62491
693, 11190.1, 13177.2, 9098.85, 6036.95, 5046.76, 3776.52, 2868.52, 2685.43, 2041.04, 1835.76, 1527.68, 1146.07, 5353.24, 5543.23, 5049.45, 6006.17, 323.334, 228.796, 883.479, 927.745, 748.937, 6175.98, 5915.71, 16119, 57128.4
