seed, Total Cost T
304, 223610
1082, 223610
168, 223610
143, 223610
182, 223610
482, 223610
87, 223610
766, 223610
774, 223610
229, 223610
733, 223610
814, 223610
1112, 223610
547, 223610
845, 223610
249, 223610
711, 223610
455, 223610
379, 223610
116, 223610
309, 223610
412, 223610
1147, 223610
878, 223610
905, 223610
838, 223610
964, 223610
596, 223610
995, 223610
503, 223610
662, 223610
1126, 223610
737, 223610
963, 223610
598, 223610
1041, 223610
285, 223610
884, 223610
805, 223610
693, 223610
613, 223610
648, 223610
349, 223610
265, 223610
16, 223610
56, 223610
671, 223610
106, 223610
756, 223610
644, 223610
150, 223610
727, 223610
1067, 223610
1209, 223610
323, 223610
1235, 223610
266, 223610
607, 223610
1015, 223610
1106, 223610
593, 223610
958, 223610
698, 223610
880, 223610
27, 223610
1138, 223610
198, 223610
972, 223610
747, 223610
346, 223610
225, 223610
465, 223610
53, 223610
792, 223610
811, 223610
977, 223610
1132, 223610
33, 223610
870, 223610
459, 223610
702, 223610
427, 223610
145, 223610
237, 223610
446, 223610
169, 223610
236, 223610
796, 223610
410, 223610
131, 223610
219, 223610
687, 223610
49, 223610
591, 223610
79, 223610
750, 223610
63, 223610
919, 223610
650, 223610
1065, 223610
926, 223610
90, 223610
790, 223610
1046, 223610
373, 223610
57, 223610
1085, 223610
1170, 223610
1062, 223610
826, 223610
569, 223610
207, 223610
798, 223610
165, 223610
88, 223610
6, 223610
495, 223610
538, 223610
959, 223610
941, 223610
1146, 223610
934, 223610
1119, 223610
1044, 223610
655, 223610
897, 223610
555, 223610
257, 223610
385, 223610
404, 223610
848, 223610
902, 223610
82, 223610
1130, 223610
1108, 223610
895, 223610
1011, 223610
303, 223610
438, 223610
968, 223610
557, 223610
1070, 223610
1094, 223610
911, 223610
1133, 223610
36, 223610
109, 223610
355, 223610
661, 223610
1023, 223610
122, 223610
509, 223610
499, 223610
378, 223610
1128, 223610
562, 223610
476, 223610
833, 223610
1110, 223610
1022, 223610
392, 223610
1031, 223610
248, 223610
35, 223610
570, 223610
1210, 223610
525, 223610
994, 223610
1071, 223610
533, 223610
639, 223610
595, 223610
974, 223610
652, 223610
0, 223610
330, 223610
208, 223610
667, 223610
185, 223610
76, 223610
948, 223610
118, 223610
264, 223610
548, 223610
322, 223610
395, 223610
551, 223610
160, 223610
876, 223610
1219, 223610
297, 223610
802, 223610
141, 223610
231, 223610
295, 223610
59, 223610
7, 223610
752, 223610
546, 223610
1197, 223610
255, 223610
490, 223610
283, 223610
12, 223610
129, 223610
782, 223610
581, 223610
692, 223610
71, 223610
821, 223610
426, 223610
920, 223610
882, 223610
102, 223610
188, 223610
657, 223610
840, 223610
757, 223610
529, 223610
630, 223610
522, 223610
350, 223610
558, 223610
14, 223610
605, 223610
492, 223610
291, 223610
588, 223610
135, 223610
1123, 223610
1233, 223610
252, 223610
220, 223610
918, 223610
171, 223610
1215, 223610
91, 223610
5, 223610
296, 223610
1086, 223610
61, 223610
571, 223610
510, 223610
307, 223610
383, 223610
475, 223610
925, 223610
993, 223610
651, 223610
1043, 223610
1212, 223610
786, 223610
606, 223610
886, 223610
957, 223610
263, 223610
763, 223610
1056, 223610
809, 223610
443, 223610
338, 223610
26, 223610
1154, 223610
407, 223610
632, 223610
177, 223610
691, 223610
247, 223610
352, 223610
784, 223610
1017, 223610
631, 223610
320, 223610
770, 223610
1188, 223610
452, 223610
1129, 223610
512, 223610
1109, 223610
715, 223610
780, 223610
933, 223610
991, 223610
365, 223610
484, 223610
227, 223610
251, 223610
445, 223610
611, 223610
701, 223610
653, 223610
697, 223610
755, 223610
1036, 223610
94, 223610
846, 223610
235, 223610
113, 223610
66, 223610
975, 223610
997, 223610
396, 223610
327, 223610
10, 223610
300, 223610
226, 223610
1180, 223610
163, 223610
1117, 223610
666, 223610
273, 223610
183, 223610
1020, 223610
310, 223610
95, 223610
1054, 223610
202, 223610
638, 223610
709, 223610
996, 223610
39, 223610
764, 223610
708, 223610
1168, 223610
184, 223610
241, 223610
431, 223610
147, 223610
642, 223610
1200, 223610
312, 223610
17, 223610
640, 223610
1014, 223610
158, 223610
380, 223610
319, 223610
791, 223610
1232, 223610
734, 223610
318, 223610
628, 223610
815, 223610
504, 223610
224, 223610
965, 223610
374, 223610
301, 223610
164, 223610
125, 223610
556, 223610
1006, 223610
429, 223610
992, 223610
337, 223610
1089, 223610
74, 223610
935, 223610
539, 223610
754, 223610
428, 223610
1157, 223610
13, 223610
1246, 223610
342, 223610
1081, 223610
483, 223610
299, 223610
175, 223610
1238, 223610
434, 223610
111, 223610
47, 223610
760, 223610
1173, 223610
409, 223610
844, 223610
1206, 223610
321, 223610
1051, 223610
850, 223610
284, 223610
527, 223610
441, 223610
413, 223610
1093, 223610
382, 223610
140, 223610
620, 223610
1009, 223610
269, 223610
1136, 223610
1214, 223610
170, 223610
1042, 223610
726, 223610
1152, 223610
955, 223610
1198, 223610
401, 223610
45, 223610
403, 223610
1040, 223610
1007, 223610
690, 223610
610, 223610
136, 223610
83, 223610
679, 223610
240, 223610
1145, 223610
629, 223610
616, 223610
717, 223610
635, 223610
9, 223610
1217, 223610
89, 223610
228, 223610
120, 223610
929, 223610
479, 223610
363, 223610
281, 223610
867, 223610
181, 223610
1165, 223610
142, 223610
721, 223610
423, 223610
473, 223610
282, 223610
609, 223610
864, 223610
913, 223610
1201, 223610
1240, 223610
1103, 223610
950, 223610
1189, 223610
917, 223610
847, 223610
930, 223610
1153, 223610
471, 223610
334, 223610
486, 223610
279, 223610
81, 223610
341, 223610
985, 223610
508, 223610
1156, 223610
800, 223610
769, 223610
1029, 223610
127, 223610
55, 223610
1193, 223610
340, 223610
827, 223610
1037, 223610
388, 223610
1068, 223610
743, 223610
912, 223610
940, 223610
1005, 223610
213, 223610
1236, 223610
633, 223610
326, 223610
397, 223610
1114, 223610
174, 223610
343, 223610
419, 223610
501, 223610
245, 223610
149, 223610
682, 223610
288, 223610
497, 223610
627, 223610
317, 223610
485, 223610
554, 223610
204, 223610
398, 223610
818, 223610
874, 223610
420, 223610
167, 223610
1166, 223610
242, 223610
804, 223610
952, 223610
408, 223610
73, 223610
313, 223610
822, 223610
315, 223610
246, 223610
1018, 223610
789, 223610
78, 223610
889, 223610
1047, 223610
777, 223610
659, 223610
704, 223610
454, 223610
1167, 223610
356, 223610
1104, 223610
402, 223610
387, 223610
1186, 223610
114, 223610
457, 223610
696, 223610
1164, 223610
112, 223610
980, 223610
887, 223610
576, 223610
634, 223610
133, 223610
675, 223610
857, 223610
686, 223610
15, 223610
293, 223610
853, 223610
981, 223610
1028, 223610
849, 223610
161, 223610
32, 223610
615, 223610
739, 223610
1091, 223610
1008, 223610
863, 223610
1231, 223610
660, 223610
186, 223610
795, 223610
1100, 223610
316, 223610
706, 223610
1150, 223610
194, 223610
656, 223610
900, 223610
84, 223610
520, 223610
369, 223610
820, 223610
381, 223610
560, 223610
861, 223610
761, 223610
625, 223610
665, 223610
528, 223610
530, 223610
481, 223610
138, 223610
967, 223610
723, 223610
579, 223610
335, 223610
890, 223610
944, 223610
549, 223610
1175, 223610
359, 223610
817, 223610
731, 223610
178, 223610
11, 223610
852, 223610
1003, 223610
564, 223610
732, 223610
250, 223610
191, 223610
649, 223610
909, 223610
1083, 223610
368, 223610
1000, 223610
19, 223610
535, 223610
962, 223610
199, 223610
683, 223610
386, 223610
308, 223610
841, 223610
212, 223610
916, 223610
1228, 223610
1187, 223610
623, 223610
478, 223610
1049, 223610
824, 223610
871, 223610
1063, 223610
1194, 223610
694, 223610
1024, 223610
542, 223610
1050, 223610
262, 223610
195, 223610
600, 223610
966, 223610
37, 223610
544, 223610
714, 223610
498, 223610
883, 223610
193, 223610
608, 223610
197, 223610
771, 223610
808, 223610
48, 223610
1241, 223610
1174, 223610
1234, 223610
23, 223610
348, 223610
469, 223610
858, 223610
603, 223610
1237, 223610
1002, 223610
953, 223610
21, 223610
1181, 223610
707, 223610
496, 223610
1098, 223610
829, 223610
405, 223610
1204, 223610
31, 223610
646, 223610
928, 223610
253, 223610
289, 223610
154, 223610
830, 223610
1078, 223610
987, 223610
271, 223610
969, 223610
107, 223610
258, 223610
44, 223610
881, 223610
1025, 223610
86, 223610
574, 223610
594, 223610
223, 223610
1199, 223610
406, 223610
132, 223610
855, 223610
1211, 223610
839, 223610
636, 223610
746, 223610
859, 223610
417, 223610
819, 223610
537, 223610
1141, 223610
781, 223610
103, 223610
500, 223610
1075, 223610
506, 223610
1243, 223610
901, 223610
372, 223610
956, 223610
360, 223610
384, 223610
945, 223610
1205, 223610
524, 223610
885, 223610
1069, 223610
812, 223610
1, 223610
563, 223610
768, 223610
513, 223610
813, 223610
153, 223610
1184, 223610
1247, 223610
58, 223610
156, 223610
463, 223610
673, 223610
1202, 223610
1102, 223610
1185, 223610
421, 223610
1107, 223610
725, 223610
1048, 223610
767, 223610
835, 223610
577, 223610
678, 223610
1120, 223610
515, 223610
932, 223610
1088, 223610
477, 223610
1176, 223610
931, 223610
97, 223610
730, 223610
1245, 223610
172, 223610
751, 223610
1134, 223610
741, 223610
1135, 223610
1076, 223610
1016, 223610
677, 223610
689, 223610
298, 223610
180, 223610
176, 223610
572, 223610
75, 223610
785, 223610
1142, 223610
336, 223610
41, 223610
230, 223610
389, 223610
971, 223610
391, 223610
437, 223610
587, 223610
1012, 223610
1074, 223610
1224, 223610
585, 223610
460, 223610
345, 223610
215, 223610
736, 223610
137, 223610
668, 223610
433, 223610
260, 223610
561, 223610
748, 223610
617, 223610
762, 223610
491, 223610
1090, 223610
578, 223610
904, 223610
1035, 223610
801, 223610
787, 223610
898, 223610
267, 223610
976, 223610
580, 223610
487, 223610
1190, 223610
1079, 223610
803, 223610
1244, 223610
583, 223610
411, 223610
115, 223610
99, 223610
196, 223610
166, 223610
540, 223610
832, 223610
272, 223610
280, 223610
866, 223610
104, 223610
970, 223610
302, 223610
1222, 223610
