seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 1.57663, 1.62663, 1.31184, 1.13833, 1.24143, 1.30098, 0.366225, 0.407669, 0.403515, 0.392598, 0.382777, 0.372058, 4.32972, 4.36251, 4.33536, 4.42451, 6.0447, 7.27896, 63.754, 22.7583, 14.7485, 143.04, 334.774, 197.502, 2673.05
1082, 2.30255, 1.58477, 1.24124, 1.17704, 1.17042, 1.15693, 0.365755, 0.408515, 0.403348, 0.391845, 0.381378, 0.370065, 4.27724, 4.32667, 4.33575, 4.45256, 83.1141, 39.524, 9.18292, 70.3339, 78.2521, 117.509, 139.51, 407.921, 3637.21
168, 2.17807, 2.00632, 1.24784, 1.2151, 1.27921, 1.17394, 0.36383, 0.406359, 0.400218, 0.389628, 0.379096, 0.367481, 4.31691, 4.30676, 4.25906, 4.32908, 11.6384, 6.94753, 74.5192, 7.89607, 22.0751, 333.235, 330.632, 391.475, 2232.34
143, 1.94175, 1.97626, 1.30896, 1.21939, 1.22783, 1.25223, 0.365568, 0.408406, 0.400552, 0.390128, 0.37933, 0.367598, 4.3259, 4.32783, 4.29058, 4.37074, 9.64471, 21.6145, 17.53, 11.9597, 2.77264, 376.688, 173.981, 266.932, 2617.88
182, 1.65774, 1.48283, 1.22818, 1.1603, 1.22466, 1.27572, 0.366568, 0.407101, 0.402128, 0.391357, 0.380979, 0.369559, 4.31568, 4.33248, 4.29629, 4.37595, 14.6027, 27.6324, 18.5126, 12.6137, 25.6077, 430.972, 105.66, 382.868, 2809.43
482, 1.57347, 1.37153, 1.26114, 1.25265, 1.12441, 1.18683, 0.368684, 0.408495, 0.405382, 0.39303, 0.382974, 0.371706, 4.31009, 4.36331, 4.36447, 4.47576, 2.48011, 5.43344, 32.8696, 27.4788, 14.9816, 126.967, 150.58, 596.149, 5924.24
87, 1.6745, 2.1352, 1.31679, 1.25476, 1.28272, 1.23948, 0.366804, 0.408277, 0.40203, 0.391453, 0.381093, 0.369715, 4.30628, 4.31068, 4.28134, 4.37334, 46.7123, 19.9591, 31.2723, 39.3139, 7.33029, 92.8953, 173.849, 273.306, 783.242
766, 1.59232, 2.00247, 1.29449, 1.18895, 1.18291, 1.17486, 0.367868, 0.411443, 0.403933, 0.391754, 0.381316, 0.369756, 4.27045, 4.32379, 4.31217, 4.41127, 121.373, 10.0158, 20.7348, 33.6798, 20.6392, 206.021, 450.586, 170.378, 3442.52
774, 1.6925, 1.66954, 1.32117, 1.18461, 1.26493, 1.17389, 0.365975, 0.407549, 0.402367, 0.390714, 0.380318, 0.368795, 4.26673, 4.27264, 4.23803, 4.3187, 9.75649, 6.51671, 30.4094, 10.5495, 43.7838, 302.319, 234.296, 189.411, 3834.73
229, 2.0657, 1.76983, 1.28983, 1.14664, 1.14176, 1.17721, 0.364302, 0.407227, 0.402277, 0.392211, 0.382339, 0.371267, 4.33066, 4.36377, 4.34087, 4.43469, 8.34967, 6.94849, 11.4529, 20.6036, 5.80679, 132.159, 165.184, 206.588, 2630.9
733, 1.46791, 2.01383, 1.26073, 1.22276, 1.2187, 1.3037, 0.365425, 0.410632, 0.40452, 0.393267, 0.383478, 0.372614, 4.30245, 4.3594, 4.35156, 4.45387, 129.769, 5.3938, 11.0504, 4.1226, 56.8997, 287.857, 437.548, 140.434, 2624.44
814, 1.98053, 2.16146, 1.22507, 1.25922, 1.22335, 1.18834, 0.365659, 0.408836, 0.403368, 0.392516, 0.382537, 0.371368, 4.29146, 4.30888, 4.28571, 4.37471, 12.9859, 21.3732, 5.75008, 7.88384, 4.53076, 144.853, 505.155, 282.437, 2358.12
1112, 2.24626, 2.34414, 1.3895, 1.259, 1.21661, 1.22601, 0.366715, 0.410216, 0.404762, 0.392824, 0.382601, 0.371588, 4.28635, 4.34789, 4.34648, 4.45442, 100.98, 11.1938, 13.1135, 9.31202, 21.8261, 204.286, 464.189, 108.614, 4402.73
