seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,2.19086,2.21082,1.19142,1.26332,1.14741,1.25083,0.367874,0.407851,0.404556,0.395038,0.385832,0.375466,4.33042,4.39305,4.38344,4.48923,19.8921,2.71375,6.12527,44.2936,24.3469,386.029,299.42,491.591,2697.4
1050,1.74914,2.26762,1.44082,1.10564,1.23358,1.13607,0.367578,0.408527,0.404565,0.391217,0.380454,0.36867,4.28412,4.31648,4.30742,4.40601,24.2882,27.5448,33.489,52.9838,26.9927,341.728,88.7151,429.867,2847.4
456,1.8955,1.80625,1.29763,1.16273,1.17263,1.23506,0.366591,0.408812,0.403731,0.392758,0.38246,0.371005,4.28819,4.32209,4.3131,4.41707,19.4731,9.13843,13.9958,94.704,34.9322,336.646,730.417,81.1467,4134.07
841,1.96404,1.66898,1.10782,1.21458,1.19282,1.17192,0.367186,0.407047,0.403017,0.392059,0.381847,0.370506,4.31313,4.33051,4.30764,4.39584,2.57633,36.3226,5.07214,6.70401,12.3439,148.629,272.776,150.92,3665.11
838,1.72054,1.65811,1.27943,1.22565,1.21912,1.24153,0.36536,0.409714,0.403609,0.39099,0.380615,0.369113,4.27273,4.27813,4.24233,4.31857,30.033,9.49744,7.21318,8.95332,4.13516,357.12,434.689,538.816,3790.09
757,1.89214,1.63094,1.27735,1.33128,1.30188,1.23665,0.368637,0.408354,0.401835,0.390903,0.380184,0.368591,4.22314,4.24181,4.21476,4.30122,120.631,16.4236,8.93603,82.733,17.1555,329.989,665.362,181.174,2621.63
78,2.04894,1.80778,1.33586,1.14963,1.27393,1.17114,0.365672,0.407534,0.401864,0.390098,0.379431,0.367597,4.30844,4.31425,4.27829,4.36413,5.89293,8.53214,5.98514,156.607,14.495,133.744,200.273,160.438,1356.35
262,3.00839,2.04246,1.14906,1.16321,1.24434,1.18408,0.366389,0.409103,0.404911,0.395844,0.38661,0.376201,4.3105,4.37345,4.37283,4.48938,20.6752,16.2702,1.67826,2.90408,1.78468,219.208,634.101,105.212,5866.28
1124,2.42925,2.06951,1.16143,1.20785,1.1183,1.13928,0.367912,0.410068,0.402802,0.392298,0.38171,0.370103,4.27603,4.32781,4.334,4.45191,1.67891,0.672709,7.65216,29.2886,26.0581,347.86,143.103,475.598,2569
378,1.40525,1.32292,1.34866,1.22005,1.19181,1.22604,0.36572,0.409992,0.404031,0.394212,0.384646,0.37408,4.30539,4.3715,4.37363,4.48613,1.02018,13.5851,10.6536,78.1486,20.8714,372.261,479.197,808.807,5368.15
