seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 2727.18, 2675.85, 2655.15, 2652.77, 2650.55, 2644.13, 299.092, 278.565, 314.512, 319.641, 332.334, 303.728, 3487.79, 3231.28, 3507.53, 3637.09, 46552, 42632.3, 50747.7, 44997.9, 42122.3, 84243.4, 105873, 144430, 207393
1082, 2667.97, 2647.14, 2643.54, 2645.97, 2642.99, 2642.52, 328.425, 283.906, 312.683, 318.686, 281.094, 307.463, 3449.68, 3679.08, 3287.19, 3729.48, 45482.6, 31148.4, 55556.3, 54203.7, 63375.1, 82491.3, 120752, 128460, 219724
168, 2771.41, 2690.31, 2666.71, 2653.6, 2650.73, 2647.73, 288.791, 288.562, 317.827, 317.928, 318.067, 277.164, 3794.39, 3321.23, 3720.12, 3429.06, 49104.2, 48034.2, 53743.7, 45789.2, 45018.2, 104799, 91968.8, 121829, 201116
143, 2734.51, 2688.78, 2667.73, 2660.52, 2640.72, 2641.05, 298.906, 299.086, 308.42, 291.367, 293.352, 310.201, 3542.17, 3330.62, 3155.31, 3629.46, 34947.2, 34190.4, 53630.8, 51127, 53473, 89808.8, 97478.7, 98633.4, 140341
182, 2743.74, 2689.49, 2672.6, 2658.22, 2653.32, 2641.86, 295.683, 299.832, 327.347, 281.043, 320.383, 290.727, 3434.33, 3698.49, 3408.91, 3416.94, 23665.2, 41656.6, 41104.2, 50084.3, 49535.3, 97637.2, 95019.3, 143514, 157054
482, 2642.34, 2643.12, 2647, 2643.31, 2646.16, 2640.09, 311.882, 296.353, 308.844, 321.707, 319.448, 307.49, 3435.33, 3530.68, 3394.54, 3481.95, 42163.7, 40167.7, 54850.1, 57183.6, 54416.4, 93703.9, 104868, 148076, 189404
87, 2718.12, 2667.02, 2651.55, 2657.49, 2653.06, 2647.89, 317.67, 299.352, 306.583, 299.15, 307.692, 296.055, 3249.49, 3680.05, 3449.94, 3443.18, 45662, 50365.6, 48359.9, 47152.4, 46043.6, 97533.1, 91582.4, 137868, 167045
766, 2687.64, 2666.82, 2647.13, 2649.51, 2655.76, 2647.41, 284.925, 278.655, 319.342, 306.27, 305.006, 301.742, 3399.05, 3307.58, 3978.89, 3262.81, 36946.7, 37448.6, 43701.8, 55881.8, 44357.1, 92790.6, 101445, 114385, 184975
774, 2731.45, 2680.31, 2659.78, 2646.86, 2642.7, 2646.29, 310.881, 283.878, 295.216, 296.76, 301.756, 316.737, 3334.46, 3175.64, 3677.79, 3412.76, 42682, 22769.2, 49328.3, 29042.9, 50151.1, 103131, 102344, 118666, 160843
229, 2692.49, 2657.95, 2651.13, 2642.23, 2645.9, 2644.25, 322.332, 252.803, 306.37, 328.686, 297.376, 307.442, 3309.67, 3763.84, 3391.78, 3576.61, 35608.1, 27806.6, 58955.2, 44173.1, 45044.5, 100678, 105942, 138173, 195978
733, 2676.6, 2663.12, 2648.01, 2649.18, 2650.39, 2644.87, 303.014, 298.945, 300.852, 292.559, 320.976, 290.119, 3599.21, 3314.21, 3693.9, 3403.92, 44944.3, 38972.3, 54913.4, 40208.5, 46055.2, 110187, 75507.8, 145241, 192658
814, 2700.12, 2664.86, 2649.99, 2642.51, 2646.47, 2645.75, 297.323, 296.567, 314.402, 318.015, 321.241, 303.029, 3483.96, 3477.32, 3469.81, 3849.55, 44173.3, 29641.9, 56018.4, 47896.3, 43950.5, 107840, 91341.5, 124756, 145177
1112, 2725.72, 2685.12, 2664.36, 2654.9, 2653.8, 2646.89, 326.455, 286.102, 297.931, 320.713, 311.315, 309.837, 3328.46, 3377.79, 3524.09, 3609.01, 37840, 45357.8, 56239.3, 53072.4, 51495.7, 90199.5, 107855, 119886, 203849
547, 2692.61, 2663.17, 2645.52, 2637.56, 2645.03, 2636.91, 307.685, 305.783, 303.693, 298.402, 291.845, 276.7, 3738.99, 3538.07, 3411.34, 3291.45, 30909.1, 34297.3, 54686.6, 40308.3, 47342.2, 86236.5, 106883, 138279, 170842
845, 2716.91, 2664.52, 2649.38, 2635.23, 2640.21, 2635.7, 291.584, 286.755, 328.385, 287.372, 330.403, 305.126, 3671.56, 3746.22, 3866.07, 3437.74, 40724.8, 25300.9, 56002.5, 51569.4, 55173.2, 109350, 108570, 138740, 199150
249, 2699.25, 2665.24, 2653.36, 2649.66, 2639.8, 2632.09, 320.007, 294.948, 324.214, 280.686, 318.457, 293.778, 3585.11, 3622.85, 3743.34, 3358.38, 37270.8, 39979.6, 42684.7, 50664, 39316.8, 98089.8, 83689.2, 137353, 200495
711, 2689.03, 2663.85, 2646.59, 2645.98, 2638.72, 2633.89, 300.919, 303.104, 308.841, 272.783, 301.978, 283.307, 3635.35, 3448.69, 3300.76, 3678.2, 28818.7, 40355.5, 36665.8, 44748.5, 42285, 95604.6, 82821, 136934, 203974
455, 2660.51, 2646.96, 2651.91, 2642.69, 2646.99, 2645.74, 291.345, 303.198, 296.445, 312.75, 307.144, 287.427, 3436.8, 3540.96, 3525.53, 3336.63, 47978, 51000.3, 47326.7, 56201.6, 57493.2, 101491, 95629.8, 134202, 219215
379, 2722.73, 2683.45, 2664.5, 2656.44, 2655.24, 2654.29, 283.724, 310.533, 331.527, 303.791, 292.912, 314.194, 3773.84, 3371.19, 3344.64, 3759.76, 41748.6, 30908.2, 50446.9, 46285.2, 56973.6, 100514, 81803.3, 147074, 174356
116, 2740.75, 2678.4, 2641.94, 2657.87, 2654.4, 2654.62, 290.385, 297.923, 293.702, 299.759, 328.096, 318.534, 3687.82, 3260.64, 3566.66, 3647.74, 32406.5, 29650.6, 41401.6, 43696.2, 40139.9, 100143, 112538, 129387, 193054
309, 2693.62, 2673.18, 2656.14, 2647.71, 2647.05, 2653.4, 310.364, 282.161, 320.303, 322.382, 312.175, 299.213, 3827.55, 3595.11, 3426.84, 3474.79, 46408.1, 42264.2, 56578.9, 45566.7, 45977.7, 96101.2, 126674, 135701, 180357
412, 2675.28, 2651.96, 2647.6, 2655.03, 2649.09, 2651.38, 289.849, 278.133, 310.417, 312.23, 310.101, 260.094, 3288.4, 3220.09, 3449.39, 3665.41, 42063.4, 44254.6, 48386.5, 52247.4, 52197, 113909, 118772, 158994, 209660
1147, 2652.47, 2652.11, 2639.12, 2636.84, 2638.8, 2633.41, 289.083, 304.306, 277.621, 308.809, 297.45, 310.2, 3476.28, 3354.32, 3180.14, 3481.74, 25404.6, 32316.5, 56656.9, 50026.5, 55380.3, 96326.9, 81248.8, 130649, 203158
878, 2702.95, 2670.86, 2659.82, 2649.69, 2654.61, 2643.19, 292.615, 283.189, 291.269, 279.934, 313.798, 270.596, 3069.94, 3380.61, 3406.74, 3190.18, 39206.6, 29500.6, 47754.8, 49190.5, 50608.2, 92818.9, 81656.2, 125501, 158841
905, 2715.07, 2675.86, 2657.66, 2654.14, 2643.14, 2648.48, 297.457, 279.622, 303.741, 304.104, 304.152, 300.849, 3344.57, 3213.49, 3451.7, 3640.77, 32265.4, 33330.2, 47414.6, 49027, 53604.8, 106085, 69838.9, 119273, 170805
838, 2716.02, 2667.73, 2655.99, 2653.71, 2645.03, 2641.98, 282.626, 290.839, 335.041, 289.055, 329.575, 271.441, 3690.64, 3971.61, 3233.59, 3375.57, 13528.2, 45848.7, 30330.8, 51628.3, 48128.3, 89597.7, 97375.8, 117096, 207275
964, 2697.91, 2661.64, 2644.6, 2640.3, 2632.42, 2634.26, 299.544, 279.22, 310.144, 293.981, 326.448, 278.795, 3412.98, 3612.88, 3194.68, 3545.87, 36648.1, 48529.1, 37237.2, 53595.2, 43158.5, 80141, 113309, 117072, 219828
596, 2702.63, 2672.98, 2653.86, 2657.41, 2652.78, 2636.36, 281.488, 289.343, 316.281, 284.979, 310.947, 281.858, 3458.11, 3501.29, 3474.78, 3468.99, 41545.7, 58085.6, 36956.9, 43201.2, 57357.6, 93093.6, 101986, 144652, 183883
995, 2722.99, 2675.03, 2652.18, 2642.2, 2643.98, 2643.21, 313.509, 305.512, 305.167, 324.838, 298.476, 328.003, 3334.45, 3596.16, 3294.76, 3568.31, 41926.1, 35363.7, 29267, 57016.5, 53396.2, 99092.4, 89544.7, 136830, 205568
503, 2749.27, 2692.49, 2665.52, 2654.82, 2642.02, 2652.29, 287.398, 306.422, 297.427, 318.719, 289.938, 300.784, 3563.67, 3492.6, 3488.67, 3615.91, 38984.2, 28381.1, 29180.8, 44876.3, 47982.2, 107885, 101704, 131003, 162822
662, 2724.47, 2656.84, 2643.52, 2625.95, 2628.39, 2627.33, 303.055, 278.447, 271.433, 308.934, 322.925, 325.082, 3511.28, 3558.86, 3492.85, 3439.24, 50169, 53501.9, 57462.9, 36406.7, 50675.8, 71870, 109190, 126891, 212293
1126, 2637.04, 2641.33, 2642.95, 2647.67, 2640.74, 2649.41, 309.474, 270.694, 320.348, 299.31, 303.266, 329.866, 3422.48, 3456.01, 3485.59, 3506.34, 32152.3, 41401.1, 61070.6, 47832.1, 55510, 115900, 111742, 139581, 232383
737, 2690.39, 2670.88, 2650.83, 2648.23, 2641.33, 2638.72, 295.292, 295.787, 297.675, 337.089, 304.98, 282.703, 3496.23, 3540.88, 3615.72, 3657.56, 49284.4, 50078.5, 50452.6, 40562.5, 51577.8, 94906.3, 113347, 130584, 229872
963, 2734.53, 2690.4, 2653.92, 2650.77, 2644.2, 2628.75, 295.499, 278.904, 326.291, 313.425, 317.8, 316.492, 3427.06, 3450.11, 3577.95, 3533.85, 48979.6, 50590.8, 63006.3, 47736.3, 54969.2, 115932, 80845.9, 174982, 224241
598, 2695.53, 2671.36, 2661.59, 2654.26, 2635.58, 2650.78, 308.185, 300.64, 291.725, 291.967, 310.691, 303.826, 3788.03, 3211.69, 3467.56, 3435.44, 35498.7, 49115.4, 56535.5, 46796.8, 55745.8, 93900.5, 100548, 108608, 137619
1041, 2730.58, 2686.92, 2662.56, 2649.18, 2649.67, 2648.06, 284.184, 295.907, 317.05, 303.639, 313.876, 288.065, 3514.56, 3856.68, 3558.24, 3761.13, 39553, 24893, 53111.3, 57659.5, 46375.1, 78997, 87542.5, 148004, 201396
285, 2690.39, 2667.31, 2654.28, 2650.77, 2647.16, 2652.16, 318.446, 312.844, 294.012, 296.628, 295.555, 324.186, 3625.14, 3310.85, 3756.11, 3580.35, 21623.1, 34928.1, 34830.7, 56287.8, 44980.9, 88670.2, 88342.3, 132996, 147304
884, 2723.63, 2677.69, 2658.42, 2654.02, 2655.75, 2644.68, 307.859, 293.68, 314.411, 292.976, 312.092, 306.72, 3670.97, 3199.31, 3422, 3095.51, 45196.8, 47650.9, 54182.1, 48816.9, 42533.8, 75512.9, 87928.6, 133162, 193891
