seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,1872.57,4109.43,3298.87,2444.72,1968.5,1737.44,1363.96,1257.02,954.067,808.274,614.412,486.399,1954.57,3118.36,2608.33,2657.28,144.064,98.5325,223.122,325.353,266.199,2427.62,2561.62,5881.44,18875.2
1050,1818.88,4365.66,3319.6,2420.56,2056.08,1730.04,1406.98,1112.96,1003.79,789.103,595.918,470.77,2150.68,2677.61,2822.25,2940.58,110.669,130.06,182.728,361.875,212.755,1642.56,2489.31,5433.7,22340.8
456,1832.89,4374.56,3294.03,2285.08,1994.01,1778.25,1352.32,1168.62,936.422,814.677,606.783,522.932,2433.48,2814.13,2542.61,2560.69,112.06,120.958,262.882,383.826,199.347,2410.45,1946.06,5051.26,22738.8
841,1868.43,4305.79,3404.19,2416.27,2015.91,1755.01,1393.87,1114.2,924.782,790.684,695.902,571.271,2640.12,3160.84,2424.38,2309.19,129.947,113.586,224.903,406.899,177.573,2260.67,1829.41,4570.78,22292.8
838,1941.36,4310.1,3325.47,2447.03,2059.33,1729.24,1236.69,1076.54,977.258,747.405,577.001,568.909,2985.53,2780.65,3065.86,2940.64,166.283,126.599,245.247,327.362,175.717,2328.44,2461.73,4120.65,18474
757,1898.47,4353.79,3322.72,2375.84,1928.81,1772.16,1505.36,1163.82,907.504,828.414,553.094,517.602,2819.86,3178.32,3351.71,2364.29,137.011,129.976,259.231,364.875,218.321,1740.34,2471.59,5941.76,24437.9
78,1953.06,4403.18,3241.59,2456.56,2083.51,1671.63,1379.21,1133.13,984.386,743.02,586.66,510.731,2510.69,2344.71,2507.65,2436.26,123.973,109.653,250.742,384.119,168.902,2280.87,2176.96,4041.68,19391.4
262,1791.9,4364.62,3222.05,2248.59,1965.67,1661.22,1395.46,1057.69,913.292,749.694,553.335,519.921,2322.16,3085.81,3025.72,2818.34,114.795,161.415,196.228,402.786,244.714,2343.58,2224.5,5241.29,23175.3
1124,1852.41,4166.82,3206.27,2421.14,2203.84,1721.9,1435.99,1135.77,970.512,773.659,625.643,555.512,2107.14,2233.95,2623.64,2318.39,147.573,160.127,228.367,473.205,188.827,2262.47,2323.77,4243.59,23089.5
378,1896.03,4214.62,3344.79,2283.87,2276.27,1772.59,1475.38,1124.84,930.832,711.958,668.327,518.966,3314.04,2855.67,2788.02,3171.12,130.886,138.514,219.407,367.268,188.98,2490.2,2291.41,5621.65,25192.3
