seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 41096, 44284.8, 43623.4, 43081.3, 42739.9, 42277.6, 41426.2, 39985.2, 37882, 35167.2, 31997.9, 28598.3, 153204, 40653.3, 10801.4, 2688.43, 820.424, 40.0979, 2.36681, 0.0892467, 0.00343316, 0.00012497, 9.2383e-06, 1.43888e-06, 1.96586e-07
1082, 40274.5, 43963.2, 43557.4, 43138.3, 42868.4, 42453.7, 41637.1, 40219.5, 38129.3, 35417.8, 32242.3, 28827.1, 152569, 40150.6, 10661.3, 2669.35, 827.91, 41.7391, 2.55886, 0.0993709, 0.00385335, 0.000139939, 1.04369e-05, 1.69363e-06, 2.34993e-07
168, 41825.9, 44520.1, 43790.6, 43252, 42896.1, 42398.1, 41497, 40000.9, 37842.9, 35078, 31866.5, 28434.5, 153911, 39949.2, 10309.5, 2448.19, 683.238, 28.4335, 1.36903, 0.0441039, 0.00155339, 6.99648e-05, 1.22934e-05, 2.38015e-06, 3.26687e-07
143, 41295.9, 44476.6, 43867.3, 43344.8, 42989.5, 42493.5, 41598.3, 40109.1, 37956.9, 35194.4, 31980.4, 28539.9, 153994, 39873.8, 10246, 2421.12, 669.655, 27.4969, 1.30245, 0.0414835, 0.00143506, 6.11107e-05, 9.99881e-06, 1.94044e-06, 2.68464e-07
182, 41519.2, 44523.9, 43814, 43251.2, 42886.1, 42393.9, 41508.6, 40030.6, 37890, 35140.4, 31941.2, 28518, 152845, 40125.4, 10513.4, 2564.6, 754.59, 34.4901, 1.88875, 0.0674935, 0.00251005, 9.28533e-05, 8.72887e-06, 1.53327e-06, 2.12927e-07
482, 39816.8, 43801.2, 43502.1, 43118.4, 42867.7, 42469.6, 41666.8, 40260.9, 38178.9, 35470.4, 32292.6, 28870.5, 153126, 40227.6, 10584.5, 2607.21, 782.727, 37.5686, 2.17257, 0.0806006, 0.00303724, 0.00011055, 9.06547e-06, 1.50091e-06, 2.06136e-07
87, 40932, 44117.7, 43608.2, 43161.8, 42853.7, 42386.7, 41511.4, 40037.2, 37898.4, 35149.9, 31951.5, 28528.5, 153669, 39992.8, 10346.8, 2472.87, 699.551, 29.7751, 1.47766, 0.0485381, 0.00170787, 6.65126e-05, 8.64575e-06, 1.65463e-06, 2.30783e-07
766, 40575.5, 44173.5, 43674.2, 43210.6, 42927.2, 42513.1, 41699.1, 40282.2, 38187.5, 35464.6, 32271.7, 28835.6, 152185, 40214.3, 10659.4, 2653.42, 811.81, 40.1767, 2.41145, 0.0917298, 0.00351809, 0.000125626, 8.47706e-06, 1.29232e-06, 1.77923e-07
774, 41201.1, 44405.6, 43747.1, 43208.3, 42867.3, 42399.6, 41535, 40075.2, 37950.1, 35213.2, 32024.1, 28608, 152921, 40096.5, 10559.4, 2599.84, 780.001, 37.2381, 2.14755, 0.0798006, 0.00303144, 0.000113107, 1.01569e-05, 1.72249e-06, 2.36946e-07
229, 40586.9, 44027.6, 43516.4, 43049, 42749.8, 42316.7, 41488.4, 40067, 37979.7, 35275.4, 32109.8, 28706.5, 154100, 40664.6, 10701.2, 2622.47, 776.26, 35.9513, 1.9888, 0.0713903, 0.00265866, 9.84339e-05, 9.16566e-06, 1.60458e-06, 2.22799e-07
