seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 36703, 40039.9, 39949, 39906.3, 40041.1, 40165.8, 40146.5, 39886.6, 39357.7, 38582, 37620.6, 36557.7, 469455, 378441, 341912, 319858, 1.11684e+06, 1.09345e+06, 1.15468e+06, 1.03461e+06, 1.11169e+06, 896379, 612126, 422244, 473647
1082, 38959.2, 43010.8, 43126.8, 43180.7, 43382.7, 43548.3, 43537.6, 43244.1, 42637.7, 41745.8, 40640.2, 39418.5, 448383, 362923, 330556, 311180, 1.08657e+06, 1.06321e+06, 799158, 724736, 774599, 632175, 439292, 306701, 344353
168, 35929.4, 38703.1, 38538.1, 38481.1, 38581.1, 38652.9, 38571.5, 38249.5, 37663.4, 36838.3, 35836.9, 34743.7, 439429, 350776, 315324, 293765, 1.06853e+06, 1.04543e+06, 960451, 862244, 930764, 733404, 490483, 334680, 375224
143, 37591.6, 40964.7, 40896.7, 40850.6, 40955.6, 41029.3, 40941, 40595.9, 39967.9, 39083.5, 38009.5, 36836.3, 463580, 371081, 334374, 312240, 1.10385e+06, 1.08056e+06, 873775, 786999, 849371, 669418, 449069, 307134, 344413
182, 36320.6, 39425.4, 39288.8, 39223.7, 39329.7, 39419, 39360.6, 39059.5, 38489, 37673.4, 36675.9, 35582.1, 439030, 352718, 317902, 296823, 1.09179e+06, 1.06932e+06, 1.09625e+06, 977739, 1.05492e+06, 844847, 573531, 393938, 441768
482, 37022, 41193.1, 41406.2, 41491.1, 41701.8, 41876.2, 41882.3, 41621.3, 41064.4, 40236.9, 39205.5, 38062.1, 461701, 373973, 340015, 319625, 1.07116e+06, 1.04818e+06, 719471, 652732, 697893, 567567, 392895, 273786, 307331
87, 36820.1, 40170.4, 40206.4, 40243.2, 40404.8, 40521.7, 40473.3, 40169, 39584.9, 38747, 37720.3, 36592.4, 418189, 334827, 302323, 283050, 1.03634e+06, 1.01507e+06, 1.04929e+06, 940327, 1.01281e+06, 812030, 552706, 380637, 426971
766, 34997.7, 38537.3, 38558.2, 38559.4, 38715.9, 38851.5, 38832.7, 38563.4, 38014.9, 37211, 36215.7, 35116.9, 461060, 373373, 338607, 317526, 1.03353e+06, 1.01161e+06, 745910, 671332, 720145, 584955, 403767, 280447, 314756
774, 38727, 42226, 42109.8, 42052, 42182.4, 42295.8, 42245.6, 41928.9, 41316.4, 40434.7, 39352.9, 38164.6, 452786, 362622, 327119, 305438, 1.03031e+06, 1.007e+06, 759386, 684823, 735144, 588744, 399860, 275197, 308739
229, 38673.2, 42461.3, 42496.2, 42511.3, 42683.7, 42830.5, 42814.4, 42535.6, 41964.2, 41124.5, 40082.5, 38929.1, 440589, 355154, 321181, 300783, 1.07068e+06, 1.04899e+06, 1.0728e+06, 961785, 1.03432e+06, 834260, 571034, 394401, 442437
