seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,36939.2,40463.5,40384.2,40344.7,40503.2,40667.2,40696.9,40489.7,40013.4,39287.6,38371.4,37347.8,437828,355324,322352,302596,1.06533e+06,1.04407e+06,1.13906e+06,1.02226e+06,1.09624e+06,896692,622970,433918,487010
1050,38349.6,41806.2,41751.6,41746.3,41907.1,42034.2,41986.7,41663.9,41038.6,40139.3,39037.6,37829.8,494667,398774,361664,339113,977806,955382,804494,732435,782610,628174,427903,295881,332035
456,37666.9,41594.8,41694.6,41737,41927.7,42086.8,42078.2,41798.3,41217.8,40362.4,39300.8,38126.5,440103,354889,321985,302252,1.17019e+06,1.1452e+06,857792,777530,833645,672801,462931,321390,360749
841,38633,42153.7,42057,42012.4,42153.6,42278,42243.3,41945,41354.1,40496.4,39440.2,38277.8,459132,368786,333480,311990,1.14977e+06,1.12403e+06,962579,873269,936072,747912,507769,350028,392709
838,38118.9,41629.8,41585.2,41571.4,41722.8,41846.4,41804.5,41497.1,40896.1,40027.6,38959.6,37784.3,459995,368545,332179,310026,1.07625e+06,1.05244e+06,838302,752681,809435,649132,441326,303733,340706
757,37998.4,41447.1,41347.1,41310.4,41459.6,41589.5,41552.4,41245.7,40639.4,39759.4,38675.2,37481.1,423813,340538,307633,287783,1.13642e+06,1.11228e+06,904240,808338,870091,704098,483634,334563,375456
78,37522.7,40746.7,40708.6,40702.6,40829.8,40913,40826.5,40481,39852.7,38969.3,37898,36728.9,420245,336558,303586,283744,1.10116e+06,1.07862e+06,1.27603e+06,1.13819e+06,1.22667e+06,982491,665823,456805,512250
262,36833.6,40707.3,40784.3,40821.7,41028.7,41226.4,41278.1,41081.8,40605.5,39869.2,38933.5,37883.8,441416,358251,325741,306463,1.07673e+06,1.05489e+06,1.00716e+06,909049,972622,798090,557484,390013,437900
1124,38365,42512.5,42698.7,42782.1,42993.7,43160.8,43147,42849.4,42238.9,41343,40233.3,39007.4,448119,362868,330421,311064,1.06673e+06,1.0443e+06,850239,769571,823292,672308,467527,326395,366451
378,38348.9,42104.7,42038.6,41994.7,42153.8,42315.2,42331.9,42094.5,41570.1,40780.8,39791.5,38691.3,431599,350520,318785,299788,1.11684e+06,1.0938e+06,972768,878009,940172,769903,537129,375519,421622
