seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,5424.51,5339.53,5305.76,5288.13,5285.7,5298.15,606.014,564.286,612.377,638.565,659.471,609.069,7644.98,7753.8,7167.29,7318.26,88947.9,67349.4,74257,88134.2,111883,213477,209743,308099,389714
1050,5441.29,5351.13,5320.63,5321.22,5310.3,5300.79,584.934,547.372,629.532,562.643,657.079,511.63,7076.17,7563.76,6782.67,7708.16,64414.3,71653.7,76958.5,110565,109488,210605,202633,289023,359058
456,5337.6,5314.01,5304.43,5296.09,5304.06,5289.31,530.608,627.618,594.088,621.127,615.506,651.721,6397.63,6852.87,7162.58,6869.37,61772.1,45941,101955,125790,68613.7,211378,209897,289935,375552
841,5456.07,5351.02,5331.19,5307.97,5302.52,5302.04,620.477,629.524,633.248,557.252,673.209,529.975,7227.48,7066.54,6667.85,6890.06,82460.3,66028,117598,94918.1,108279,158968,191327,238498,373179
838,5432.69,5336.41,5312.98,5308.38,5290.92,5284.73,565.315,581.732,670.14,578.162,659.217,542.948,7382.29,7943.95,6467.48,6751.27,27056.4,91697.4,60661.6,103257,96256.6,179195,194751,234191,414549
757,5455.36,5362.3,5301.04,5301.94,5294.51,5281.95,599.645,597.476,631.525,628.996,642.528,588.513,6885.9,6427.2,6599.59,7270.07,77574.5,49891.1,106618,57611.5,80242.7,197265,197432,272478,360767
78,5482.44,5360.79,5336.11,5330.29,5303.81,5299.34,566.964,615.779,592.658,583.122,599.369,599.609,6524.52,6991.66,6324.3,7655,96276.2,73579.1,103121,91585.3,110720,211802,201015,275498,322787
262,5337.4,5309.37,5301.25,5277.56,5284.21,5292.46,590.64,579.814,621.032,609.793,659.101,599.58,6579.29,7187.45,6776.83,6461.57,80234.2,73287.9,125444,116544,78467.9,237064,212896,318434,345367
1124,5315.83,5306.65,5297.72,5310.65,5291.62,5299.44,549.178,618.461,612.142,642.436,661.966,609.11,7239.95,6980.43,6687.54,7370.61,68227.8,83677.9,81047.8,111967,91204.5,158431,214461,246155,402761
378,5390.52,5353.21,5309.27,5289.1,5281.57,5297.54,583.892,605.616,653.782,586.417,569.021,619.178,7160.88,7613.37,6479.01,7131.5,93741.9,93706.1,108860,114889,100081,214422,217005,327331,435496
