seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,1870.99,4108.09,3298.27,2444.35,1968.2,1737.17,1363.88,1256.96,954.015,808.228,614.372,486.363,1954.44,3118.25,2608.28,2657.26,144.064,98.5325,223.122,325.353,266.199,2427.62,2561.62,5881.44,18875.2
1050,1817.55,4364.46,3319.06,2420.24,2055.82,1729.81,1406.91,1112.91,1003.75,789.063,595.883,470.739,2150.56,2677.52,2822.2,2940.56,110.669,130.06,182.728,361.875,212.755,1642.56,2489.31,5433.7,22340.7
456,1831.31,4373.25,3293.42,2284.72,1993.7,1777.97,1352.24,1168.55,936.37,814.629,606.743,522.893,2433.32,2814.02,2542.56,2560.67,112.06,120.958,262.882,383.826,199.347,2410.45,1946.06,5051.26,22738.8
841,1866.94,4304.5,3403.59,2415.91,2015.61,1754.73,1393.79,1114.14,924.731,790.638,695.855,571.228,2639.95,3160.72,2424.34,2309.17,129.947,113.586,224.903,406.898,177.573,2260.67,1829.41,4570.77,22292.8
838,1939.99,4308.89,3324.91,2446.69,2059.05,1728.99,1236.63,1076.49,977.209,747.365,576.966,568.87,2985.35,2780.55,3065.81,2940.62,166.283,126.599,245.247,327.361,175.717,2328.44,2461.73,4120.65,18474
757,1897.28,4352.76,3322.26,2375.56,1928.57,1771.94,1505.3,1163.78,907.466,828.377,553.066,517.572,2819.72,3178.23,3351.66,2364.28,137.011,129.976,259.231,364.875,218.321,1740.34,2471.59,5941.76,24437.9
78,1951.9,4402.21,3241.15,2456.29,2083.26,1671.42,1379.14,1133.09,984.345,742.987,586.63,510.702,2510.57,2344.64,2507.61,2436.24,123.973,109.653,250.742,384.119,168.902,2280.87,2176.96,4041.68,19391.4
262,1790.48,4363.35,3221.49,2248.25,1965.38,1660.96,1395.38,1057.63,913.244,749.653,553.3,519.884,2322.02,3085.7,3025.66,2818.32,114.795,161.415,196.228,402.786,244.714,2343.58,2224.5,5241.29,23175.3
1124,1850.91,4165.57,3205.72,2420.8,2203.54,1721.65,1435.91,1135.72,970.462,773.617,625.604,555.473,2107.01,2233.87,2623.6,2318.37,147.573,160.127,228.367,473.205,188.827,2262.47,2323.77,4243.59,23089.5
378,1894.4,4213.22,3344.16,2283.5,2275.92,1772.32,1475.29,1124.78,930.778,711.915,668.28,518.925,3313.82,2855.55,2787.96,3171.1,130.886,138.514,219.407,367.268,188.98,2490.2,2291.41,5621.64,25192.3
