seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,40849.2,44178.5,43510.6,42956.8,42627.4,42193.9,41380.6,39977.9,37908.6,35220.9,32071.6,28685,152218,41094.2,11234.2,2929.15,976.465,54.9204,3.76888,0.15749,0.00642205,0.000230123,1.06764e-05,1.07892e-06,1.35571e-07
1050,41155.9,44357.3,43778.1,43308.1,43012.2,42570.1,41717.3,40255.7,38116.3,35354,32131.1,28676.5,151951,39491.9,10298.2,2502.19,733.769,34.372,1.93145,0.0702904,0.00262899,0.000102443,1.15001e-05,2.07547e-06,2.85176e-07
456,40352.9,44050.6,43627.9,43200.6,42930.6,42518.4,41703.1,40281.6,38181.1,35452.9,32255.9,28817.2,152620,39913.9,10466.2,2565.19,763.865,36.2203,2.07676,0.0769072,0.00288508,0.000102962,7.69153e-06,1.22637e-06,1.68718e-07
841,41176.1,44403.2,43760,43231.3,42898.2,42436.4,41578.5,40121.8,37995.1,35251.9,32052.4,28623.2,152632,39876.2,10473.2,2570.26,767.609,36.6704,2.11983,0.0792192,0.00300731,0.000112107,1.0044e-05,1.68747e-06,2.31029e-07
838,40991.6,44246.8,43666.3,43178.1,42866.1,42415.8,41565.6,40117.5,38001.6,35270.3,32082,28661.6,153439,40205.1,10526.4,2563.72,751.441,34.2869,1.86613,0.066066,0.00244729,9.63324e-05,1.16989e-05,2.20381e-06,3.06768e-07
757,41134.5,44349.4,43713,43206.8,42901.7,42467.6,41630.5,40189.1,38071.2,35329.8,32126.1,28688.4,151698,40064.9,10620.2,2640.99,806.846,39.6333,2.36611,0.0895872,0.00342956,0.000119357,6.34786e-06,7.88528e-07,1.04909e-07
78,41342.6,44364,43784.4,43301.6,42964.3,42470.1,41566.8,40066.2,37903,35132.8,31915.9,28477.8,153301,39817.4,10280,2446.45,685.603,28.5132,1.36435,0.0431365,0.00148724,6.0376e-05,9.03413e-06,1.77288e-06,2.4747e-07
262,40227.9,43907.4,43422.6,42960.1,42686.1,42292.1,41508.2,40127.3,38072.1,35390.1,32237.7,28839.6,152371,40903.6,11096.7,2862.19,935.243,51.25,3.42059,0.140101,0.00562021,0.000200126,9.82087e-06,1.09576e-06,1.41892e-07
1124,40078.6,43912.3,43584.4,43201.3,42949.2,42544,41731.5,40313.8,38219.5,35499.4,32311.2,28880.1,152570,39993.1,10527.1,2599.58,785.078,37.9279,2.21372,0.0827776,0.00313498,0.000114233,9.66046e-06,1.67966e-06,2.35209e-07
378,40793.8,44239,43599.6,43046.8,42711.8,42269.6,41445.5,40029.5,37946,35245.2,32085.1,28690.5,151463,40743.6,11162.7,2932.72,994.55,57.3444,4.04108,0.172399,0.00708643,0.000253762,1.10836e-05,1.00455e-06,1.22103e-07
