seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,40859.9,44193.8,43523.7,42967.3,42636,42201.5,41386.2,39982.2,37912.3,35224.6,32075.3,28688.8,152240,41098.9,11235.1,2929.33,976.501,54.9215,3.76891,0.157491,0.00642206,0.000230123,1.06764e-05,1.07892e-06,1.35571e-07
1050,41165.4,44370.8,43789.6,43317.3,43019.9,42576.8,41722.3,40259.6,38119.7,35357.4,32134.5,28679.9,151972,39496.5,10299.2,2502.37,733.806,34.3731,1.93148,0.070291,0.002629,0.000102443,1.15001e-05,2.07547e-06,2.85176e-07
456,40363.8,44066.3,43641.3,43211.4,42939.6,42526.3,41708.9,40286.1,38185.1,35456.7,32259.8,28821.2,152643,39919.1,10467.2,2565.39,763.908,36.2215,2.0768,0.0769079,0.00288509,0.000102962,7.69153e-06,1.22637e-06,1.68718e-07
841,41186.8,44418.5,43773.1,43241.8,42906.9,42444,41584.2,40126.2,37999,35255.7,32056.3,28627.1,152656,39881.4,10474.3,2570.46,767.652,36.6717,2.11987,0.0792199,0.00300732,0.000112107,1.0044e-05,1.68747e-06,2.31029e-07
838,41001.5,44261,43678.4,43187.9,42874.2,42422.9,41570.8,40121.6,38005.2,35273.7,32085.5,28665.2,153461,40210,10527.4,2563.92,751.484,34.2882,1.86617,0.0660668,0.00244731,9.63326e-05,1.16989e-05,2.20381e-06,3.06768e-07
757,41143,44361.4,43723.3,43215.1,42908.5,42473.6,41634.9,40192.6,38074.2,35332.8,32129.1,28691.4,151715,40068.8,10621.1,2641.15,806.878,39.6342,2.36614,0.0895877,0.00342957,0.000119357,6.34786e-06,7.88528e-07,1.04909e-07
78,41350.8,44375.6,43794.3,43309.6,42970.9,42475.9,41571.1,40069.6,37906,35135.7,31918.9,28480.9,153320,39821.7,10281,2446.63,685.643,28.5144,1.36439,0.0431372,0.00148725,6.03762e-05,9.03413e-06,1.77288e-06,2.4747e-07
262,40238.2,43922.1,43435.3,42970.3,42694.5,42299.4,41513.6,40131.5,38075.7,35393.7,32241.2,28843.2,152392,40908.2,11097.6,2862.36,935.278,51.251,3.42062,0.140102,0.00562021,0.000200126,9.82087e-06,1.09576e-06,1.41892e-07
1124,40088.7,43926.8,43596.8,43211.3,42957.5,42551.2,41736.8,40318,38223.2,35503,32314.8,28883.7,152592,39997.8,10528,2599.77,785.116,37.929,2.21376,0.0827783,0.00313499,0.000114233,9.66046e-06,1.67966e-06,2.35209e-07
378,40805.3,44255.3,43613.5,43057.9,42720.9,42277.7,41451.4,40034.1,37950,35249.1,32089,28694.5,151485,40748.5,11163.7,2932.89,994.586,57.3454,4.04112,0.1724,0.00708644,0.000253763,1.10836e-05,1.00455e-06,1.22103e-07
