seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 9008.23, 11067.6, 7848.31, 5285.39, 4611.14, 3452.16, 2493.92, 2630.25, 2022.02, 1853.1, 1528.58, 1027.13, 4763.37, 4176.4, 5912.91, 5851.82, 304.33, 211.388, 907.332, 1086.11, 818.795, 5346.2, 6440.63, 15601.6, 64247
1082, 9133.8, 11684.5, 8241.77, 5402.93, 4635.11, 3546.15, 2800.38, 2487.98, 1915.83, 1667.33, 1496.86, 1048.63, 4760.61, 4598.13, 5042.11, 6078.11, 239.996, 281.758, 898.535, 1004.47, 773.994, 6208.96, 7188.6, 16311, 86011.9
168, 9500.53, 11316.5, 8123.2, 5291.79, 4538.82, 3507.59, 2721.9, 2626.83, 1986.17, 1751.48, 1573.08, 1040.29, 5781.91, 6070.17, 4909.29, 5347.64, 218.74, 230.748, 832.692, 770.209, 875.908, 5333.34, 5560.15, 16309.3, 56913.5
143, 8112.07, 10653.2, 7653.68, 5248.61, 4590.12, 3363.46, 2650.68, 2448.56, 1955.15, 1895.67, 1508.46, 1070.39, 5151.85, 4850.28, 4949.18, 4488.11, 208.641, 266.71, 1004.64, 880.662, 740.311, 5453.36, 4709.14, 16087.2, 51830.8
182, 9072.16, 11426, 7966.92, 5510.62, 4592.86, 3432.5, 2853.96, 2703.12, 2079.9, 1845.91, 1496.88, 1096.61, 4502.56, 5976.43, 5310.35, 5305.53, 231.835, 261.396, 858.024, 858.284, 564.986, 7180.26, 6245.69, 14960.3, 64910
482, 9394.97, 11545.8, 7931.53, 5392.24, 4662.96, 3401.81, 2809.98, 2528.81, 2032.99, 1824.82, 1552.38, 1124.48, 5025.15, 4859.1, 5060.78, 6499.1, 294.659, 246.212, 895.716, 895.089, 828.035, 6414.62, 6988.65, 15331.6, 62906
87, 9254.36, 11552.5, 8217.6, 5504.68, 4652.73, 3503.09, 2708.58, 2553.48, 2017.09, 1770.86, 1540.72, 1069.61, 5557.64, 4543.58, 4590.66, 5801.83, 201.444, 216.628, 791.889, 679.315, 904.219, 4416.64, 6648.05, 14405.8, 55137
766, 9140.09, 11511.3, 8142.26, 5441.79, 4659.01, 3559.86, 2780.99, 2668.19, 2112.93, 1708.35, 1661.77, 1079.41, 5322.36, 5224.74, 5111.2, 5919.03, 321.448, 323.393, 910.517, 1116.77, 755.555, 7336.5, 6330.35, 18138.2, 71985.1
774, 8879.63, 10759.8, 7800.31, 5334.37, 4488.63, 3572.07, 2729.23, 2539.35, 2080.09, 1781.79, 1526.94, 1013.63, 4736.83, 4713.88, 5413.05, 4857.39, 223.513, 280.721, 719.979, 752.474, 625.616, 6312.71, 6992.09, 13169.8, 53506.3
229, 8510.54, 10857.9, 7702.34, 5218.2, 4601.42, 3432.12, 2708.98, 2631.56, 2159.43, 1771.66, 1556.14, 1139.48, 6031.83, 4668.67, 4804.62, 5812.32, 391.721, 330.602, 1023.9, 1017.88, 837.811, 5901.48, 6284.9, 14785.8, 76016.3
733, 9349.38, 11515.8, 8096.03, 5465, 4632.47, 3381.37, 2791.21, 2600.22, 1914.81, 1779.55, 1578.32, 1068.58, 6189.73, 4913.21, 5971.82, 4118.93, 288.729, 239.014, 747.44, 856.785, 893.432, 6862.63, 7092.86, 14193, 69661.1
814, 9512.05, 11921.6, 8257.87, 5433.44, 4686.87, 3473.03, 2773.13, 2587.52, 2101.51, 1809.57, 1449.03, 1081.56, 5391.59, 5596.83, 4791.42, 4912.31, 293.262, 283.838, 774.441, 1238.32, 767.65, 6529.22, 6700.12, 18060, 73044.3
1112, 8652.43, 11008.3, 7758.78, 5486.99, 4508.36, 3528.19, 2806.21, 2630.72, 1972.16, 1825.62, 1499.57, 1064.22, 6194.15, 5765.77, 5265.94, 6466.57, 236.663, 296.078, 900.974, 1100.82, 1079.48, 6969.95, 6054.31, 16207.7, 77631
547, 9368.7, 11470.2, 8238.43, 5386.74, 4646.93, 3618.82, 2694.6, 2484.42, 2012.4, 1709.42, 1511.29, 1033.38, 4673.03, 5533.79, 4626.66, 4472.78, 317.555, 277.889, 801.895, 780.976, 875.945, 7088.99, 5638.98, 14226, 74235.4
845, 9304.94, 11453.2, 8082.03, 5418.97, 4663.13, 3492.52, 2941.78, 2644.34, 2094.79, 1768.51, 1597.11, 1051.63, 6125.68, 6097.9, 5814.87, 4899.88, 243.146, 236.972, 771.228, 777.158, 767.411, 6668.06, 7212.21, 14520.9, 74687.5
249, 8475.69, 10548.5, 7601.38, 5133.77, 4637.84, 3339.09, 2668.63, 2543, 2104.57, 1786.87, 1544.99, 1106.57, 4779.64, 5351.61, 5111.94, 5604.12, 283.494, 287.728, 999.602, 806.013, 907.999, 5616.19, 6777.58, 16833.4, 72228.8
711, 8749.44, 11439.9, 7903.62, 5494.33, 4475.63, 3437.35, 2745.43, 2561.12, 2042.72, 1764.08, 1560.27, 1056.59, 5953.71, 5785.78, 5110.47, 5205.1, 253.122, 243.535, 736.934, 834.667, 924.622, 7401.27, 7056.49, 16514.5, 71646.5
455, 7952.94, 10450.8, 7559.52, 5251.83, 4532.99, 3426.79, 2744.34, 2467.61, 2006.2, 1793.01, 1540.2, 993.45, 4764.13, 4791.66, 5261.58, 5345.29, 282.712, 250.165, 737.676, 929.931, 693.616, 6158.89, 6539.63, 19780.4, 70191.3
379, 8859.54, 10929.5, 7733.73, 5249.48, 4601.06, 3255.69, 2749.84, 2533.59, 2090.36, 1660.39, 1525.44, 1054.77, 4649.32, 5296.17, 4362.1, 4720.96, 243.917, 304.515, 861.447, 1017.42, 668.818, 5771.18, 8359.95, 18869.1, 64667.8
116, 9070.19, 11269.3, 8082.33, 5340.13, 4586.67, 3550.27, 2749.25, 2486.27, 2040.19, 1686.89, 1509.42, 1082.21, 5559.35, 5664.6, 5851.01, 5594.05, 317.192, 267.4, 965.645, 894.822, 835.532, 6954.81, 7297.76, 15803.7, 56918.1
309, 9720.79, 11999.7, 8269.22, 5595.06, 4671.95, 3516.09, 2659.49, 2613.97, 2139.21, 1785.89, 1519.41, 1081.04, 5864.67, 4479.59, 5642.08, 5005.55, 294.776, 344.312, 954.947, 1197.08, 903.308, 7722.43, 6736.21, 19584, 64741.8
412, 8528.23, 10699.3, 7940.9, 5294.36, 4471.24, 3628.49, 2795, 2597.58, 2041.62, 1832.87, 1575.64, 1078.24, 5744.78, 5425.83, 5715.92, 5675.07, 218.142, 259.513, 798.911, 859.382, 783.228, 7764.52, 7337.28, 18054.2, 64529.2
1147, 9079.35, 11200.9, 7892.23, 5279.32, 4683.88, 3532.05, 2767.1, 2569.46, 2018.82, 1755.07, 1482.25, 1059.41, 5545.14, 4899.79, 7043.3, 5220.96, 210.906, 250.363, 869.531, 843.445, 697.827, 5190.68, 6531.74, 17400.6, 59397.5
878, 8701.27, 11345.7, 8098.94, 5513.87, 4777.39, 3484, 2752.15, 2554.91, 1957.28, 1733.5, 1598.18, 1114.48, 5389.29, 5562.32, 4633.11, 4488.59, 275.991, 283.284, 856.773, 965.826, 814.536, 6707.18, 7555.83, 12183.9, 58611.1
905, 9337.57, 11683.1, 7984.04, 5361.35, 4544.52, 3563.51, 2657.28, 2644.39, 2070, 1770.95, 1635.08, 1142.79, 4685.88, 5297.05, 5871.06, 5665, 263.926, 246.385, 826.754, 709.176, 945.662, 6554.34, 7192.08, 14078.5, 72285
838, 9098.57, 11229.4, 7773.97, 5276.74, 4537.01, 3488.3, 2497, 2452.42, 2087.2, 1701.92, 1508.29, 1136.11, 6074.4, 5601.59, 6143.31, 5880.13, 332.317, 252.962, 974.397, 803.132, 696.637, 6953.46, 7346.55, 12359.4, 55096.8
964, 9343.9, 11677.9, 8083.3, 5383.22, 4497.2, 3502.84, 2791.67, 2527.61, 2035.3, 1892.9, 1565.58, 1100.72, 5728.21, 5650.9, 5333.98, 5090.49, 282.352, 315.26, 820.974, 835.832, 1013.25, 7189.36, 7173.61, 17338.6, 67742.1
596, 8949.16, 11157.3, 8111.08, 5529.54, 4544.06, 3463.7, 2710.13, 2556.55, 1991.7, 1705.83, 1559.42, 1046.01, 5760.88, 5806.71, 6166.05, 5224.34, 253.119, 266.779, 802.659, 878.714, 795.673, 7246.66, 6171.63, 15277.2, 57921.6
995, 9286.05, 11474.4, 7972.29, 5282.52, 4539.05, 3464.03, 2853.53, 2525.65, 1977.62, 1830, 1519.93, 1059.3, 4952.15, 5251.45, 5375.11, 5545.96, 245.679, 235.638, 1030.81, 1077.35, 1024.44, 7393.45, 6239, 17522, 62288.2
503, 8205.82, 10386.8, 7630, 5201.17, 4544.77, 3436.97, 2795.57, 2445.32, 2059.84, 1832.63, 1563.6, 1017.81, 4505.55, 6000.86, 5578.75, 5049.71, 291.504, 261.409, 870.527, 1070.67, 595.258, 6973.82, 6879.37, 14221.9, 63247.2
662, 8252.31, 10280.3, 7379.95, 5071.95, 4606.81, 3441.88, 2597.67, 2525.33, 2120.4, 1797.52, 1520.16, 1036.26, 5608.22, 4139.96, 5977.23, 6029.42, 302.082, 291.835, 807.706, 950.032, 803.361, 6288.78, 7641.71, 12242.7, 53661.9
1126, 8610.53, 10777.5, 7995, 5399.23, 4711.08, 3395.83, 2769.98, 2561.81, 2027.62, 1701.65, 1581.97, 1052.45, 5579.38, 3997.58, 4188.01, 4750.4, 303.3, 300.644, 820.516, 741.068, 789.336, 6473.45, 8173.06, 19073.6, 74032
737, 9264.71, 11591, 8033.93, 5380.58, 4553.84, 3613.11, 2655.09, 2568.05, 2046.57, 1781.47, 1571.03, 1025.57, 4838.66, 5076.11, 4819.29, 4935.85, 268.746, 250.669, 747.97, 924.384, 874.431, 6552.28, 8082.44, 16841.2, 70336
963, 9835.19, 11849.7, 8145.18, 5353.89, 4584.75, 3650.03, 2653.91, 2638.3, 2044.14, 1828.03, 1570.09, 1124.42, 5944.26, 5610.32, 6290.61, 5193.76, 257.702, 265.36, 888.583, 953.695, 817.179, 8156.65, 7772.23, 17646.8, 76774.4
598, 8764.92, 11080.5, 8102.56, 5300.9, 4181.93, 3572.68, 2743.76, 2611.33, 2135.3, 1840.12, 1561.82, 1097.52, 4638.8, 5392.85, 5701.71, 5496, 248.456, 273.796, 782.663, 783.577, 895.443, 6703.22, 6827.64, 15551.6, 66170
1041, 8574.77, 11175.9, 7973.78, 5337.85, 4612.3, 3465.12, 2811.42, 2525.87, 1990, 1805.27, 1473.8, 1025.72, 5112.44, 5450.62, 4992.32, 5853.26, 285.301, 224.054, 818.979, 904.231, 890.75, 6138.29, 6903.51, 15910.4, 55895.8
285, 9270.53, 11191.7, 8101, 5387.34, 4596.94, 3458.87, 2703.06, 2474.55, 2056.48, 1762.54, 1586.73, 1060.59, 5225.04, 5470.72, 5457.58, 5972.13, 338.407, 238.731, 946.551, 935.427, 883.233, 6078.8, 6936.37, 15549, 74298
884, 9022.82, 11019.2, 7770.8, 5195.76, 4491.98, 3432.64, 2671.05, 2557.32, 2031.13, 1661.7, 1519.1, 1047.09, 5100.53, 6035.72, 5369.47, 6161.05, 241.41, 304.343, 936.795, 725.256, 768.585, 5830.64, 7319.96, 14578.2, 67063.5
805, 9859.54, 12178.1, 8479.13, 5626.05, 4677.47, 3554.29, 2827.92, 2571.96, 2047.56, 1785.44, 1493.38, 1080.55, 5582.93, 5046.64, 4901.3, 5663.42, 266.77, 250.92, 819.089, 775.285, 841.174, 5270.77, 7126.36, 14761.1, 62202.1
693, 9812.56, 11885.6, 8401.88, 5665.19, 4788.48, 3612.14, 2759.46, 2596.65, 1982.63, 1790.67, 1495.81, 1125.89, 5419.88, 5568.25, 5053.43, 6002.07, 323.089, 228.599, 877.416, 909.849, 742.134, 6146.07, 5883.18, 16043.4, 56857.9
613, 9811.84, 12000.9, 8293.1, 5675.4, 4817.72, 3527.58, 2679.49, 2571.36, 2073.79, 1688.93, 1491.3, 1076.46, 6093.62, 5781.15, 6248.14, 4767.97, 263.07, 221.39, 820.614, 1020.81, 741.644, 6928.53, 6659.06, 17920.5, 64559.7
648, 8990.81, 11237.8, 7935.69, 5347.59, 4629.36, 3441.84, 2859.78, 2567.2, 2038.91, 1689.54, 1612.56, 1017.51, 4953.9, 5395.05, 5279.54, 4305.97, 282.896, 292.821, 811.475, 988.878, 941.705, 5902.01, 7608.46, 13944.1, 58623.7
349, 9405.83, 11716.7, 8071.51, 5454.87, 4746.39, 3311.74, 2913.26, 2569.9, 2085.72, 1769.26, 1545.49, 1055.64, 5291.1, 5212.52, 5253.91, 5438.42, 292.313, 247.535, 647.933, 802.855, 925.842, 6541.55, 7695.24, 16378.8, 90334.7
