seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 9368.55, 11504.1, 8125.13, 5458.49, 4755.45, 3556.77, 2567.38, 2705.47, 2077.96, 1902.49, 1567.68, 1052.29, 4725.21, 4164.92, 5911.6, 5856.44, 304.562, 211.581, 910.777, 1092.48, 821.681, 5373.09, 6479.41, 15680.7, 64575.5
1082, 9508.04, 12121.1, 8514.04, 5568.03, 4770.23, 3646.1, 2876.96, 2553.87, 1964.76, 1708.21, 1531.97, 1072.12, 4721.06, 4585.92, 5040.68, 6081.87, 240.128, 281.946, 901.411, 1009.44, 776.252, 6235.57, 7226.56, 16383.7, 86399.9
168, 9934.37, 11808.1, 8439.71, 5484.15, 4696.96, 3626.11, 2811.4, 2710.72, 2047.54, 1803.61, 1617.99, 1068.72, 5730.31, 6052.38, 4908.6, 5353.05, 218.939, 230.986, 836.366, 775.184, 879.358, 5363.59, 5597.73, 16402.2, 57240.3
143, 8410.55, 11081, 7932.14, 5426.19, 4738.36, 3468.54, 2731.15, 2520.8, 2011.06, 1948.01, 1548.52, 1097.67, 5113.02, 4836.79, 4948.44, 4492.17, 208.821, 266.986, 1008.97, 886.381, 743.208, 5484.02, 4740.01, 16174.8, 52114.9
182, 9446.18, 11882.2, 8251.47, 5693.51, 4738.55, 3537.89, 2939.11, 2781.37, 2138.11, 1895.64, 1535.56, 1123.75, 4465.91, 5960.49, 5309.79, 5310.53, 232.018, 261.632, 861.274, 863.304, 566.97, 7216.22, 6283.06, 15036.2, 65242.3
482, 9784.95, 11992, 8204.06, 5563.95, 4804.76, 3501.92, 2890.3, 2598.9, 2087.41, 1871.77, 1590.63, 1150.97, 4983.3, 4845.68, 5059.11, 6503.06, 294.831, 246.388, 898.736, 899.718, 830.564, 6443.42, 7027.19, 15402.7, 63201.1
87, 9675.42, 12043.9, 8530.43, 5699.9, 4810.67, 3618.26, 2795.11, 2632.59, 2077.42, 1821.76, 1583.11, 1097.7, 5507.8, 4530.52, 4590.07, 5807.59, 201.598, 216.812, 794.893, 683.267, 907.362, 4438.77, 6688.27, 14479.9, 55423.5
766, 9523.36, 11956.8, 8421.36, 5614.54, 4800.22, 3664.27, 2860.2, 2741.85, 2169.25, 1752.12, 1702.56, 1104.75, 5277.67, 5210.78, 5110.05, 5923.38, 321.661, 323.643, 913.635, 1122.66, 757.928, 7369.89, 6365.62, 18223.8, 72328.9
774, 9216.85, 11181.8, 8074.71, 5508.32, 4628.29, 3679.58, 2809.02, 2611.42, 2137.22, 1828.94, 1565.72, 1038.27, 4698.76, 4699.98, 5411.29, 4860.71, 223.7, 281.016, 722.988, 757.213, 628.006, 6347.16, 7037.18, 13240.3, 53795.2
229, 8821.27, 11262, 7959.98, 5380.33, 4737.93, 3530.65, 2784.55, 2702.84, 2216.03, 1816.42, 1593.89, 1165.96, 5988.02, 4656.68, 4803.9, 5817.09, 391.998, 330.879, 1027.51, 1023.58, 840.596, 5929.48, 6320.29, 14855.9, 76379.8
