seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,1.94177,2.08329,1.08414,1.21317,1.10126,1.23883,0.358399,0.400692,0.401884,0.394941,0.38854,0.380371,4.37598,4.4176,4.39307,4.49271,19.8938,2.71389,6.11064,43.8009,24.2357,386.129,299.622,491.874,2698.99
1050,1.56354,2.19463,1.39297,1.05301,1.21939,1.12795,0.361953,0.405326,0.404992,0.392838,0.384141,0.373934,4.32121,4.33412,4.31384,4.40824,24.2897,27.5462,33.4019,52.3418,26.8584,341.816,88.7775,430.123,2849.13
456,1.73388,1.7268,1.23191,1.11894,1.14843,1.24397,0.359994,0.404944,0.403382,0.394137,0.386086,0.37636,4.32862,4.34185,4.32041,4.41963,19.4744,9.13886,13.9571,93.5061,34.7513,336.725,730.915,81.1938,4136.51
841,1.78053,1.56133,1.00139,1.16073,1.17005,1.16659,0.359494,0.401625,0.402247,0.393324,0.385803,0.376537,4.36257,4.35489,4.31682,4.39907,2.57654,36.3247,5.05768,6.61589,12.2775,148.669,272.978,151.015,3667.46
838,1.42513,1.47744,1.17378,1.16567,1.19635,1.23793,0.358221,0.406096,0.403385,0.392597,0.384531,0.374796,4.31471,4.29848,4.24978,4.32115,30.0354,9.49807,7.19208,8.83231,4.11225,357.221,435.023,539.168,3792.61
757,1.64222,1.48356,1.19273,1.28362,1.27606,1.22274,0.36306,0.404965,0.401174,0.392238,0.383435,0.373318,4.25499,4.25781,4.22066,4.30331,120.64,16.4246,8.91229,81.7082,17.0682,330.079,665.851,181.287,2623.29
78,1.7562,1.64433,1.2535,1.10016,1.24981,1.15686,0.361383,0.405592,0.402434,0.392283,0.38321,0.372566,4.33715,4.32795,4.28318,4.36589,5.8934,8.53278,5.97047,154.765,14.4251,133.791,200.433,160.546,1357.28
262,3.4124,2.17589,1.10236,1.14961,1.2738,1.19275,0.36079,0.405446,0.404139,0.396497,0.389126,0.380173,4.34184,4.39048,4.37952,4.49182,20.6765,16.2709,1.67349,2.86707,1.77537,219.249,634.497,105.268,5869.45
1124,2.31703,2.02212,1.0976,1.18208,1.10012,1.12955,0.363716,0.407985,0.4028,0.393745,0.384788,0.374428,4.3035,4.34122,4.33884,4.45358,1.67899,0.672736,7.63019,28.9112,25.9205,347.922,143.191,475.843,2570.36
378,1.26209,1.22556,1.31822,1.19172,1.18921,1.2611,0.356175,0.404354,0.401922,0.394324,0.387573,0.379215,4.35226,4.39645,4.38343,4.48966,1.02026,13.5857,10.6243,77.1785,20.7653,372.334,479.497,809.236,5371.05
