seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 2156.64, 2236.39, 2326.31, 2401, 2452.84, 2486.06, 284.625, 267.709, 304.82, 312.113, 326.65, 300.209, 3544.22, 3253.43, 3513.72, 3636.19, 46520, 42596, 50424, 44190.1, 41764.6, 83846.9, 105319, 143793, 206472
1082, 2270.73, 2338.74, 2409.41, 2463.71, 2497.02, 2522.8, 316.044, 275.009, 304.647, 312.131, 276.614, 303.798, 3497.32, 3698.91, 3291.47, 3728.5, 45459.5, 31128.6, 55227.7, 53271.9, 62870.8, 82154.1, 120190, 127954, 218850
168, 2279.38, 2320.39, 2391.6, 2442.7, 2482.81, 2510.45, 276.343, 278.2, 308.415, 310.316, 312.071, 273.155, 3851.9, 3340.77, 3724.63, 3426.94, 49063.5, 47988.6, 53357.8, 44891.9, 44598.7, 104247, 91430, 121228, 200117
143, 1998.62, 2136.18, 2267.87, 2365.4, 2418.16, 2468.41, 283.613, 287.229, 299.252, 285.276, 289.514, 308.209, 3611.27, 3358.53, 3162.31, 3628.81, 34920.4, 34157.7, 53262.9, 50168.6, 52995.3, 89340, 96924.9, 98169.4, 139678
182, 2210.5, 2282.33, 2369.06, 2427.36, 2472.09, 2496.88, 282.488, 288.991, 317.934, 274.83, 315.204, 287.513, 3488.95, 3722.7, 3414.3, 3415.57, 23648.5, 41622, 40849.2, 49210.2, 49125.2, 97185.4, 94530.4, 142888, 156364
482, 2208.49, 2303.71, 2389.7, 2444.69, 2487.75, 2511.15, 299.278, 286.442, 300.402, 314.685, 314.052, 303.605, 3484.1, 3550.4, 3399.14, 3481.06, 42140.7, 40140.4, 54510.9, 56162.6, 53966.8, 93304.1, 104360, 147473, 188626
87, 2277.14, 2331.33, 2399.92, 2462.13, 2496.73, 2519.47, 304.775, 289.155, 297.901, 292.235, 302.024, 291.808, 3297.3, 3700.98, 3453.99, 3441.09, 45630.3, 50326.1, 48047.1, 46288.8, 45647.4, 97076.4, 91100.7, 137250, 166291
766, 2255.1, 2329.84, 2392.9, 2451.95, 2497.4, 2518.27, 273.41, 269.337, 310.629, 299.622, 299.915, 298.014, 3447.21, 3325.76, 3983.9, 3261.6, 36924.4, 37421.5, 43436.1, 54904.6, 43994.9, 92392.6, 100952, 113913, 184206
774, 2079.53, 2182.14, 2291.46, 2369.89, 2428.51, 2477.02, 295.061, 272.489, 286.139, 290.125, 297.264, 314.051, 3396.72, 3201.39, 3686.07, 3412.7, 42649.8, 22746.7, 48988.5, 28492.2, 49698.2, 102601, 101766, 118111, 160086
229, 2076.6, 2186.14, 2301.06, 2379.02, 2442.14, 2483.85, 306.799, 243.199, 297.43, 321.672, 293.094, 304.839, 3365.35, 3791.22, 3398.29, 3575.92, 35585.9, 27785, 58611, 43438.3, 44690.4, 100235, 105428, 137609, 195173
733, 2225.51, 2307.79, 2377.59, 2438.05, 2480.94, 2506.33, 289.858, 288.2, 292.017, 285.701, 315.156, 286.188, 3651.9, 3333.48, 3699.04, 3402.76, 44918.5, 38945.2, 54571.6, 39482.5, 45669.9, 109707, 75134.9, 144632, 191841
814, 2307.29, 2360.52, 2418.57, 2461.3, 2499.08, 2523, 285.638, 286.673, 305.578, 310.634, 315.209, 298.519, 3532.96, 3496.59, 3474.17, 3847.83, 44141.3, 29616.6, 55639, 46987.1, 43558.1, 107324, 90849.1, 124189, 144510
1112, 2078.93, 2181.41, 2286.55, 2367.22, 2429.5, 2469.75, 309.1, 274.155, 288.441, 313.322, 306.561, 307.154, 3386.11, 3402.89, 3531.35, 3609.04, 37819.4, 45324.1, 55891.8, 52132.5, 51070.2, 89794.8, 107315, 119385, 202991
547, 2239.32, 2313.5, 2383.38, 2435.76, 2483.79, 2505.63, 295.017, 295.369, 295.242, 291.773, 286.829, 273.146, 3792.72, 3557.57, 3415.4, 3290.12, 30888.2, 34269.1, 54315.1, 39547.4, 46923.2, 85824.3, 106310, 137662, 170073
845, 2287.85, 2333.48, 2398.1, 2439.71, 2481.99, 2505, 279.431, 276.694, 318.778, 280.488, 324.074, 300.558, 3723.71, 3767.42, 3871.07, 3436.14, 40692.9, 25277.9, 55634.9, 50620.1, 54690.5, 108828, 107987, 138108, 198235
249, 2062.17, 2175.09, 2288.95, 2373.69, 2425.9, 2462.85, 303.524, 282.845, 313.846, 273.971, 313.112, 290.641, 3648.64, 3650.05, 3750.47, 3357.38, 37245.9, 39946.8, 42406.4, 49723.7, 38974.5, 97616.7, 83242, 136735, 199586
711, 2188.49, 2275.28, 2355.19, 2422.38, 2463.03, 2492.91, 287.83, 292.438, 300.22, 266.953, 297.29, 280.338, 3690.93, 3470.9, 3306.41, 3677.67, 28802, 40325.5, 36446.1, 43983.1, 41946, 95191.6, 82421.3, 136380, 203142
455, 1955.99, 2099.81, 2243.39, 2335.69, 2409.64, 2459.31, 275.095, 289.937, 286.571, 305.24, 302.303, 284.929, 3506.26, 3572.29, 3534.5, 3337.03, 47948.7, 50957.7, 47000.9, 55103.1, 56970.4, 100987, 95104.8, 133593, 218213
379, 2123.72, 2218.29, 2315.61, 2390.24, 2446.95, 2488.57, 269.527, 298.186, 321.316, 296.867, 288.318, 311.18, 3838.43, 3396.34, 3351.66, 3759.66, 41724.2, 30884.1, 50132.8, 45462.7, 56499.4, 100059, 81390.6, 146453, 173614
116, 2196.13, 2265.46, 2337.24, 2423.66, 2470.41, 2506.56, 277.196, 286.924, 285.026, 292.88, 322.491, 314.694, 3746.31, 3281.64, 3571.89, 3646, 32382.6, 29624.9, 41135.9, 42905.1, 39795.6, 99666.7, 111941, 128805, 192179
309, 2317.62, 2376.25, 2427.67, 2467.4, 2500.19, 2530.85, 298.266, 272.866, 311.461, 315.039, 306.419, 294.823, 3877.41, 3613.53, 3430.88, 3473.41, 46382.3, 42236.4, 56245, 44781, 45610.2, 95708.4, 126082, 135159, 179629
412, 2071.73, 2187, 2301.39, 2392.2, 2445.57, 2490.32, 275.81, 267.486, 301.284, 305.522, 305.631, 257.918, 3347.27, 3243.96, 3456.14, 3664.91, 42043.7, 44226.8, 48086.7, 51305.4, 51764, 113406, 118185, 158332, 208780
1147, 2150.28, 2260.06, 2345.53, 2412.31, 2462.22, 2492.23, 276.527, 293.667, 269.993, 302.418, 293.111, 307.315, 3531.83, 3376.92, 3186.06, 3481.52, 25390.5, 32293.2, 56318.6, 49168.9, 54936.8, 95916.6, 80860.4, 130125, 202335
878, 2163.06, 2259.98, 2356.51, 2421.29, 2476.41, 2501.72, 279.968, 273.337, 283.271, 274.085, 309.079, 267.886, 3118.79, 3402.49, 3412.23, 3189.43, 39180.2, 29475.5, 47440.9, 48290.5, 50170.9, 92375.4, 81222.6, 124946, 158134
905, 2257.95, 2323.97, 2393.81, 2451.14, 2482.79, 2518.15, 285.437, 270.361, 295.624, 297.73, 299.346, 297.436, 3391.29, 3231.65, 3456.44, 3639.73, 32244.4, 33303.5, 47123.1, 48177.7, 53166.9, 105618, 69494.9, 118782, 170095
838, 2141.88, 2230.02, 2331.02, 2407.16, 2453.12, 2489, 269.408, 279.905, 325.131, 282.59, 324.333, 268.637, 3755.25, 4000.9, 3239.91, 3375, 13518.3, 45806.5, 30127.3, 50665.5, 47702.2, 89154.1, 96840.7, 116557, 206315
964, 2249.31, 2311.95, 2378.81, 2433.29, 2466.99, 2498.96, 286.825, 269.459, 301.373, 287.455, 320.993, 275.463, 3464.3, 3634.73, 3199.68, 3545.16, 36628.1, 48496, 37006.5, 52629.9, 42799.5, 79799.9, 112759, 116591, 218915
596, 2216.2, 2297.55, 2373.13, 2441.58, 2482.51, 2499.64, 269.527, 279.299, 307.473, 278.817, 305.97, 278.719, 3512.98, 3524.31, 3480.74, 3468.2, 41519.9, 58041.3, 36726.8, 42436.1, 56881, 92675.1, 101472, 144037, 183095
995, 2234.86, 2297.89, 2368.55, 2424.14, 2471.17, 2503.73, 300.019, 294.85, 296.699, 317.921, 293.845, 324.544, 3384.38, 3618.29, 3300.05, 3567.67, 41902.2, 35338.2, 29091.8, 56039.4, 52968.1, 98669.3, 89114.6, 136276, 204729
503, 1973.01, 2099.31, 2228.52, 2327.72, 2392.46, 2457.56, 270.967, 293.007, 287.863, 311.768, 286.271, 299.332, 3635.66, 3524.75, 3498.2, 3616.61, 38959.5, 28356.1, 28999, 44093.2, 47584.9, 107370, 101177, 130443, 162122
662, 2000.11, 2100.92, 2227.81, 2312.19, 2384.78, 2435.64, 285.567, 265.892, 262.176, 301.424, 317.883, 322.426, 3578.72, 3590.22, 3501.93, 3439.54, 50134.7, 53452.5, 57094.3, 35751.6, 50242.3, 71517.4, 108605, 126325, 211339
1126, 2122.27, 2238.69, 2339.98, 2415.36, 2458.4, 2502.32, 295.495, 260.783, 311.021, 292.62, 298.328, 326.222, 3479.18, 3479.16, 3491.63, 3505.78, 32134.7, 41371.9, 60683.2, 46949.6, 55036.9, 115389, 111183, 138993, 231393
737, 2196.19, 2283.49, 2358.54, 2422.93, 2463.68, 2495.84, 282.298, 285.272, 289.303, 329.86, 300.259, 279.78, 3548.22, 3563.15, 3621.8, 3657.05, 49257.1, 50042.5, 50156.1, 39878.6, 51171.1, 94505, 112811, 130066, 228950
963, 2308.71, 2356.47, 2399.8, 2451.53, 2484.4, 2498.85, 283.457, 269.582, 317.503, 306.819, 312.763, 312.893, 3473.13, 3468.68, 3582.84, 3533.05, 48957.9, 50562.4, 62661.2, 46962.4, 54558.5, 115491, 80494.7, 174333, 223400
598, 2166.43, 2261.12, 2353.97, 2419.11, 2451.41, 2501.35, 294.004, 289.376, 282.976, 285.174, 305.329, 300.154, 3850.2, 3232.84, 3473.05, 3434.27, 35475.4, 49076.1, 56162.2, 45920.5, 55257.4, 93453, 100012, 108121, 136997
1041, 2119.5, 2212.56, 2307.15, 2377.9, 2436.46, 2477.67, 269.442, 283.63, 306.788, 296.306, 308.6, 285.044, 3579.59, 3886.88, 3565.8, 3760.56, 39527.1, 24872.6, 52769.8, 56592.9, 45973.1, 78626.7, 87083, 147344, 200491
285, 2151.3, 2252.3, 2345.47, 2415.82, 2463.27, 2504.57, 304.059, 301.411, 285.489, 290.05, 290.806, 320.688, 3686.31, 3334.26, 3763.04, 3579.53, 21608.8, 34899.3, 34604.6, 55257.4, 44593.2, 88250.6, 87875.6, 132404, 146644
884, 2125.39, 2223.01, 2323.58, 2401.83, 2460.1, 2490.42, 293.495, 282.793, 305.383, 286.761, 307.562, 304.035, 3735.26, 3223.05, 3428.83, 3095.24, 45163.4, 47605.8, 53817.9, 47911.3, 42158.9, 75140.1, 87449.2, 132561, 193011
805, 2404.4, 2424.6, 2459.72, 2486.5, 2508.08, 2521.14, 293.583, 278.414, 319.142, 317.558, 288.597, 282.254, 3448.06, 3759.17, 3581.2, 3272.5, 44498.8, 36638.9, 56067, 43344.7, 42192, 95709.4, 93042.7, 138229, 209020
693, 2396.96, 2424.86, 2457.29, 2489.01, 2516.69, 2537.39, 277.262, 299.246, 299.705, 273.761, 276.454, 330.465, 3467.81, 3505.97, 3422.75, 3870.73, 33611.9, 30596.6, 50438.5, 42703.6, 53561, 68583, 105514, 147414, 161007
613, 2363.44, 2420.22, 2463.92, 2501.23, 2527.04, 2535.26, 284.162, 292.545, 307.571, 313.254, 279.79, 282.467, 3213.75, 3253.24, 3240.27, 3340.67, 26061, 41681.5, 52306.4, 33947.3, 36847.6, 112868, 99287.9, 139898, 196219
648, 2154.87, 2252.61, 2334.89, 2398.19, 2441.99, 2485.26, 268.424, 282.257, 306.45, 287.143, 318.843, 317.778, 3638.21, 3064.72, 3379.32, 3331.75, 36608.3, 38099.1, 38488.4, 37875.8, 47611.6, 88124.2, 70882, 155495, 184278
349, 2220.75, 2290.31, 2368.9, 2421.16, 2470.76, 2499.45, 293.831, 289.46, 316.613, 253.038, 303.991, 306.076, 3139.89, 3419.65, 3860.39, 3315.94, 40380.7, 29236.8, 57903.3, 57750.8, 48566.2, 106112, 99986.5, 122053, 239840
265, 2235.69, 2310.11, 2381.16, 2431.55, 2477.25, 2503.81, 289.866, 289.727, 308.28, 296.178, 295.356, 295.855, 3592.37, 3480.14, 3299.96, 3940, 47252.8, 43881.8, 57132.9, 58451.4, 50859.7, 104024, 99898.1, 168830, 207696
16, 2166.02, 2238.28, 2331.53, 2402.04, 2454.25, 2497.78, 292.755, 291.161, 277.356, 297.815, 327.171, 278.747, 3373.11, 3600.83, 3658.48, 3682.88, 34085.5, 45902.7, 61848.4, 50147.3, 42738.4, 67511.2, 97014.2, 144524, 142364
56, 2247.46, 2311.52, 2388.28, 2446.99, 2489.72, 2518.05, 289.203, 276.609, 299.153, 291.67, 302.051, 304.557, 3258.18, 3297.97, 3588.96, 3768.59, 45419.5, 43115.5, 39888.4, 36447.4, 31585.9, 73429.5, 88348, 129539, 217134
671, 2374.21, 2416.25, 2468.74, 2503.38, 2529.71, 2544.9, 309.018, 299.221, 294.476, 269.314, 275.946, 282.785, 3469.39, 3184.55, 3325.48, 3995.66, 37572.5, 47337.1, 59627.1, 56478.1, 50700.5, 109832, 95171, 143760, 220861
106, 2045.58, 2164.33, 2293.85, 2389.74, 2447.42, 2481.83, 265.409, 290.797, 294.825, 316.434, 325.997, 307.178, 3972.43, 3278.38, 3681.58, 3727.69, 29395.5, 42834.4, 53208.7, 53532.5, 57675.5, 88412.4, 81305.8, 127470, 160987
756, 2189.58, 2260.93, 2339.64, 2405.56, 2455.03, 2486.3, 278.445, 253.452, 293.953, 289.78, 292.752, 295.509, 3385.94, 3683.64, 3659.11, 3475.76, 40963.7, 23961, 44869.7, 56250.2, 51213.6, 93467.7, 96711.9, 125793, 212461
644, 2095.77, 2199.66, 2301.37, 2373.13, 2438.4, 2477.21, 270.597, 283.715, 298.871, 288.119, 307.956, 324.745, 3548.15, 3324.3, 3161.73, 3485.2, 35716.9, 48525.3, 52332.1, 53706.3, 43219.9, 98054.8, 107918, 151111, 199016
150, 2112.28, 2205.75, 2312.78, 2392.39, 2449.77, 2486.85, 298.768, 287.109, 313.295, 294.014, 315.864, 286.14, 3575.87, 3727.7, 3524.61, 3613, 37585.9, 31082.9, 45338.3, 58513, 59130.3, 74532.2, 97909.6, 123632, 185914
727, 2156.95, 2253.57, 2340.15, 2411.45, 2451.18, 2498.78, 286.222, 285.06, 309.832, 271.558, 305.847, 307.811, 3693.78, 3814.43, 3850.65, 3478.7, 38416.9, 38407.4, 51549.8, 38824.9, 45303.1, 101468, 105208, 122840, 181954
1067, 2022.25, 2115.12, 2236.78, 2332.95, 2398.67, 2439.58, 301.945, 273.829, 283.424, 280.305, 305.172, 292.99, 3752.43, 3540.93, 3773.79, 3387.91, 41198.4, 38720, 52605.7, 44822.6, 46297.1, 98652.9, 84368.1, 151702, 195235
