seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 2242.75, 2324.44, 2408.33, 2479.62, 2529.6, 2561.4, 293.009, 275.365, 313.254, 320.432, 335.006, 307.563, 3515.83, 3244.49, 3512.95, 3639.07, 46555.5, 42635, 50615.5, 44449.1, 41911.8, 84268.7, 105953, 144522, 207528
1082, 2363.54, 2426.05, 2488.99, 2538.98, 2569.81, 2593.92, 324.687, 282.291, 312.427, 319.783, 283.101, 310.604, 3468.27, 3689.09, 3290.54, 3730.81, 45484.6, 31149.4, 55404.4, 53535.6, 63054.2, 82506.1, 120825, 128525, 219837
168, 2383.27, 2421.09, 2484.77, 2531.49, 2569.32, 2595.29, 285.429, 287.085, 317.945, 319.552, 320.981, 280.62, 3817.53, 3330.98, 3724.1, 3430.41, 49108.1, 48038, 53593.3, 45181.9, 44774.4, 104838, 92047.9, 121919, 201266
143, 2072.07, 2221.84, 2350.34, 2445.4, 2496.23, 2545.51, 292.223, 295.703, 307.809, 293.153, 297.204, 316.063, 3584.05, 3349.19, 3161.84, 3632.09, 34950.5, 34193, 53492.3, 50494.4, 53202.7, 89842.4, 97560.1, 98704, 140443
182, 2301.49, 2373.37, 2453.65, 2507.92, 2550.51, 2573.56, 290.916, 297.356, 326.831, 282.234, 323.35, 294.627, 3460.55, 3712.78, 3413.95, 3418.79, 23667.2, 41659.5, 41003.9, 49498, 49297.7, 97672.1, 95096, 143613, 157165
482, 2299.96, 2392.66, 2471.77, 2522.53, 2563.39, 2585.05, 307.832, 294.38, 308.442, 322.782, 321.791, 310.755, 3455.08, 3540.59, 3398.02, 3483.18, 42165.4, 40169.1, 54694.6, 56453.1, 54131.7, 93723.1, 104935, 148157, 189510
87, 2380.56, 2430.41, 2491.26, 2549.45, 2581.49, 2602.33, 314.512, 298.112, 306.812, 300.636, 310.333, 299.472, 3267.73, 3690.35, 3453.54, 3444.5, 45665.2, 50368.8, 48229.3, 46558.1, 45806.1, 97562.7, 91651.8, 137956, 167155
766, 2349.43, 2419.89, 2474.89, 2529.77, 2573.08, 2592.13, 281.197, 276.773, 318.909, 307.299, 307.276, 305.011, 3418.27, 3316.87, 3983.01, 3264, 36948.7, 37450.4, 43584.8, 55194.3, 44133.1, 92813.2, 101514, 114451, 185086
774, 2158.38, 2267.58, 2372.02, 2447.15, 2504.05, 2551.55, 303.687, 280.224, 293.997, 297.803, 304.813, 321.685, 3369.42, 3191.95, 3684.87, 3415.04, 42685.4, 22770.6, 49193.3, 28671.6, 49888, 103161, 102422, 118744, 160950
229, 2152.29, 2267.38, 2378, 2452.92, 2514.59, 2555.15, 315.357, 249.786, 305.227, 329.798, 300.205, 311.924, 3340.9, 3781.48, 3397.78, 3578.85, 35611, 27808.3, 58817.7, 43681.7, 44838.9, 100711, 106021, 138261, 196106
733, 2320.99, 2399.73, 2461.48, 2517.63, 2558.21, 2581.84, 298.333, 296.364, 300.001, 293.206, 323.083, 293.069, 3620.46, 3324.33, 3698.17, 3405.33, 44946.7, 38973.9, 54758.1, 39693.9, 45813.8, 110211, 75557.7, 145323, 192769
814, 2410.6, 2456.83, 2506.29, 2544.29, 2579.78, 2602.04, 294.343, 295.154, 314.314, 319.172, 323.503, 306.02, 3501.73, 3486.56, 3473.37, 3851.02, 44176.1, 29643.7, 55856.4, 47259.7, 43711.4, 107870, 91410.7, 124837, 145273
1112, 2153.9, 2261.58, 2361.3, 2438.56, 2499.14, 2538.11, 317.4, 281.291, 295.698, 320.911, 313.688, 313.997, 3360.03, 3393.72, 3530.26, 3611.16, 37842.3, 45359.6, 56087.5, 52420.3, 51236.2, 90218.7, 107924, 119952, 203963
547, 2333.24, 2404.57, 2467.07, 2515.23, 2561.31, 2581.41, 303.69, 303.796, 303.383, 299.511, 294.115, 279.776, 3760.3, 3547.46, 3414.46, 3292.47, 30910.7, 34299.2, 54528.6, 39773.2, 47084.9, 86259.2, 106961, 138365, 170951
845, 2390.98, 2430.73, 2487.19, 2524.06, 2564.22, 2585.52, 288.173, 285.103, 328.151, 288.432, 332.881, 308.38, 3691.31, 3756.77, 3870.26, 3439.14, 40728.3, 25302.9, 55854, 50922.5, 54889.7, 109388, 108660, 138839, 199294
249, 2144.53, 2264.18, 2373.28, 2454.87, 2505.09, 2540.62, 312.833, 291.263, 322.882, 281.57, 321.449, 298.051, 3619.33, 3639.86, 3749.9, 3360.44, 37273.6, 39981.9, 42567.7, 50024.4, 39113.9, 98117.4, 83750.4, 137439, 200623
711, 2272.42, 2358.65, 2432.01, 2495.59, 2534.1, 2562.55, 295.642, 300.138, 307.858, 273.486, 304.261, 286.622, 3662.19, 3461.64, 3305.48, 3680.07, 28820.4, 40357.3, 36572.2, 44217.8, 42079, 95629.8, 82879.1, 137017, 204099
455, 2029.85, 2184.98, 2325.29, 2414.57, 2487.1, 2535.66, 283.382, 298.409, 294.668, 313.544, 310.189, 292.036, 3477.3, 3561.3, 3533.07, 3339.07, 47981.1, 51002.4, 47183.4, 55437.9, 57173.7, 101512, 95694.1, 134279, 219344
379, 2203, 2300.7, 2392.17, 2463.26, 2518.19, 2558.6, 276.889, 306.083, 329.539, 304.176, 295.123, 318.206, 3808.52, 3387.11, 3350.72, 3762.16, 41751.3, 30909.6, 50311.9, 45717.6, 56687, 100538, 81858.8, 147159, 174459
116, 2287.81, 2357.73, 2422.58, 2506.02, 2550.7, 2585.47, 285.676, 295.442, 293.206, 300.971, 331.031, 322.664, 3715.19, 3272.57, 3571.47, 3649.47, 32408.9, 29652.5, 41293.2, 43160.7, 39938.4, 100174, 112623, 129469, 193180
309, 2417.22, 2468.28, 2510.72, 2545.51, 2575.75, 2604.84, 306.728, 280.363, 319.71, 323.043, 313.858, 301.648, 3844.41, 3604, 3430.16, 3476.02, 46410.8, 42266.1, 56425.4, 45006.3, 45746, 96120.8, 126753, 135772, 180454
412, 2151.47, 2271.83, 2381.15, 2468.84, 2520.13, 2563.59, 283.674, 274.871, 309.312, 313.347, 313.13, 263.97, 3320.22, 3235.06, 3455.33, 3667.58, 42065.8, 44256.2, 48249.2, 51583.4, 51925.6, 113930, 118844, 159075, 209770
1147, 2232.08, 2342.56, 2421.7, 2484.86, 2532.91, 2561.48, 283.991, 301.358, 276.828, 309.788, 299.965, 314.198, 3504.56, 3368.15, 3185.21, 3483.72, 25406.2, 32317.9, 56508.6, 49426.2, 55107.5, 96349, 81302.6, 130723, 203274
878, 2247.89, 2346.87, 2437.76, 2498.87, 2552.25, 2575.91, 288.039, 280.988, 290.941, 281.232, 316.809, 274.296, 3093.83, 3392.88, 3411.18, 3191.6, 39209, 29502.2, 47625.6, 48571.4, 50347, 92845.3, 81716.9, 125580, 158943
905, 2345.72, 2408.49, 2471.21, 2524.68, 2554.05, 2588.23, 293.164, 277.469, 303.141, 305.018, 306.373, 304.116, 3365.06, 3223.28, 3455.61, 3642.25, 32267.4, 33332.1, 47292.8, 48437.9, 53340.7, 106116, 69890.9, 119350, 170916
838, 2229.07, 2320.12, 2415.49, 2488.2, 2532.01, 2566.49, 277.557, 288.121, 334.36, 290.312, 332.83, 275.367, 3723.6, 3989.07, 3238.93, 3377.52, 13529.2, 45851.5, 30248.6, 50974.4, 47878, 89624.5, 97450.5, 117172, 207413
964, 2342.28, 2400.02, 2458.62, 2508.65, 2539.85, 2570.36, 294.78, 276.701, 309.192, 294.625, 328.667, 281.768, 3435.26, 3625.27, 3198.97, 3547.57, 36650, 48530.8, 37129.1, 52901.1, 42929.8, 80154.9, 113378, 117132, 219944
596, 2307.72, 2387.68, 2456.14, 2520.79, 2559.42, 2574.58, 277.373, 287.183, 315.856, 286.127, 313.657, 285.415, 3483.81, 3514.59, 3479.91, 3470.85, 41548.5, 58088.6, 36859.5, 42672.2, 57069.4, 93119.4, 102060, 144741, 183999
995, 2321.69, 2382.16, 2445.56, 2497.06, 2542.09, 2573.25, 308.109, 302.558, 304.193, 325.645, 300.691, 331.784, 3357.72, 3608.99, 3299.26, 3570.05, 41928.7, 35365.4, 29191.1, 56333.4, 53133.6, 99117, 89606.1, 136909, 205691
503, 2036.09, 2173.83, 2299.55, 2396.27, 2459.5, 2524.1, 278.09, 300.486, 294.976, 319.198, 292.825, 305.899, 3610.12, 3515.25, 3497.27, 3619, 38987.6, 28382.6, 29109.1, 44356.5, 47753.7, 107916, 101779, 131085, 162926
662, 2071.21, 2181.14, 2304.29, 2385.75, 2457.16, 2507.17, 293.72, 273.27, 269.224, 309.246, 325.819, 330.152, 3552.5, 3580.34, 3501.08, 3442.11, 50173.7, 53505.3, 57318, 35973.7, 50428.5, 71892.7, 109274, 126974, 212434
1126, 2210.01, 2327.94, 2423.05, 2494.67, 2535.32, 2577.96, 304.159, 268.19, 319.548, 300.33, 305.854, 334.087, 3449.35, 3469.17, 3490.48, 3508.02, 32153.9, 41402.4, 60889.5, 47201.3, 55210.1, 115919, 111809, 139652, 232504
